Equation,Section,Topic,Function,Status,Uncertainty
Eq. 3,"II-A, IV","Noise definitions (χ_line, χ_hom, χ_het, χ_tot)","_chi_l, _chi_t_hom, _chi_t_het","FOUND","None"
Eq. 4,"II-A, II-C","Asymptotic SKR - Homodyne (GM), Heterodyne (QAM)","skr_gm, skr_qam","FOUND","None"
Eq. 5,"II-A","(Presumed: GM variance constraint)","(Referenced only)","INDIRECT","None"
Eq. 6,"II-A","Holevo bound - GM Homodyne","_holevo_gm_hom","FOUND","None"
Eq. 9,"II-A","Symplectic eigenvalues (λ₃, λ₄) - GM","_holevo_gm_hom","FOUND","None"
Eq. 10,"II-A","Auxiliary quantities (A_hom, D_hom)","_holevo_gm_hom","FOUND","None"
Eq. 11,"II-A","Mutual information - Homodyne","_IAB_hom","FOUND","None"
Eq. 12,"II-B","M-PSK Modulation alphabet (BPSK, QPSK, 8-PSK)","_ZM_psk, skr_psk","FOUND","None"
Eq. 13,"II-C","M-QAM Modulation alphabet (m×m grid)","_Zstar_qam","FOUND","None"
Eq. 14-15,"II-C","(Intermediate QAM derivations)","_Zstar_qam","FOUND","None"
Eq. 16,"II-C","Asymptotic SKR - M-QAM Heterodyne","skr_qam","FOUND","None"
Eq. 17-19,"II-C","Holevo bound - M-QAM Heterodyne","_holevo_qam_het","FOUND","None"
Eq. 20,"II-C","Z* lower bound (Binomial distribution)","_Zstar_qam","FOUND","None"
Eq. 21-22,"II-C","(Variance/w parameter definitions)","_Zstar_qam","FOUND","None"
Eq. 23,"III","Reconciliation efficiency model","reconciliation_efficiency","FOUND","None"
Eq. 24,"III","Finite-size SKR - GM Homodyne","finite_size_skr","FOUND","None"
Eq. 25,"III","Privacy amplification correction","_dn_privacy","FOUND","None"
Eq. 26,"III","Frame error rate (FER) model","frame_error_rate","FOUND","None"
Eq. 27,"III","Signal-to-noise ratio (SNR)","_SNR_dB","FOUND","None"
Eq. 28,"IV","Link geometry (total distance, atm. thickness)","link_geometry","FOUND","None"
Eq. 29,"IV","Geometric loss (diffraction + hardware)","geometric_loss_dB","FOUND","None"
Eq. 30,"IV","Scattering loss (Kruse-Kim model)","scattering_loss_dBpkm","FOUND","None"
Eq. 31,"IV","Scintillation loss","scintillation_loss_dB","FOUND","None"
Eq. 32,"IV","Scintillation index (aperture-averaged)","scintillation_index","FOUND","None"
Eq. 33,"IV","Total transmittance","total_transmittance","FOUND","None"
