sweep,parameter_value,comparison,first,second,mean_delta_K_raw,ci95_low_delta_K_raw,ci95_high_delta_K_raw,mean_beta_delta_I_AB,mean_negative_delta_chi_BE
aperture,0.1,PS-Uniform,PS,Uniform QAM,0.00503355062845918,0.004640448748324112,0.005426652508594248,-5.059141659026559e-06,0.00503860977011822
aperture,0.11,PS-Uniform,PS,Uniform QAM,0.00614426971039206,0.005922632561629544,0.006365906859154577,-3.393435365414512e-05,0.00617820406404618
aperture,0.12,PS-Uniform,PS,Uniform QAM,0.007028918429509682,0.006518923252223874,0.007538913606795489,-1.5815974690297775e-05,0.007044734404200002
aperture,0.13,PS-Uniform,PS,Uniform QAM,0.00817133249360974,0.007925790410036937,0.008416874577182543,-3.219067235653787e-05,0.008203523165966242
aperture,0.14,PS-Uniform,PS,Uniform QAM,0.008959018643586619,0.00859280943886392,0.009325227848309317,1.987528604482855e-06,0.00895703111498208
aperture,0.15,PS-Uniform,PS,Uniform QAM,0.01002386660302384,0.009596582349803325,0.010451150856244356,1.368335232768622e-06,0.010022498267791119
aperture,0.16,PS-Uniform,PS,Uniform QAM,0.01046279873402524,0.009856145788572534,0.011069451679477947,-3.5848623087042295e-05,0.010498647357112282
aperture,0.1699999999999999,PS-Uniform,PS,Uniform QAM,0.011935650478738721,0.011598524922174568,0.012272776035302874,4.476223682105956e-06,0.011931174255056642
aperture,0.18,PS-Uniform,PS,Uniform QAM,0.01282035936445296,0.01224201562604047,0.013398703102865452,3.171637201457356e-05,0.01278864299243838
aperture,0.19,PS-Uniform,PS,Uniform QAM,0.01395522172192174,0.013355193331821016,0.014555250112022463,4.87914017540704e-05,0.01390643032016764
aperture,0.1999999999999999,PS-Uniform,PS,Uniform QAM,0.014830809484597801,0.014103359907980223,0.01555825906121538,2.68349546879168e-05,0.014803974529909905
aperture,0.21,PS-Uniform,PS,Uniform QAM,0.015859837239447682,0.0151859317882902,0.016533742690605164,-1.1041821313684946e-05,0.015870879060761376
aperture,0.2199999999999999,PS-Uniform,PS,Uniform QAM,0.0164130023102187,0.01593249984747519,0.016893504772962212,2.3595804265513773e-05,0.01638940650595318
