sweep,scheme,baseline_parameter_value,K_raw_at_baseline,baseline_elasticity,full_range_over_abs_baseline
aperture,Uniform QAM,0.2,0.011352169780508813,1.9376907336234948,1.3798887224342722
aperture,Maxwell-Boltzmann QAM,0.2,0.02618297926511114,1.6261537259036043,1.227619410416691
aperture,Binomial QAM,0.2,0.025983094062069865,1.6191212130722754,1.227658545326641
aperture,GS,0.2,0.012435155912326534,1.8919525690175354,1.3554109351191812
aperture,PS,0.2,0.026182979265106623,1.6261537259036094,1.2276194104166724
aperture,PS+GS,0.2,0.026219601544887262,1.6259761133887107,1.2275069881339435
visibility,Uniform QAM,10.0,0.01137052729824389,2.6233009021118012,7.604285319950193
visibility,Maxwell-Boltzmann QAM,10.0,0.026166373041821935,2.239763383839996,5.706452213645713
visibility,Binomial QAM,10.0,0.0259692283838699,2.2424953196286865,5.715337976064868
visibility,GS,10.0,0.012450318832830633,2.5610410105674433,7.293008255008913
visibility,PS,10.0,0.02616637304181742,2.2397633838399718,5.706452213645779
visibility,PS+GS,10.0,0.02620291887720339,2.239465207177475,5.7048920928652835
beam_waist,Uniform QAM,0.0626,0.011336659682073376,0.5045084837228925,0.6734598322373812
beam_waist,Maxwell-Boltzmann QAM,0.0626,0.026097747853186623,0.39516827279021915,0.5709491424998858
beam_waist,Binomial QAM,0.0626,0.025884452504098994,0.3931333451940966,0.5722953170532459
beam_waist,GS,0.0626,0.012417701085145184,0.4886975473541843,0.6563197135199677
beam_waist,PS,0.0626,0.026097747853182113,0.3951682727902227,0.5709491424998796
beam_waist,PS+GS,0.0626,0.02613432122194309,0.39511162391165366,0.570863657994842
turbulence,Uniform QAM,1e-15,0.011023168071967621,-0.4142765357194217,1.4135373030363436
turbulence,Maxwell-Boltzmann QAM,1e-15,0.02553692870458286,-0.39861917437563205,1.318688764612738
turbulence,Binomial QAM,1e-15,0.02534312912812394,-0.3985871346118549,1.3192610789438253
turbulence,GS,1e-15,0.01208278602538428,-0.41111395900609293,1.3981886509071508
turbulence,PS,1e-15,0.02553692870457846,-0.3986191743756248,1.3186887646127148
turbulence,PS+GS,1e-15,0.02557272921343632,-0.3985982547539171,1.3186165673563583
excess_noise,Uniform QAM,0.001,0.011204777919563539,-0.08834718047733672,1.0487370729795198
excess_noise,Maxwell-Boltzmann QAM,0.001,0.02582364343172098,0.030707930365949935,0.19639809990479198
excess_noise,Binomial QAM,0.001,0.02561934943437224,0.02908499194566315,0.20325904272633147
excess_noise,GS,0.001,0.01227438365506332,-0.07370885035538113,0.9376138919189383
excess_noise,PS,0.001,0.025823643431716503,0.030707930365960902,0.19639809990477713
excess_noise,PS+GS,0.001,0.02585980212155266,0.0311253178056814,0.19484567282097798
distance,Uniform QAM,20.0,0.011261188502478,-2.967716408635536,1.0002866507888735
distance,Maxwell-Boltzmann QAM,20.0,0.02601756283033536,-2.6650703315754556,0.9999942661775889
distance,Binomial QAM,20.0,0.02582421431500818,-2.6684332224913567,0.9999943282074122
distance,GS,20.0,0.012337385989446361,-2.9172821369805035,1.0000800779138939
distance,PS,20.0,0.0260175628303298,-2.665070331575379,0.9999942661775456
distance,PS+GS,20.0,0.026053967812721464,-2.6648245885410757,0.9999942560203792
