sweep,scheme,repetition,root_parameter_value,bracket_low,bracket_high
distance,Uniform QAM,0,51.77790250706402,48.0,52.0
distance,Uniform QAM,1,51.96682201362739,48.0,52.0
distance,Uniform QAM,2,53.01502424987758,52.0,56.0
distance,Uniform QAM,3,52.28728958037918,52.0,56.0
distance,Uniform QAM,4,52.7285709355242,52.0,56.0
distance,GS,0,59.647224194225316,56.0,60.0
distance,GS,1,58.98053811948466,56.0,60.0
distance,GS,2,59.63174444629324,56.0,60.0
distance,GS,3,59.507127629243065,56.0,60.0
distance,GS,4,58.896258437476675,56.0,60.0
