ncut,Model,I_AB,chi_BE,raw_K,abs_delta_I_AB_vs_final,abs_delta_chi_BE_vs_final,abs_delta_raw_K_vs_final
120,Uniform fixed QAM,0.10622389966039969,0.08806099239395485,0.012851712283424856,0.0,1.4155343563970746e-15,1.4155343563970746e-15
120,MB fixed QAM,0.10789488776501721,0.07156651800786495,0.030933625368901395,0.0,3.0531133177191805e-15,3.0531133177191805e-15
120,Learned PS fixed QAM,0.10789488776501821,0.07156651800786515,0.030933625368902144,0.0,2.7200464103316335e-15,2.7200464103316335e-15
120,Learned GS uniform probabilities,0.10622456679829406,0.08685857147522544,0.014054766983153917,0.0,9.71445146547012e-16,9.71445146547012e-16
120,Learned joint PS+GS,0.10789522112154892,0.07152546016636371,0.030974999899107764,0.0,4.0245584642661925e-15,4.0245584642661925e-15
150,Uniform fixed QAM,0.10622389966039969,0.08806099239395626,0.01285171228342344,0.0,0.0,0.0
150,MB fixed QAM,0.10789488776501721,0.0715665180078619,0.030933625368904448,0.0,0.0,0.0
150,Learned PS fixed QAM,0.10789488776501821,0.07156651800786787,0.030933625368899424,0.0,0.0,0.0
150,Learned GS uniform probabilities,0.10622456679829406,0.08685857147522447,0.014054766983154889,0.0,0.0,0.0
150,Learned joint PS+GS,0.10789522112154892,0.07152546016636774,0.03097499989910374,0.0,0.0,0.0
