run,seed_channel,seed_awgn,Model,I_AB,chi_BE,raw_K
0,102026,202026,Uniform fixed QAM,0.09434222706110261,0.07842238300205094,0.011202732705996534
0,102026,202026,MB fixed QAM,0.09431713677034807,0.06367322456802581,0.02592805536380485
0,102026,202026,Learned PS fixed QAM,0.09431713677034884,0.06367322456803101,0.025928055363800377
0,102026,202026,Learned GS uniform probabilities,0.09434243563446686,0.0773431638860414,0.012282149966702096
0,102026,202026,Learned joint PS+GS,0.09431708334134499,0.06363676713096456,0.025964462043313187
1,103026,203026,Uniform fixed QAM,0.09425036376282145,0.07827300755085433,0.01126483802382604
1,103026,203026,MB fixed QAM,0.0942694991360869,0.06356127628161945,0.02599474789766311
1,103026,203026,Learned PS fixed QAM,0.09426949913608774,0.06356127628162472,0.025994747897658623
1,103026,203026,Learned GS uniform probabilities,0.09425059909458447,0.07719755213265407,0.012340517007201159
1,103026,203026,Learned joint PS+GS,0.09426948121356137,0.06352484630397001,0.026031160848913285
2,104026,204026,Uniform fixed QAM,0.0917668931824681,0.0762503354623555,0.01092821306098919
2,104026,204026,MB fixed QAM,0.0916391984806615,0.06189896925387547,0.02515826930275295
2,104026,204026,Learned PS fixed QAM,0.09163919848066221,0.061898969253880554,0.025158269302748545
2,104026,204026,Learned GS uniform probabilities,0.09176714072065928,0.07520006044498172,0.011978723239644596
2,104026,204026,Learned joint PS+GS,0.09163920202976886,0.06186350555047157,0.025193736377808848
3,105026,205026,Uniform fixed QAM,0.09589466888572708,0.0795303045027915,0.011569630938649204
3,105026,205026,MB fixed QAM,0.09583779604141607,0.06458928920345665,0.02645661703588862
3,105026,205026,Learned PS fixed QAM,0.09583779604141675,0.06458928920346202,0.02645661703588388
3,105026,205026,Learned GS uniform probabilities,0.09589487019501815,0.0784377942234761,0.012662332461791121
3,105026,205026,Learned joint PS+GS,0.09583774317596573,0.06455230997760086,0.026493546039566572
4,106026,206026,Uniform fixed QAM,0.08584107519720043,0.07136802872654019,0.010180992710800217
4,106026,206026,MB fixed QAM,0.08580726948288611,0.05792264390551615,0.023594262103225662
4,106026,206026,Learned PS fixed QAM,0.08580726948288689,0.05792264390552096,0.023594262103221575
4,106026,206026,Learned GS uniform probabilities,0.08584122510797154,0.07038329500481234,0.011165868847760602
4,106026,206026,Learned joint PS+GS,0.08580729375879902,0.05788946734765728,0.023627461723201775
