distribution,symbol_distribution,scenario,sample_index,T,V_A_input,V_A_measured,epsilon,SNR,H_X,I_AB_gaussian,I_AB_discrete_raw,I_AB_discrete_reported,absolute_difference,signed_difference,relative_difference_percent,visibility_km,beam_waist_m,aperture_radius_m,Cn2
Uniform,Uniform,T_eff,0,0.062127736865966635,1.9999999999999993,1.9999999999999996,0.001,0.06212580699807174,8.0,0.0869546610408917,0.08594730190812783,0.08594730190812783,0.0010073591327638687,-0.0010073591327638687,1.1584877920346828,10.0,0.0626,0.2,1e-15
Uniform,Uniform,instantaneous fading,0,0.11407748711084696,1.9999999999999993,1.9999999999999996,0.001,0.11407098064543476,8.0,0.15584115382955255,0.15406774267048373,0.15406774267048373,0.0017734111590688162,-0.0017734111590688162,1.1379607475240086,10.0,0.0626,0.2,1e-15
Uniform,Uniform,instantaneous fading,1,0.03916032981456744,1.9999999999999993,1.9999999999999996,0.001,0.03915956306386494,8.0,0.055417197231884485,0.05476929839097,0.05476929839097,0.0006478988409144848,-0.0006478988409144848,1.1691295721857868,10.0,0.0626,0.2,1e-15
Uniform,Uniform,instantaneous fading,2,0.09240864037887758,1.9999999999999993,1.9999999999999996,0.001,0.09240437089773769,8.0,0.12750699169832969,0.12604596598279905,0.12604596598279905,0.0014610257155306394,-0.0014610257155306394,1.1458396877461414,10.0,0.0626,0.2,1e-15
Uniform,Uniform,instantaneous fading,3,0.0730013998859338,1.9999999999999993,1.9999999999999996,0.001,0.07299873538099741,8.0,0.1016483757583315,0.10047561302972596,0.10047561302972596,0.0011727627286055309,-0.0011727627286055309,1.1537446809713598,10.0,0.0626,0.2,1e-15
Uniform,Uniform,instantaneous fading,4,0.0540932255931883,1.9999999999999993,1.9999999999999996,0.001,0.05409176259422991,8.0,0.07600046439177441,0.07511724647751805,0.07511724647751805,0.0008832179142563568,-0.0008832179142563568,1.1621217334981813,10.0,0.0626,0.2,1e-15
Uniform,Uniform,instantaneous fading,5,0.04899761578126046,1.9999999999999993,1.9999999999999996,0.001,0.048996415427491564,8.0,0.06900974802593611,0.06820614448404783,0.06820614448404783,0.0008036035418882842,-0.0008036035418882842,1.164478301799137,10.0,0.0626,0.2,1e-15
Uniform,Uniform,instantaneous fading,6,0.038299236145633755,1.9999999999999993,1.9999999999999996,0.001,0.038298502743933434,8.0,0.054221266931241414,0.05358712615267702,0.05358712615267702,0.0006341407785643918,-0.0006341407785643918,1.1695425327640403,10.0,0.0626,0.2,1e-15
Uniform,Uniform,instantaneous fading,7,0.12203010851236361,1.9999999999999993,1.9999999999999996,0.001,0.12202266329294227,8.0,0.16610181666874385,0.16421599801998,0.16421599801998,0.0018858186487638595,-0.0018858186487638595,1.135338966535652,10.0,0.0626,0.2,1e-15
Uniform,Uniform,instantaneous fading,8,0.05804829079007645,1.9999999999999993,1.9999999999999996,0.001,0.05804660603694312,8.0,0.08140317831910047,0.08045864104453315,0.08045864104453315,0.0009445372745673225,-0.0009445372745673225,1.1603198966811052,10.0,0.0626,0.2,1e-15
Uniform,Uniform,instantaneous fading,9,0.07673264971869467,1.9999999999999993,1.9999999999999996,0.001,0.07672970588187242,8.0,0.10665613203159674,0.10542727529566598,0.10542727529566598,0.0012288567359307612,-0.0012288567359307612,1.1521669804852046,10.0,0.0626,0.2,1e-15
Uniform,Uniform,instantaneous fading,10,0.02342263119108429,1.9999999999999993,1.9999999999999996,0.001,0.023422356884470818,8.0,0.033401654792479606,0.03300858453641009,0.03300858453641009,0.0003930702560695151,-0.0003930702560695151,1.1767987499769474,10.0,0.0626,0.2,1e-15
Uniform,Uniform,instantaneous fading,11,0.005261227469072307,1.9999999999999993,1.9999999999999996,0.001,0.0052612136288514725,8.0,0.0075704294051250585,0.007480654323358316,0.007480654323358316,8.977508176674295e-05,-8.977508176674295e-05,1.1858651202264257,10.0,0.0626,0.2,1e-15
MB,MB,T_eff,0,0.062127736865966635,1.9980490544457419,1.998049054445742,0.001,0.06206520496458797,6.408923689874861,0.0868723424050383,0.0863596386654466,0.0863596386654466,0.0005127037395916967,-0.0005127037395916967,0.5901806321754731,10.0,0.0626,0.2,1e-15
MB,MB,instantaneous fading,0,0.11407748711084696,1.9980490544457419,1.998049054445742,0.001,0.11395970750915477,6.408923689874861,0.15569705060612543,0.15479970909030438,0.15479970909030438,0.0008973415158210485,-0.0008973415158210485,0.5763381594755432,10.0,0.0626,0.2,1e-15
