V_A,scheme,MB_global_nu_at_V_A,I_AB,chi_BE,beta_I_AB,K_raw_mean,K_raw_median,K_raw_p05,outage_probability,entropy,finite,split,ncut,fading_samples,awgn_samples,channel_seed,awgn_seed
0.5,MB-fixed,0.77,0.02256867281493291,0.009262730492212295,0.021440239174186266,0.01217750868197397,0.013046209108809036,0.0037737011353084424,0.0,6.408923689874861,True,validation-only,150,8,32,887001,887002
0.5,MB-global-opt,0.77,0.02286426844556677,0.009249966979836974,0.021721055023288433,0.012471088043451456,0.013288456902798293,0.004165213559878805,0.0,3.4714458000725337,True,validation-only,150,8,32,887001,887002
0.5,PS,0.77,0.022568672814934687,0.009262730492211838,0.02144023917418795,0.012177508681976115,0.013046209108813033,0.003773701135308961,0.0,6.408923689874859,True,validation-only,150,8,32,887001,887002
0.5,GS,0.77,0.022360965157335322,0.012396714259944916,0.021242916899468556,0.00884620263952364,0.00940565773809574,0.0024946413250350173,0.0,8.0,True,validation-only,150,8,32,887001,887002
0.5,PS+GS,0.77,0.022568699367532807,0.009250210425987365,0.021440264399156167,0.0121900539731688,0.01305957022325269,0.003777892298467892,0.0,6.408923689874859,True,validation-only,150,8,32,887001,887002
1.0,MB-fixed,0.63,0.044717454609667584,0.024250000710747455,0.0424815818791842,0.018231581168436747,0.01959115265955946,0.005722885031985682,0.0,6.408923689874861,True,validation-only,150,8,32,887001,887002
1.0,MB-global-opt,0.63,0.04515241387842861,0.024235731592290338,0.042894793184507174,0.01865906159221684,0.02001112505678155,0.006539798993897015,0.0,3.7607807372880626,True,validation-only,150,8,32,887001,887002
1.0,PS,0.63,0.04471745460966936,0.024250000710751618,0.04248158187918589,0.01823158116843427,0.01959115265955804,0.005722885031985045,0.0,6.408923689874859,True,validation-only,150,8,32,887001,887002
1.0,GS,0.63,0.04430782901055541,0.03103955697859856,0.04209243756002764,0.01105288058142908,0.011765414626666245,0.0029717600288839533,0.0,8.0,True,validation-only,150,8,32,887001,887002
1.0,PS+GS,0.63,0.044717524448372514,0.024226535962530493,0.04248164822595389,0.018255112263423395,0.019616165653646676,0.005730697353967617,0.0,6.408923689874859,True,validation-only,150,8,32,887001,887002
2.0,MB-fixed,0.45,0.08782122362640055,0.059567129664281904,0.0834301624450805,0.023863032780798613,0.025807445042744875,0.00769957401562245,0.0,6.408923689874861,True,validation-only,150,8,32,887001,887002
2.0,MB-global-opt,0.45,0.08826415558502876,0.05953215533738038,0.08385094780577731,0.02431879246839694,0.0265855319489032,0.009319012083173275,0.0,4.246194299845091,True,validation-only,150,8,32,887001,887002
2.0,PS,0.45,0.08782122362640188,0.059567129664287566,0.08343016244508178,0.023863032780794213,0.025807445042739165,0.007699574015621904,0.0,6.408923689874859,True,validation-only,150,8,32,887001,887002
2.0,GS,0.45,0.08702179175111846,0.07239964797418136,0.08267070216356254,0.010271054189381176,0.010987838200438,0.0024256531744676763,0.0,8.0,True,validation-only,150,8,32,887001,887002
2.0,PS+GS,0.45,0.08782140394653937,0.05953308133997448,0.0834303337492124,0.023897252409237915,0.02584371165999859,0.007710820921593718,0.0,6.408923689874859,True,validation-only,150,8,32,887001,887002
4.0,MB-fixed,0.23,0.1696617798472415,0.13446061548983324,0.16117869085487943,0.026718075365046196,0.029276699049980592,0.009141329558671396,0.0,6.408923689874861,True,validation-only,150,8,32,887001,887002
4.0,MB-global-opt,0.23,0.169832330976881,0.13424103209362126,0.16134071442803694,0.027099682334415683,0.028925124413412565,0.01122789146531248,0.0,5.214483749515269,True,validation-only,150,8,32,887001,887002
4.0,PS,0.23,0.16966177984724262,0.13446061548984523,0.16117869085488049,0.02671807536503526,0.029276699049969004,0.00914132955866221,0.0,6.408923689874859,True,validation-only,150,8,32,887001,887002
4.0,GS,0.23,0.168116712383241,0.15337428250485985,0.1597108767640789,0.006336594259219087,0.006940005504933691,0.0009335530900957383,0.125,8.0,True,validation-only,150,8,32,887001,887002
4.0,PS+GS,0.23,0.16966216142406587,0.1344374355645664,0.1611790533528626,0.026741617788296184,0.029301486798435666,0.009148825127843006,0.0,6.408923689874859,True,validation-only,150,8,32,887001,887002
8.0,MB-fixed,0.15,0.3185213477270229,0.27801283748890204,0.30259528034067174,0.024582442851769692,0.02616613358919713,0.009518504616957073,0.0,6.408923689874861,True,validation-only,150,8,32,887001,887002
8.0,MB-global-opt,0.15,0.31881181955067894,0.2778254824667265,0.30287122857314497,0.025045746106418475,0.025578447245006186,0.011348977439721051,0.0,5.830851008351519,True,validation-only,150,8,32,887001,887002
8.0,PS,0.15,0.3185213477270241,0.2780128374888963,0.3025952803406729,0.024582442851776576,0.026166133589211688,0.009518504616948031,0.0,6.408923689874859,True,validation-only,150,8,32,887001,887002
8.0,GS,0.15,0.3154783910164828,0.3002969270602648,0.29970447146565865,-0.0005924555946061564,-0.00016202422299639585,-0.0036596928180532167,0.5,8.0,True,validation-only,150,8,32,887001,887002
8.0,PS+GS,0.15,0.3185217234163906,0.27802944117917433,0.3025956372455711,0.02456619606639674,0.02614914585210447,0.009512502815597415,0.0,6.408923689874859,True,validation-only,150,8,32,887001,887002
