comparison,scheme,baseline,mean_delta_K,std_delta_K,ci95_low,ci95_high,P_delta_K_gt_0,mean_delta_I_AB,mean_delta_chi_BE,mean_delta_outage,gain_source,repetitions,training_seed_count
Q1_PS_vs_MB_fixed,PS,MB-fixed,-5.80785419757035e-15,8.134075443297969e-16,-6.389730901789687e-15,-5.2259774933510135e-15,0.0,1.27675647831893e-15,7.019385073192552e-15,0.0,No positive gain,10,1
Q1_GS_vs_MB_fixed,GS,MB-fixed,-0.01395137624055677,0.0011851946000959843,-0.014799213382675522,-0.013103539098438019,0.0,-0.00015788254997635697,0.013801387818079231,-0.0125,No positive gain,10,1
Q1_joint_vs_MB_fixed,PS+GS,MB-fixed,3.6897084257779196e-05,3.0100385600084785e-06,3.474383238658593e-05,3.905033612897246e-05,1.0,4.213171055922338e-08,-3.685705913274995e-05,0.0,Security-driven,10,1
Q2_PS_vs_MB_global,PS,MB-global-opt,-0.00022268402287925064,0.0007619726268206778,-0.0007677664036494988,0.0003223983578909975,0.4,-0.00011442554913789205,0.00011397975119825376,0.0,No positive gain,10,1
Q2_GS_vs_MB_global,GS,MB-global-opt,-0.01417406026343021,0.0016177189239738683,-0.015331306667642944,-0.013016813859217477,0.0,-0.00027230809911552576,0.013915367569270466,-0.0125,No positive gain,10,1
Q2_joint_vs_MB_global,PS+GS,MB-global-opt,-0.0001857869386156636,0.0007616721900227887,-0.0007306543998477286,0.0003590805226164014,0.4,-0.00011438341742860957,7.712269205848444e-05,0.0,No positive gain,10,1
Q3_PS_vs_MB_oracle,PS,MB-oracle-per-state,-0.0014113281701938294,0.0006153037801172667,-0.0018514899785814472,-0.0009711663618062116,0.0,-0.001636857291805724,-0.00014368625702160936,0.0,No positive gain,10,1
Q3_joint_vs_MB_oracle,PS+GS,MB-oracle-per-state,-0.0013744310859302423,0.000614614103128925,-0.0018140995291213485,-0.000934762642739136,0.0,-0.0016368151600964415,-0.0001805433161613787,0.0,No positive gain,10,1
Q4_joint_vs_PS,PS+GS,PS,3.689708426358705e-05,3.0100385607850734e-06,3.4743832391838246e-05,3.9050336135335854e-05,1.0,4.21317092824669e-08,-3.685705913976933e-05,0.0,Security-driven,10,1
Q4_joint_vs_GS,PS+GS,GS,0.01398827332481455,0.0011879529331878698,0.013138462990069502,0.014838083659559596,1.0,0.0001579246816869162,-0.01383824487721198,0.0125,Joint improvement,10,1
