sample_id,distance_km,r_i,T_i
0,19.0000000000,154.2255646158,0.0000000000
1,19.0000000000,152.0282665573,0.0000000000
2,19.0000000000,153.6005340485,0.0000000000
3,19.0000000000,52.6125945035,0.0000000000
4,19.0000000000,29.2429473334,0.0000000000
5,19.0000000000,119.8815533098,0.0000000000
6,19.0000000000,118.1064996193,0.0000000000
7,19.0000000000,175.8111354322,0.0000000000
8,19.0000000000,28.0085740261,0.0000000000
9,19.0000000000,101.7542451502,0.0000000000
10,19.0000000000,26.3978516296,0.0000000000
11,19.0000000000,103.7979907002,0.0000000000
12,19.0000000000,130.8759630792,0.0000000000
13,19.0000000000,61.8680966757,0.0000000000
14,19.0000000000,110.3831053254,0.0000000000
15,19.0000000000,39.0041391718,0.0000000000
16,19.0000000000,30.0998364271,0.0000000000
17,19.0000000000,55.8404707997,0.0000000000
18,19.0000000000,94.4236343343,0.0000000000
19,19.0000000000,63.9201238377,0.0000000000
20,19.0000000000,111.0889135357,0.0000000000
21,19.0000000000,47.0308954705,0.0000000000
22,19.0000000000,134.8464556359,0.0000000000
23,19.0000000000,110.1812694412,0.0000000000
24,19.0000000000,80.5479938090,0.0000000000
25,19.0000000000,64.2367365714,0.0000000000
26,19.0000000000,66.9688107304,0.0000000000
27,19.0000000000,27.6142410115,0.0000000000
28,19.0000000000,42.1562969948,0.0000000000
29,19.0000000000,82.3411904522,0.0000000000
30,19.0000000000,62.0106843588,0.0000000000
31,19.0000000000,111.8354182355,0.0000000000
32,19.0000000000,83.7215673236,0.0000000000
33,19.0000000000,48.5171024502,0.0000000000
34,19.0000000000,67.5402032981,0.0000000000
35,19.0000000000,79.6687182991,0.0000000000
36,19.0000000000,58.3235971937,0.0000000000
37,19.0000000000,56.4336776252,0.0000000000
38,19.0000000000,93.2488866082,0.0000000000
39,19.0000000000,54.2013269668,0.0000000000
40,19.0000000000,114.8681868001,0.0000000000
41,19.0000000000,117.3039472768,0.0000000000
42,19.0000000000,103.5622668334,0.0000000000
43,19.0000000000,26.8791811069,0.0000000000
44,19.0000000000,105.9228720615,0.0000000000
45,19.0000000000,115.7534184210,0.0000000000
46,19.0000000000,105.3596690192,0.0000000000
47,19.0000000000,52.6365482381,0.0000000000
48,19.0000000000,56.3481474438,0.0000000000
49,19.0000000000,40.4928738414,0.0000000000
50,19.0000000000,59.2099636377,0.0000000000
51,19.0000000000,14.4617311881,0.0000000000
52,19.0000000000,40.6903525694,0.0000000000
53,19.0000000000,114.0624139104,0.0000000000
54,19.0000000000,198.8244502090,0.0000000000
55,19.0000000000,74.6675556164,0.0000000000
56,19.0000000000,53.0102459491,0.0000000000
57,19.0000000000,62.7305078847,0.0000000000
58,19.0000000000,59.7901511502,0.0000000000
59,19.0000000000,35.8120425351,0.0000000000
60,19.0000000000,103.5260645799,0.0000000000
61,19.0000000000,116.6690491742,0.0000000000
62,19.0000000000,122.1359401548,0.0000000000
63,19.0000000000,229.1990234400,0.0000000000
64,19.0000000000,144.3668711490,0.0000000000
65,19.0000000000,127.5661757262,0.0000000000
66,19.0000000000,101.6049226304,0.0000000000
67,19.0000000000,76.5637755186,0.0000000000
68,19.0000000000,20.9712129568,0.0000000000
69,19.0000000000,97.2828121442,0.0000000000
70,19.0000000000,78.4061284407,0.0000000000
71,19.0000000000,122.1421060717,0.0000000000
72,19.0000000000,141.6460408236,0.0000000000
73,19.0000000000,57.3171174861,0.0000000000
74,19.0000000000,22.1855390683,0.0000000000
75,19.0000000000,95.6531830742,0.0000000000
76,19.0000000000,158.9393278865,0.0000000000
77,19.0000000000,90.1282232699,0.0000000000
78,19.0000000000,145.1965175613,0.0000000000
79,19.0000000000,86.3121700262,0.0000000000
80,19.0000000000,114.0163133622,0.0000000000
81,19.0000000000,53.4510330444,0.0000000000
82,19.0000000000,36.4668121368,0.0000000000
83,19.0000000000,37.5446895612,0.0000000000
84,19.0000000000,34.1213261941,0.0000000000
85,19.0000000000,23.2571888905,0.0000000000
86,19.0000000000,130.3178745621,0.0000000000
87,19.0000000000,66.6203929651,0.0000000000
88,19.0000000000,61.8070161819,0.0000000000
89,19.0000000000,96.1759879732,0.0000000000
90,19.0000000000,43.0428926657,0.0000000000
91,19.0000000000,137.7614493336,0.0000000000
92,19.0000000000,113.0561426076,0.0000000000
93,19.0000000000,57.0726502628,0.0000000000
94,19.0000000000,44.5478653868,0.0000000000
95,19.0000000000,72.4812333519,0.0000000000
96,19.0000000000,54.9161102185,0.0000000000
97,19.0000000000,27.3734297331,0.0000000000
98,19.0000000000,70.5823023827,0.0000000000
99,19.0000000000,149.2597736962,0.0000000000
100,19.0000000000,99.9041619421,0.0000000000
101,19.0000000000,174.6286851991,0.0000000000
102,19.0000000000,142.2882339252,0.0000000000
103,19.0000000000,105.1647608712,0.0000000000
104,19.0000000000,135.3089801270,0.0000000000
105,19.0000000000,84.8040894984,0.0000000000
106,19.0000000000,102.7839420447,0.0000000000
107,19.0000000000,61.3320015487,0.0000000000
108,19.0000000000,46.5528227685,0.0000000000
109,19.0000000000,145.6718312736,0.0000000000
110,19.0000000000,37.2566425557,0.0000000000
111,19.0000000000,43.1154103625,0.0000000000
112,19.0000000000,55.4013576292,0.0000000000
113,19.0000000000,97.8353139708,0.0000000000
114,19.0000000000,63.9861593478,0.0000000000
115,19.0000000000,82.2908613176,0.0000000000
116,19.0000000000,146.1756192863,0.0000000000
117,19.0000000000,123.5017415354,0.0000000000
118,19.0000000000,107.6451678572,0.0000000000
119,19.0000000000,41.1248909713,0.0000000000
120,19.0000000000,108.4771046009,0.0000000000
121,19.0000000000,67.0543390915,0.0000000000
122,19.0000000000,34.9918381274,0.0000000000
123,19.0000000000,62.8620164072,0.0000000000
124,19.0000000000,26.4205400866,0.0000000000
125,19.0000000000,95.1483035034,0.0000000000
126,19.0000000000,98.0463067804,0.0000000000
127,19.0000000000,53.9592006029,0.0000000000
128,19.0000000000,21.2960624786,0.0000000000
129,19.0000000000,164.3223980182,0.0000000000
130,19.0000000000,89.3968042261,0.0000000000
131,19.0000000000,121.3339630972,0.0000000000
132,19.0000000000,59.0787687891,0.0000000000
133,19.0000000000,128.7832062349,0.0000000000
134,19.0000000000,127.4267179776,0.0000000000
135,19.0000000000,30.3542969399,0.0000000000
136,19.0000000000,231.8108568525,0.0000000000
137,19.0000000000,81.6338168114,0.0000000000
138,19.0000000000,117.5943225168,0.0000000000
139,19.0000000000,49.1017675294,0.0000000000
140,19.0000000000,98.6571160614,0.0000000000
141,19.0000000000,53.2154481876,0.0000000000
142,19.0000000000,126.3614649859,0.0000000000
143,19.0000000000,67.6855904699,0.0000000000
144,19.0000000000,87.7942581918,0.0000000000
145,19.0000000000,72.2796896182,0.0000000000
146,19.0000000000,86.3405518709,0.0000000000
147,19.0000000000,68.3564813624,0.0000000000
148,19.0000000000,77.8750582514,0.0000000000
149,19.0000000000,16.8567536825,0.0000000000
150,19.0000000000,125.3223098041,0.0000000000
151,19.0000000000,157.5711610277,0.0000000000
152,19.0000000000,75.8129221449,0.0000000000
153,19.0000000000,183.5146616667,0.0000000000
154,19.0000000000,40.7790127503,0.0000000000
155,19.0000000000,165.9798689407,0.0000000000
156,19.0000000000,60.0388444688,0.0000000000
157,19.0000000000,81.3340507380,0.0000000000
158,19.0000000000,155.2735746575,0.0000000000
159,19.0000000000,35.4359244130,0.0000000000
