stage,point_index,T,epsilon,SNR_dB,scheme,repetition,I_AB,chi_BE,beta_I_AB,K_raw,K_positive,entropy,outage,noise_seed,ncut,awgn_samples,case_id,case_type,oracle_nu
confirmation,0,0.1,0.03,-6.9962095796561385,MB-fixed,0,0.13896168893964145,0.10885544238422873,0.13201360449265936,0.023158162108430635,0.023158162108430635,6.408923689874861,0,1240000,150,512,0,best_overall,0.15
confirmation,1,0.06812920690579609,0.015,-8.658585253667717,MB-fixed,0,0.09534192885936221,0.07097453225988226,0.0905748324163941,0.019600300156511832,0.019600300156511832,6.408923689874861,0,1240000,150,512,1,best_overall,0.23
confirmation,2,0.03162277660168379,0.0,-11.989700043360187,MB-fixed,0,0.04562279134993119,0.030731486570848787,0.04334165178243463,0.012610165211585846,0.012610165211585846,6.408923689874861,0,1240000,150,512,2,best_overall,0.5
confirmation,3,3.1622776602e-05,0.03,-41.98970210335588,MB-fixed,0,4.599803093974231e-05,4.293545989764169e-05,4.369812939275519e-05,7.626694951134994e-07,7.626694951134994e-07,6.408923689874861,0,1240000,150,512,3,near_threshold,0.15
confirmation,4,1.4677992676e-05,0.025,-45.323034173580155,MB-fixed,0,2.1197493340174844e-05,1.934969384520535e-05,2.01376186731661e-05,7.879248279607489e-07,7.879248279607489e-07,6.408923689874861,0,1240000,150,512,4,near_threshold,0.37
confirmation,5,1.2115276586e-05,0.025,-46.156367367829006,MB-fixed,0,1.7545616045389067e-05,1.6016495482329418e-05,1.6668335243119615e-05,6.518397607901967e-07,6.518397607901967e-07,6.408923689874861,0,1240000,150,512,5,near_threshold,0.35
confirmation,6,0.004641588833613,0.025,-20.32328534643597,MB-fixed,0,0.0066624397717784944,0.005581897562515037,0.00632931778318957,0.0007474202206745328,0.0007474202206745328,6.408923689874861,0,1240000,150,512,6,failure,0.3
confirmation,7,0.004641588833613,0.03,-20.323335738630295,MB-fixed,0,0.006767676331609351,0.005748056005564051,0.006429292515028884,0.0006812365094648332,0.0006812365094648332,6.408923689874861,0,1240000,150,512,7,failure,0.33
confirmation,8,0.002154434690032,0.01,-23.65641349272952,MB-fixed,0,0.003099388866342423,0.0023641699892906765,0.0029444194230253016,0.0005802494337346252,0.0005802494337346252,6.408923689874861,0,1240000,150,512,8,failure,0.32
confirmation,0,0.1,0.03,-6.9962095796561385,MB-global-opt,0,0.1406041710151298,0.10799463093903161,0.13357396246437328,0.02557933152534167,0.02557933152534167,4.7380473561634675,0,1240000,150,512,0,best_overall,0.15
confirmation,1,0.06812920690579609,0.015,-8.658585253667717,MB-global-opt,0,0.09550730199796131,0.07048725702455805,0.09073193689806325,0.0202446798735052,0.0202446798735052,4.7380473561634675,0,1240000,150,512,1,best_overall,0.23
