case_id,case_type,T,epsilon,SNR_dB,baseline,oracle_nu,mean_K_MB,mean_K_joint,mean_delta_K,std_delta_K,ci95_low,ci95_high,P_delta_gt_0,key_extension_fraction,mean_delta_I_AB,mean_delta_chi_BE,gain_source,evaluation_seed_significant,training_seed_count,outperform_allowed
0,best_overall,0.1,0.03,-6.9962095796561385,MB-fixed,0.15,0.02168312081058197,0.021841092845262006,0.00015797203468003728,2.5796510243692786e-07,0.00015778749756250503,0.00015815657179756953,1.0,0.0,-1.3065857640270906e-08,-0.00015798444724479666,Security-driven,True,1,False
0,best_overall,0.1,0.03,-6.9962095796561385,MB-global-opt,0.15,0.022663593146158154,0.021841092845262006,-0.0008225003008961479,0.0010566930108919527,-0.0015784129437473185,-6.658765804497735e-05,0.2,0.0,-0.00012597189783560835,0.0007028269979523216,No positive gain,False,1,False
0,best_overall,0.1,0.03,-6.9962095796561385,MB-oracle-per-state,0.15,0.022534143493171326,0.021841092845262006,-0.0006930506479093212,0.00027529985796098417,-0.0008899883025193203,-0.0004961129932993221,0.0,0.0,-6.559549301634603e-05,0.000630734929543797,No positive gain,False,1,False
1,best_overall,0.06812920690579609,0.015,-8.658585253667717,MB-fixed,0.23,0.01902140029260569,0.01911141645634291,9.001616373721933e-05,1.286236018406834e-07,8.99241519553695e-05,9.010817551906915e-05,1.0,0.0,3.81535316229531e-08,-8.997991788217696e-05,Security-driven,True,1,False
1,best_overall,0.06812920690579609,0.015,-8.658585253667717,MB-global-opt,0.23,0.01929910110634222,0.01911141645634291,-0.00018768464999931178,0.0006879385283928764,-0.0006798062271806116,0.00030443692718198803,0.4,0.0,0.000220642807834448,0.00039729531744203683,No positive gain,False,1,False
1,best_overall,0.06812920690579609,0.015,-8.658585253667717,MB-oracle-per-state,0.23,0.019400434330025203,0.01911141645634291,-0.00028901787368229294,0.0004845298781625734,-0.0006356296681835787,5.759392081899293e-05,0.3,0.0,0.00014765411747310608,0.00042928928528174204,No positive gain,False,1,False
2,best_overall,0.03162277660168379,0.0,-11.989700043360187,MB-fixed,0.5,0.011932442395381835,0.011936978546146448,4.536150764614111e-06,2.800373410584062e-08,4.516118100028037e-06,4.556183429200186e-06,1.0,0.0,-1.905353039788338e-08,-4.554251618493765e-06,Security-driven,True,1,False
2,best_overall,0.03162277660168379,0.0,-11.989700043360187,MB-global-opt,0.5,0.012027767704794587,0.011936978546146448,-9.078915864813922e-05,0.0004206483997561656,-0.0003917028964066562,0.0002101245791103778,0.4,0.0,-8.446413238232253e-05,1.0548232884932673e-05,No positive gain,False,1,False
2,best_overall,0.03162277660168379,0.0,-11.989700043360187,MB-oracle-per-state,0.5,0.012093147388020678,0.011936978546146448,-0.00015616884187423034,0.0006406212089000427,-0.0006144416477834749,0.0003021039640350143,0.4,0.0,-0.00018154667439214124,-1.6300498798305085e-05,No positive gain,False,1,False
3,near_threshold,3.1622776602e-05,0.03,-41.98970210335588,MB-fixed,0.15,5.002074345572515e-07,6.14086351506946e-07,1.1387891694969441e-07,1.997900692500376e-11,1.1386462482911582e-07,1.1389320907027299e-07,1.0,0.0,-3.0630609160198217e-12,-1.1388182685756476e-07,Security-driven,True,1,False
3,near_threshold,3.1622776602e-05,0.03,-41.98970210335588,MB-global-opt,0.15,1.1396923045436917e-06,6.14086351506946e-07,-5.256059530367458e-07,3.184935280229447e-07,-7.534424978205502e-07,-2.9776940825294137e-07,0.0,0.0,-2.1679893258408357e-08,5.050100544412572e-07,No positive gain,False,1,False
3,near_threshold,3.1622776602e-05,0.03,-41.98970210335588,MB-oracle-per-state,0.15,1.067482470076263e-06,6.14086351506946e-07,-4.5339611856931707e-07,9.76665728242197e-08,-5.232625759233358e-07,-3.835296612152984e-07,0.0,0.0,-6.792149065404374e-11,4.533315931531945e-07,No positive gain,False,1,False
