T,epsilon,SNR_dB,scheme,mean_I_AB,mean_chi_BE,mean_K_raw,std_K_raw,ci95_low,ci95_high,mean_K_positive,mean_entropy,outage_probability,repetitions
1e-05,0.0,-46.98970004336019,GS,1.4427463649546723e-05,1.3591072813179395e-05,1.150176538899915e-07,8.944770337132634e-08,-1.0718275928142381e-07,3.372180670614068e-07,1.150176538899915e-07,8.0,0.0,3
1e-05,0.0,-46.98970004336019,MB-fixed,1.3763515032572116e-05,1.0007266269429493e-05,3.0680730115140155e-06,4.059645756842579e-07,2.0596010994345266e-06,4.076544923593504e-06,3.0680730115140155e-06,6.408923689874861,0.0,3
1e-05,0.0,-46.98970004336019,MB-global-opt,1.308074790558796e-05,9.999943052063642e-06,2.4267674582449193e-06,1.256908593413964e-06,-6.955665788390779e-07,5.549101495328916e-06,2.4267674582449193e-06,4.7380473561634675,0.0,3
1e-05,0.0,-46.98970004336019,PS,1.3763515032868176e-05,1.0007266269429493e-05,3.0680730117952724e-06,4.0596457522277294e-07,2.059601100862176e-06,4.076544922728369e-06,3.0680730117952724e-06,6.408923689874858,0.0,3
1e-05,0.0,-46.98970004336019,PS+GS,1.3763520536909843e-05,1.000501153236577e-05,3.0703329776985783e-06,4.0597754860535723e-07,2.0618288390965554e-06,4.078837116300601e-06,3.0703329776985783e-06,6.408923689874858,0.0,3
1.4677992676220705e-05,0.0,-45.323033376693516,GS,2.1341866855983938e-05,1.9822343265474274e-05,4.524302477104669e-07,2.128343378524276e-07,-7.627955729760733e-08,9.811400527185413e-07,4.524302477104669e-07,8.0,0.0,3
1.4677992676220705e-05,0.0,-45.323033376693516,MB-fixed,2.0888364161919526e-05,1.4688411007268698e-05,5.155534946554851e-06,2.96076619448342e-07,4.420039850624788e-06,5.891030042484914e-06,5.155534946554851e-06,6.408923689874861,0.0,3
1.4677992676220705e-05,0.0,-45.323033376693516,MB-global-opt,2.0950107183577888e-05,1.4677845359356567e-05,5.2247564650424265e-06,1.6720663905126242e-07,4.809392147325308e-06,5.640120782759545e-06,5.2247564650424265e-06,4.7380473561634675,0.0,3
1.4677992676220705e-05,0.0,-45.323033376693516,PS,2.0888364163695883e-05,1.4688411007268698e-05,5.1555349482423905e-06,2.960766194483439e-07,4.420039852312322e-06,5.891030044172459e-06,5.1555349482423905e-06,6.408923689874858,0.0,3
1.4677992676220705e-05,0.0,-45.323033376693516,PS+GS,2.0888374943517363e-05,1.4685160047767098e-05,5.1587961485743955e-06,2.9608873811613836e-07,4.423270948204644e-06,5.894321348944147e-06,5.1587961485743955e-06,6.408923689874858,0.0,3
2.1544346900318823e-05,0.0,-43.65636671002686,GS,3.158300532657421e-05,2.8909327006720886e-05,1.0945280535246104e-06,7.625242343262886e-07,-7.996871530653948e-07,2.9887432601146155e-06,1.0945280535246104e-06,8.0,0.0,3
2.1544346900318823e-05,0.0,-43.65636671002686,MB-fixed,3.121084558651196e-05,2.1559232970647102e-05,8.091070336539254e-06,6.602795309714843e-07,6.450845053376495e-06,9.731295619702012e-06,8.091070336539254e-06,6.408923689874861,0.0,3
2.1544346900318823e-05,0.0,-43.65636671002686,MB-global-opt,2.9565237618397095e-05,2.1543993844019838e-05,6.542981893457403e-06,8.70183862312208e-07,4.381325344957878e-06,8.704638441956928e-06,6.542981893457403e-06,4.7380473561634675,0.0,3
2.1544346900318823e-05,0.0,-43.65636671002686,PS,3.121084558858437e-05,2.1559232970647102e-05,8.091070338508051e-06,6.60279530701093e-07,6.450845056016983e-06,9.73129562099912e-06,8.091070338508051e-06,6.408923689874858,0.0,3
2.1544346900318823e-05,0.0,-43.65636671002686,PS+GS,3.121086261526074e-05,2.1554547131374946e-05,8.095772353122753e-06,6.603159921458548e-07,6.455456495381728e-06,9.736088210863779e-06,8.095772353122753e-06,6.408923689874858,0.0,3
3.1622776601683795e-05,0.0,-41.98970004336019,GS,4.616626383224798e-05,4.2160155840687e-05,1.6977947999485784e-06,6.619417466540144e-07,5.3440344123835805e-08,3.342149255773321e-06,1.6977947999485784e-06,8.0,0.0,3
3.1622776601683795e-05,0.0,-41.98970004336019,MB-fixed,4.6185711162512653e-05,3.164393732024706e-05,1.2232488284139956e-05,1.066521843599692e-06,9.583101152081306e-06,1.4881875416198606e-05,1.2232488284139956e-05,6.408923689874861,0.0,3
3.1622776601683795e-05,0.0,-41.98970004336019,MB-global-opt,4.609117907872218e-05,3.1621964325490026e-05,1.216465579929604e-05,7.491744395400341e-07,1.0303603321378287e-05,1.4025708277213792e-05,1.216465579929604e-05,4.7380473561634675,0.0,3
3.1622776601683795e-05,0.0,-41.98970004336019,PS,4.618571116340083e-05,3.164393732024706e-05,1.2232488284983724e-05,1.0665218436633134e-06,9.58310115276703e-06,1.4881875417200419e-05,1.2232488284983724e-05,6.408923689874858,0.0,3
3.1622776601683795e-05,0.0,-41.98970004336019,PS+GS,4.6185722997490096e-05,3.163718553111927e-05,1.2239251316496315e-05,1.0665210827478847e-06,9.589866074498331e-06,1.4888636558494298e-05,1.2239251316496315e-05,6.408923689874858,0.0,3
4.641588833612782e-05,0.0,-40.323033376693516,GS,6.689869134568482e-05,6.148186535726019e-05,2.0718914211403908e-06,4.4002022624814097e-07,9.788205831980171e-07,3.164962259082764e-06,2.0718914211403908e-06,8.0,0.0,3
4.641588833612782e-05,0.0,-40.323033376693516,MB-fixed,6.678676427599821e-05,4.644573581891187e-05,1.700169024328642e-05,1.5885012069637232e-06,1.3055634489955817e-05,2.094774599661702e-05,1.700169024328642e-05,6.408923689874861,0.0,3
4.641588833612782e-05,0.0,-40.323033376693516,MB-global-opt,6.573462964502379e-05,4.641406357008826e-05,1.6033834592684334e-05,9.418756507299767e-07,1.3694085768955612e-05,1.8373583416413055e-05,1.6033834592684334e-05,4.7380473561634675,0.0,3
4.641588833612782e-05,0.0,-40.323033376693516,PS,6.678676427718244e-05,4.644573581891187e-05,1.7001690244411445e-05,1.588501207279668e-06,1.3055634490295994e-05,2.0947745998526896e-05,1.7001690244411445e-05,6.408923689874858,0.0,3
4.641588833612782e-05,0.0,-40.323033376693516,PS+GS,6.678665281908043e-05,4.6436010618711165e-05,1.7011309559415245e-05,1.5884770733146593e-06,1.3065313757392407e-05,2.0957305361438083e-05,1.7011309559415245e-05,6.408923689874858,0.0,3
6.812920690579608e-05,0.0,-38.65636671002686,GS,9.804835684394202e-05,8.965440464092644e-05,3.491534360818463e-06,2.6995259718230954e-06,-3.214459909553644e-06,1.019752863119057e-05,3.491534360818463e-06,8.0,0.0,3
6.812920690579608e-05,0.0,-38.65636671002686,MB-fixed,0.00010026283033770511,6.817080514243123e-05,2.707888367838862e-05,4.279084091586277e-06,1.6449049514859977e-05,3.770871784191726e-05,2.707888367838862e-05,6.408923689874861,0.0,3
6.812920690579608e-05,0.0,-38.65636671002686,MB-global-opt,0.00010145170766466076,6.812516736443008e-05,2.8253954916997626e-05,7.541454407447849e-06,9.519943622242842e-06,4.6987966211752414e-05,2.8253954916997626e-05,4.7380473561634675,0.0,3
6.812920690579608e-05,0.0,-38.65636671002686,PS,0.00010026283033800117,6.817080514243123e-05,2.7078883678669875e-05,4.279084091991847e-06,1.6449049514133737e-05,3.770871784320601e-05,2.7078883678669875e-05,6.408923689874858,0.0,3
