pass,nu,I_AB,chi_BE,beta_I_AB,K_raw_mean,K_raw_median,K_raw_p05,outage_probability,entropy,finite,points,ncut,awgn_samples
coarse,0.01,0.018294987335210695,0.016810810292468246,0.01738023796845016,0.000569427675981912,-1.4450134899979261e-05,-0.0016114593508918481,0.6875,7.952778553853429,True,48,64,32
coarse,0.02,0.018304657549017167,0.0159017213280366,0.017389424671566307,0.0014877033435297066,-1.1149006942767776e-06,-0.00035793084737568515,0.5,7.829874294999645,True,48,64,32
coarse,0.03,0.01831273701828164,0.015223236552410202,0.017397100167367556,0.0021738636149573553,3.5110426259077346e-05,-6.039662762324482e-05,0.2916666666666667,7.659520752632774,True,48,64,32
coarse,0.04,0.01831862375655994,0.014738050040089188,0.01740269256873194,0.002664642528642754,6.24881139694055e-05,-1.5735070330893393e-05,0.1875,7.4656917994296395,True,48,64,32
coarse,0.05,0.018322498166913614,0.014401880760194163,0.017406373258567934,0.003004492498373769,8.247728375920804e-05,-7.177667945619255e-06,0.16666666666666666,7.265672052666707,True,48,64,32
coarse,0.06,0.018324886306029554,0.014173533825566215,0.01740864199072808,0.0032351081651618638,0.00010886399010723302,-6.150013001016144e-07,0.0625,7.0702889438234635,True,48,64,32
coarse,0.07,0.018326359626442485,0.014019935761035014,0.01741004164512036,0.003390105884085346,0.00018447838986401734,1.0492894758162834e-06,0.041666666666666664,6.88536749728838,True,48,64,32
coarse,0.08,0.01832738846695897,0.013916893874296985,0.01741101904361102,0.003494125169314036,0.00020263656337993208,1.3320110975367773e-06,0.041666666666666664,6.71337379669229,True,48,64,32
coarse,0.09,0.018328301541623904,0.013847671748510176,0.017411886464542708,0.003564214716032532,0.0002080434807168796,1.502294807209646e-06,0.020833333333333332,6.554763747644943,True,48,64,32
coarse,0.1,0.018329299204887312,0.013801026222519608,0.017412834244642947,0.003611808022123339,0.00021153367852566607,1.6132303592009111e-06,0.020833333333333332,6.408923689874861,True,48,64,32
coarse,0.11,0.018330485282891735,0.01376949130200232,0.01741396101874715,0.003644469716744828,0.00021374524088564324,1.6845386567121419e-06,0.0,6.274758286631716,True,48,64,32
coarse,0.12,0.018331899408315866,0.013748113914902979,0.01741530443790007,0.003667190522997093,0.00021509106838417668,1.7293486634462059e-06,0.0,6.151026040143364,True,48,64,32
coarse,0.13,0.018333542937851128,0.013733594093745239,0.01741686579095857,0.003683271697213332,0.00021584205807034795,1.7564248501922275e-06,0.0,6.036513292969625,True,48,64,32
coarse,0.14,0.018335397231545498,0.013723720256682734,0.017418627369968222,0.003694907113285488,0.00021617890419052256,1.771640054828438e-06,0.0,5.930112958856601,True,48,64,32
coarse,0.15,0.018337435388173506,0.013717002418967311,0.01742056361876483,0.00370356119979752,0.00021622414986157692,1.7789410071755705e-06,0.020833333333333332,5.830851008351518,True,48,64,32
coarse,0.16,0.0183396291296569,0.013712430730457604,0.017422647673174054,0.0037102169427164523,0.00021606239302116573,1.7809898297183035e-06,0.020833333333333332,5.7378865670206,True,48,64,32
coarse,0.17,0.018341952403188328,0.01370932174667977,0.017424854783028913,0.003715533036349142,0.00021575266448283772,1.7795748885807138e-06,0.020833333333333332,5.650500223421142,True,48,64,32
coarse,0.18,0.018344382920607173,0.013707206672411635,0.017427163774576815,0.0037199571021651807,0.00021533721985751426,1.7759113640503078e-06,0.020833333333333332,5.568078296414592,True,48,64,32
coarse,0.19,0.01834690249586135,0.013705771989526966,0.01742955737106828,0.003723785381541316,0.00021484599532421987,1.7708003755800831e-06,0.020833333333333332,5.490096878324114,True,48,64,32
coarse,0.2,0.018349496748051843,0.013704795708988008,0.01743202191064925,0.0037272262016612434,0.0002143015706028483,1.7648013560278552e-06,0.020833333333333332,5.4161073236563695,True,48,64,32
coarse,0.21,0.018352154522483066,0.013704139222788953,0.01743454679635891,0.0037304075735699587,0.00021371954722106947,1.7582523896608733e-06,0.020833333333333332,5.345723743994046,True,48,64,32
coarse,0.22,0.018354867234940803,0.01370370506670405,0.017437123873193766,0.0037334188064897123,0.00021311191789763484,1.7513846432604113e-06,0.020833333333333332,5.278612536839441,True,48,64,32
coarse,0.23,0.01835762824576988,0.01370342528807474,0.017439746833481387,0.0037363215454066464,0.00021248791847128246,1.7443499123204192e-06,0.020833333333333332,5.214483749515269,True,48,64,32
coarse,0.24,0.018360432333125655,0.013703321980473027,0.017442410716469375,0.0037390887359963466,0.00021184883987999107,1.6832137919164854e-06,0.020833333333333332,5.153084006939551,True,48,64,32
coarse,0.25,0.018363275241100686,0.013703408152596866,0.017445111479045653,0.003741703326448787,0.00021119637737239123,1.534668536320442e-06,0.020833333333333332,5.09419073200754,True,48,64,32
coarse,0.26,0.01836615334184366,0.013703668932159139,0.017447845674751477,0.003744176742592338,0.00021053421730603532,1.3484264237195798e-06,0.020833333333333332,5.037607417004592,True,48,64,32
coarse,0.27,0.018369063397455733,0.013704078270045295,0.017450610227582947,0.003746531957537652,0.00020986664727089542,1.1652327252042945e-06,0.020833333333333332,4.983159742697148,True,48,64,32
coarse,0.28,0.01837200237097314,0.013704665673069605,0.01745340225242448,0.003748736579354877,0.00020919291692993446,9.8332656027101e-07,0.020833333333333332,4.930692379115898,True,48,64,32
coarse,0.29,0.01837496730298573,0.013705451324869614,0.017456218937836443,0.0037507676129668282,0.00020851275751470054,8.013189551170289e-07,0.020833333333333332,4.8800663348979345,True,48,64,32
coarse,0.3,0.018377955235666432,0.013706474267151842,0.017459057473883106,0.0037525832067312665,0.00020782402454493358,7.817211673954982e-07,0.020833333333333332,4.831156749170511,True,48,64,32
coarse,0.31,0.01838096318794319,0.013707778508002092,0.017461915028546028,0.0037541365205439356,0.00020712392066211114,7.865569886100757e-07,0.041666666666666664,4.783851041928202,True,48,64,32
coarse,0.32,0.01838398812396095,0.01370941151585026,0.017464788717762903,0.003755377201912643,0.00020640913907432612,7.909371887349082e-07,0.041666666666666664,4.7380473561634675,True,48,64,32
coarse,0.33,0.01838702694769221,0.013711423386711542,0.017467675600307597,0.0037562522135960587,0.00020567595676803654,7.946867117714077e-07,0.041666666666666664,4.693653238773344,True,48,64,32
coarse,0.34,0.018390076514588162,0.013713866203934999,0.017470572688858755,0.0037567064849237572,0.00020492031450287663,7.976222085659384e-07,0.041666666666666664,4.650584517896503,True,48,64,32
coarse,0.35,0.01839313366522229,0.013716793463668428,0.017473476981961174,0.003756683518292748,0.0002041379028594914,7.995699531426749e-07,0.041666666666666664,4.6087643427564595,True,48,64,32
coarse,0.36,0.018396195219955093,0.013720259539328691,0.01747638545895734,0.0037561259196286488,0.00020332420183442055,8.003433288550356e-07,0.041666666666666664,4.5681223586130075,True,48,64,32
coarse,0.37,0.018399258025859844,0.013724319185397344,0.01747929512456685,0.0037549759391695067,0.00020247456258657418,7.997682939309134e-07,0.041666666666666664,4.528593994753736,True,48,64,32
coarse,0.38,0.018402318952702463,0.013729027086452789,0.01748220300506734,0.0037531759186145504,0.00020158423474232458,7.976607005066866e-07,0.041666666666666664,4.490119847374229,True,48,64,32
coarse,0.39,0.018405374936753316,0.013734437456644192,0.017485106189915646,0.0037506687332714565,0.00020064843363103434,7.938498215165331e-07,0.041666666666666664,4.452645142666524,True,48,64,32
coarse,0.4,0.018408422983322088,0.013740603692597464,0.017488001834155983,0.0037473981415585187,0.0001996623635278416,7.881643242391151e-07,0.041666666666666664,4.416119267855104,True,48,64,32
coarse,0.41,0.018411460186521823,0.013747578080368814,0.017490887177195734,0.0037433090968269195,0.00019862125299714418,7.770010276031412e-07,0.041666666666666664,4.380495360181545,True,48,64,32
