fading_distribution,repetition,scheme,target_mean_T,sample_mean_T,sample_variance_T,deep_fade_probability_T_lt_0.1mean,epsilon,I_AB,chi_BE,beta_I_AB,K_raw_mean,K_raw_median,K_raw_p05,outage_probability,entropy,finite,channel_seed,awgn_seed
deterministic,0,MB-fixed,1.2115276586e-05,1.2115276585999999e-05,2.915412576444165e-42,0.0,0.025,1.74676427020376e-05,1.6016495482329418e-05,1.659426056693572e-05,5.777650846063014e-07,5.688632210620867e-07,2.612823008485403e-07,0.0,6.408923689874861,True,1250000,1250001
deterministic,0,MB-global-opt,1.2115276586e-05,1.2115276585999999e-05,2.915412576444165e-42,0.0,0.025,1.745950818263231e-05,1.578171546512408e-05,1.6586532773500694e-05,8.048173083766146e-07,7.353809522436788e-07,2.6010564136979974e-07,0.0,4.7380473561634675,True,1250000,1250001
deterministic,0,PS,1.2115276586e-05,1.2115276585999999e-05,2.915412576444165e-42,0.0,0.025,1.7467642703494768e-05,1.6016495482329418e-05,1.6594260568320027e-05,5.777650859906108e-07,5.688632235933973e-07,2.61282301818876e-07,0.0,6.408923689874859,True,1250000,1250001
deterministic,0,GS,1.2115276586e-05,1.2115276585999999e-05,2.915412576444165e-42,0.0,0.025,1.7477484431038803e-05,2.558754243286998e-05,1.660361020948686e-05,-8.983932223383118e-06,-8.978382319591028e-06,-9.125535111809137e-06,1.0,8.0,True,1250000,1250001
deterministic,0,PS+GS,1.2115276586e-05,1.2115276585999999e-05,2.915412576444165e-42,0.0,0.025,1.7467642425147978e-05,1.5973224624765692e-05,1.6594260303890575e-05,6.210356791248863e-07,6.121304934492138e-07,3.045490832587191e-07,0.0,6.408923689874859,True,1250000,1250001
beta_low_variance,0,MB-fixed,1.2115276586e-05,3.797466177899215e-09,8.778334082152813e-16,1.0,0.025,5.520748996845626e-09,5.31742444173644e-09,5.244711547003344e-09,-7.271289473309606e-11,-2.747135852132489e-13,-2.8529401063792656e-12,1.0,6.408923689874861,True,1260000,1260001
beta_low_variance,0,MB-global-opt,1.2115276586e-05,3.797466177899215e-09,8.778334082152813e-16,1.0,0.025,5.556541810003424e-09,5.224033341327816e-09,5.278714719503253e-09,5.4681378175436264e-11,-3.103972634477259e-11,-3.110182777987802e-11,0.984375,4.7380473561634675,True,1260000,1260001
beta_low_variance,0,PS,1.2115276586e-05,3.797466177899215e-09,8.778334082152813e-16,1.0,0.025,5.520750440135558e-09,5.31742444173644e-09,5.2447129181287784e-09,-7.271152360766083e-11,-2.7344793096517616e-13,-2.8529401063792656e-12,1.0,6.408923689874859,True,1260000,1260001
beta_low_variance,0,GS,1.2115276586e-05,3.797466177899215e-09,8.778334082152813e-16,1.0,0.025,5.4889319756057375e-09,9.173911130755386e-09,5.214485376825451e-09,-3.959425753929935e-09,-1.9742874002304237e-12,-2.136280707887294e-11,1.0,8.0,True,1260000,1260001
beta_low_variance,0,PS+GS,1.2115276586e-05,3.797466177899215e-09,8.778334082152813e-16,1.0,0.025,5.520748566634204e-09,5.300203165248263e-09,5.244711138302494e-09,-5.5492026945769613e-11,-2.6409985309783236e-13,-2.7733992880030206e-12,1.0,6.408923689874859,True,1260000,1260001
beta_medium_variance,0,MB-fixed,1.2115276586e-05,1.17784498608696e-12,2.0242457008813495e-24,1.0,0.025,1.6994600171571506e-12,1.9244363047565827e-12,1.614487016299293e-12,-3.0994928845728975e-13,-2.76401124210679e-13,-2.936140219844675e-13,1.0,6.408923689874861,True,1270000,1270001
beta_medium_variance,0,MB-global-opt,1.2115276586e-05,1.17784498608696e-12,2.0242457008813495e-24,1.0,0.025,-3.072063436970751e-11,1.878119187948002e-12,-2.9184602651222136e-11,-3.106272183917014e-11,-3.103424184303094e-11,-3.1078497553238546e-11,1.0,4.7380473561634675,True,1270000,1270001
