fading_distribution,scheme,mean_variance_T,mean_deep_fade_probability,mean_K,mean_median_K,mean_K_p05,mean_outage
deterministic,MB-fixed,2.915412576444165e-42,0.0,5.842349093863879e-07,5.811056248505855e-07,2.9267154896328477e-07,0.0
deterministic,MB-global-opt,2.915412576444165e-42,0.0,8.096644820693158e-07,8.14196535630084e-07,2.733096286522402e-07,0.0046875
deterministic,PS,2.915412576444165e-42,0.0,5.8423491067841e-07,5.811056261162399e-07,2.926715505031644e-07,0.0
deterministic,GS,2.915412576444165e-42,0.0,-8.983155324009397e-06,-8.985381930759484e-06,-9.136444889820349e-06,1.0
deterministic,PS+GS,2.915412576444165e-42,0.0,6.275055253551758e-07,6.243712039188934e-07,3.359392716786311e-07,0.0
beta_low_variance,MB-fixed,5.7200394520826665e-08,0.959375,3.681472443887305e-06,-2.7378543876466215e-13,-3.23382150169138e-10,0.959375
beta_low_variance,MB-global-opt,5.7200394520826665e-08,0.959375,4.3229649664460595e-06,-3.103221679623402e-11,-4.268642417315505e-11,0.9484375
beta_low_variance,PS,5.7200394520826665e-08,0.959375,3.681472445209929e-06,-2.7230884214191067e-13,-3.233810068614675e-10,0.959375
beta_low_variance,GS,5.7200394520826665e-08,0.959375,-9.207378836144575e-06,-1.9742874002304233e-12,-5.500255854885781e-06,1.0
beta_low_variance,PS+GS,5.7200394520826665e-08,0.959375,3.740735807673255e-06,-2.626232564750809e-13,-2.7841984628907215e-10,0.959375
beta_medium_variance,MB-fixed,1.4601009591348825e-13,0.9984375,9.440430073781575e-10,-2.723088421419107e-13,-2.974278601186598e-13,0.9984375
beta_medium_variance,MB-global-opt,1.4601009591348825e-13,0.9984375,1.0641118693838216e-09,-3.103044488028672e-11,-3.107467949625686e-11,0.9984375
beta_medium_variance,PS,1.4601009591348825e-13,0.9984375,9.440443310415594e-10,-2.7100099941890227e-13,-2.963731482452659e-13,0.9984375
beta_medium_variance,GS,1.4601009591348825e-13,0.9984375,-1.1392063784670948e-08,-1.9720514110588287e-12,-1.9845476373347997e-12,1.0
beta_medium_variance,PS+GS,1.4601009591348825e-13,0.9984375,9.988712117159335e-10,-2.612310368022009e-13,-2.864934955937316e-13,0.9984375
beta_high_variance,MB-fixed,0.0,1.0,-2.718408137480921e-13,-2.715916380680028e-13,-2.947952992826686e-13,1.0
beta_high_variance,MB-global-opt,0.0,1.0,-3.102994257375701e-11,-3.1029221414513586e-11,-3.107125801093957e-11,1.0
beta_high_variance,PS,0.0,1.0,-2.7057911466954474e-13,-2.7053692619460897e-13,-2.937659004942362e-13,1.0
beta_high_variance,GS,0.0,1.0,-1.9720184513127847e-12,-1.9721357880087e-12,-1.9840455944830637e-12,1.0
beta_high_variance,PS+GS,0.0,1.0,-2.6071159120455444e-13,-2.606825866280361e-13,-2.839453117076119e-13,1.0
deep_fade_mixture,MB-fixed,4.468319832730758e-11,0.2328125,6.522289014539153e-07,7.584132978788448e-07,-8.982656859002358e-09,0.2296875
deep_fade_mixture,MB-global-opt,4.468319832730758e-11,0.2328125,8.713979484991495e-07,9.618598523442032e-07,-4.987023985103542e-09,0.13125
deep_fade_mixture,PS,4.468319832730758e-11,0.2328125,6.522289026747443e-07,7.584132991866872e-07,-8.982655703038145e-09,0.2296875
deep_fade_mixture,GS,4.468319832730758e-11,0.2328125,-8.93322780875179e-06,-1.1530887944553037e-05,-1.1745958114580014e-05,1.0
deep_fade_mixture,PS+GS,4.468319832730758e-11,0.2328125,6.956919449614675e-07,8.147331396313168e-07,-7.890684284861398e-09,0.225
lognormal_heavy_tail,MB-fixed,2.727465082309601e-10,0.1,7.269296786487766e-07,2.0768377764435128e-07,-7.497017189273072e-09,0.1125
lognormal_heavy_tail,MB-global-opt,2.727465082309601e-10,0.1,9.564133287581757e-07,3.23501510066659e-07,3.292300221557814e-09,0.0515625
lognormal_heavy_tail,PS,2.727465082309601e-10,0.1,7.269296798551727e-07,2.0768377903657109e-07,-7.497015716895269e-09,0.1125
lognormal_heavy_tail,GS,2.727465082309601e-10,0.1,-8.413446620412629e-06,-4.793008182621961e-06,-2.8991183555138632e-05,1.0
lognormal_heavy_tail,PS+GS,2.727465082309601e-10,0.1,7.684019302592318e-07,2.3036452903468748e-07,-2.150367608422372e-09,0.0859375
