T,epsilon,SNR_dB,scheme,baseline,mean_delta_K,std_delta_K,ci95_low,ci95_high,P_delta_gt_0,mean_delta_I_AB,mean_delta_chi_BE,mean_delta_outage,gain_source,repetitions
0.00681292069058,0.03,-18.65681050942945,PS+GS,MB-global-opt,0.0003059616150350222,0.00014778587004276745,-6.115883799750029e-05,0.0006730820680675446,1.0,0.00039236465188707825,6.678480425770239e-05,0.0,Mixed/none,3
0.00681292069058,0.03,-18.65681050942945,PS,MB-global-opt,0.0002909291530115137,0.00014778546511495458,-7.619029412455827e-05,0.0006580486001475858,1.0,0.0003923710409046895,8.182333584794144e-05,0.0,Mixed/none,3
0.003162277660168,0.0275,-21.98988887621937,PS+GS,MB-global-opt,9.019770598763805e-05,0.00015224882537237148,-0.0002880093426848735,0.00046840475466014965,0.6666666666666666,0.0001293010492871005,3.26382908351075e-05,0.0,Mixed/none,3
0.003162277660168,0.0275,-21.98988887621937,PS,MB-global-opt,8.284165270315124e-05,0.00015225018394532922,-0.00029536877085167883,0.0004610520762579813,0.6666666666666666,0.00012930277792773856,3.999598632820067e-05,0.0,Mixed/none,3
0.003162277660168,0.02,-21.989837377163084,PS+GS,MB-global-opt,7.855897605709306e-05,0.00018272618069858248,-0.00037535802033473586,0.000532475972448922,0.6666666666666666,0.00011308235625821321,2.8869262388209194e-05,0.0,Mixed/none,3
0.003162277660168,0.02,-21.989837377163084,PS,MB-global-opt,7.202928470593222e-05,0.00018272876747627378,-0.0003818941375979115,0.0005259527070097759,0.6666666666666666,0.00011308195927028919,3.5398576600842446e-05,0.0,Mixed/none,3
0.002154434690032,0.02,-23.656460274928474,PS+GS,MB-global-opt,5.4158570475445134e-05,1.8579236570045366e-05,8.005188256836534e-06,0.00010031195269405373,1.0,7.852661438671286e-05,2.044171319193211e-05,0.0,Mixed/none,3
0.003162277660168,0.03,-21.98990604243576,PS+GS,MB-global-opt,5.032889995355549e-05,0.00010171547066305716,-0.00020234633658584793,0.0003030041364929589,0.6666666666666666,8.850102926594161e-05,3.3747077849088924e-05,0.0,Mixed/none,3
0.002154434690032,0.02,-23.656460274928474,PS,MB-global-opt,4.9533149700842185e-05,1.8578483691673205e-05,3.381637735790209e-06,9.568466166589415e-05,1.0,7.852509305372735e-05,2.5065688700198763e-05,0.0,Mixed/none,3
0.003162277660168,0.03,-21.98990604243576,PS,MB-global-opt,4.272878506334331e-05,0.00010172412055311751,-0.00020996793899416124,0.00029542550912084784,0.3333333333333333,8.8502472781767e-05,4.1348564079335404e-05,0.0,Mixed/none,3
