T,epsilon,SNR_dB,scheme,mean_I_AB,mean_chi_BE,mean_K_raw,std_K_raw,ci95_low,ci95_high,mean_K_positive,mean_entropy,outage_probability,repetitions
1e-05,0.0,-46.98970004336019,GS,1.4547158033728635e-05,1.3591072813179395e-05,2.2872731886280861e-07,7.689327906257201e-08,3.771382456569851e-08,4.197408131599187e-07,2.2872731886280861e-07,8.0,0.0,3
1e-05,0.0,-46.98970004336019,MB-fixed,1.4775738467420751e-05,1.0007266269429493e-05,4.02968527462022e-06,1.5479637405129985e-07,3.645149764201941e-06,4.414220785038499e-06,4.02968527462022e-06,6.408923689874861,0.0,3
1e-05,0.0,-46.98970004336019,MB-global-opt,1.4947323522621995e-05,9.999943052063642e-06,4.200014294427253e-06,3.0341398221533794e-07,3.446292178943128e-06,4.953736409911377e-06,4.200014294427253e-06,4.7380473561634675,0.0,3
1e-05,0.0,-46.98970004336019,PS,1.477573846860499e-05,1.0007266269429493e-05,4.029685275745246e-06,1.5479637365942294e-07,3.645149766300443e-06,4.414220785190048e-06,4.029685275745246e-06,6.408923689874858,0.0,3
1e-05,0.0,-46.98970004336019,PS+GS,1.4775754253015805e-05,1.000501153236577e-05,4.031955007999243e-06,1.547810922971685e-07,3.647457459562703e-06,4.416452556435783e-06,4.031955007999243e-06,6.408923689874858,0.0,3
1.0491397291e-05,0.0,-46.78136671017717,GS,1.5218242796895728e-05,1.4247621861640525e-05,2.097087954104151e-07,2.0528892885980473e-07,-3.0025717456873687e-07,7.196747653895671e-07,2.097087954104151e-07,8.0,0.0,3
1.0491397291e-05,0.0,-46.78136671017717,MB-fixed,1.539105924071767e-05,1.0498999448049773e-05,4.122506830632015e-06,3.8978996978210527e-07,3.154214867046265e-06,5.090798794217765e-06,4.122506830632015e-06,6.408923689874861,0.0,3
1.0491397291e-05,0.0,-46.78136671017717,MB-global-opt,1.541916614300476e-05,1.049133275121683e-05,4.156875084637689e-06,5.258613575883153e-07,2.8505630551165176e-06,5.463187114158861e-06,4.156875084637689e-06,4.7380473561634675,0.0,3
1.0491397291e-05,0.0,-46.78136671017717,PS,1.539105924160585e-05,1.0498999448049773e-05,4.122506831475784e-06,3.8978997030689475e-07,3.154214866586385e-06,5.090798796365183e-06,4.122506831475784e-06,6.408923689874858,0.0,3
1.0491397291e-05,0.0,-46.78136671017717,PS+GS,1.5391045237696705e-05,1.0496639143653397e-05,4.1248538321584734e-06,3.898011839722099e-07,3.156534010980178e-06,5.093173653336768e-06,4.1248538321584734e-06,6.408923689874858,0.0,3
1.1006941713e-05,0.0,-46.57303337650496,GS,1.5939759061112113e-05,1.4935877446387025e-05,2.0689366166948186e-07,4.705358512771618e-08,9.000607638211614e-08,3.2378124695684756e-07,2.0689366166948186e-07,8.0,0.0,3
1.1006941713e-05,0.0,-46.57303337650496,MB-fixed,1.6037594622394142e-05,1.1014894967686928e-05,4.220819923587507e-06,2.4539227064195566e-07,3.611231729921336e-06,4.830408117253678e-06,4.220819923587507e-06,6.408923689874861,0.0,3
1.1006941713e-05,0.0,-46.57303337650496,MB-global-opt,1.5973511528599715e-05,1.1006868725127461e-05,4.167967227042268e-06,4.516327876529669e-07,3.046049187384507e-06,5.289885266700029e-06,4.167967227042268e-06,4.7380473561634675,0.0,3
1.1006941713e-05,0.0,-46.57303337650496,PS,1.603759462328232e-05,1.1014894967686928e-05,4.220819924431277e-06,2.453922698792725e-07,3.611231732659716e-06,4.830408116202838e-06,4.220819924431277e-06,6.408923689874858,0.0,3
1.1006941713e-05,0.0,-46.57303337650496,PS+GS,1.6037598553471828e-05,1.1012424172784918e-05,4.223294453013319e-06,2.45396517158806e-07,3.613695710414496e-06,4.832893195612141e-06,4.223294453013319e-06,6.408923689874858,0.0,3
1.1547819847e-05,0.0,-46.36470004332054,GS,1.6590133474695772e-05,1.5657370278088223e-05,1.0325652287275985e-07,2.6435927950206406e-07,-5.534483327813254e-07,7.599613785268451e-07,1.5237760222497365e-07,8.0,0.3333333333333333,3
1.1547819847e-05,0.0,-46.36470004332054,MB-fixed,1.6819534205107327e-05,1.155614009351602e-05,4.422417401335939e-06,6.236829671014187e-07,2.873103022602164e-06,5.971731780069715e-06,4.422417401335939e-06,6.408923689874861,0.0,3
1.1547819847e-05,0.0,-46.36470004332054,MB-global-opt,1.6970538831391952e-05,1.154773747447102e-05,4.5742744153513345e-06,1.1048615315101105e-06,1.829646218698856e-06,7.318902612003813e-06,4.5742744153513345e-06,4.7380473561634675,0.0,3
1.1547819847e-05,0.0,-46.36470004332054,PS,1.6819534206587623e-05,1.155614009351602e-05,4.4224174027422215e-06,6.236829662719714e-07,2.873103026068908e-06,5.971731779415535e-06,4.4224174027422215e-06,6.408923689874858,0.0,3
1.1547819847e-05,0.0,-46.36470004332054,PS+GS,1.6819524142045832e-05,1.1553553634024993e-05,4.424994300918546e-06,6.236789454234683e-07,2.8756899125866322e-06,5.97429868925046e-06,4.424994300918546e-06,6.408923689874858,0.0,3
1.2115276586e-05,0.0,-46.15636671012933,GS,1.7442834405597314e-05,1.641370492744265e-05,1.569877578747966e-07,7.127856144366222e-09,1.3928118162286458e-07,1.746943341267286e-07,1.569877578747966e-07,8.0,0.0,3
1.2115276586e-05,0.0,-46.15636671012933,MB-fixed,1.7326457657359146e-05,1.2123980384526334e-05,4.336154389964856e-06,5.851047056744153e-07,2.8826737252944755e-06,5.7896350546352365e-06,4.336154389964856e-06,6.408923689874861,0.0,3
1.2115276586e-05,0.0,-46.15636671012933,MB-global-opt,1.7463076456595655e-05,1.211518378041454e-05,4.47473885335133e-06,1.395436752569483e-06,1.00828179197402e-06,7.94119591472864e-06,4.47473885335133e-06,4.7380473561634675,0.0,3
1.2115276586e-05,0.0,-46.15636671012933,PS,1.7326457659431565e-05,1.2123980384526334e-05,4.33615439193365e-06,5.851047047692279e-07,2.88267372951188e-06,5.78963505435542e-06,4.33615439193365e-06,6.408923689874858,0.0,3
1.2115276586e-05,0.0,-46.15636671012933,PS+GS,1.7326443197518415e-05,1.2121272868315103e-05,4.3388481693273905e-06,5.851154130168259e-07,2.8853409061439355e-06,5.7923554325108455e-06,4.3388481693273905e-06,6.408923689874858,0.0,3
1.2710617996e-05,0.0,-45.94803337674391,GS,1.8453676958962717e-05,1.7206563418747933e-05,3.244296922666472e-07,4.017969490386556e-08,2.246177969105691e-07,4.2424158762272526e-07,3.244296922666472e-07,8.0,0.0,3
1.2710617996e-05,0.0,-45.94803337674391,MB-fixed,1.8982097120516055e-05,1.2719722626952645e-05,5.313269637537606e-06,2.2587393483868083e-07,4.752167677910356e-06,5.8743715971648566e-06,5.313269637537606e-06,6.408923689874861,0.0,3
1.2710617996e-05,0.0,-45.94803337674391,MB-global-opt,1.9423817228414464e-05,1.2710513607405716e-05,5.742112759588024e-06,1.4722514117888103e-07,5.376385234272331e-06,6.107840284903717e-06,5.742112759588024e-06,4.7380473561634675,0.0,3
1.2710617996e-05,0.0,-45.94803337674391,PS,1.8982097121404234e-05,1.2719722626952645e-05,5.313269638381375e-06,2.258739342744845e-07,4.752167680155666e-06,5.874371596607084e-06,5.313269638381375e-06,6.408923689874858,0.0,3
1.2710617996e-05,0.0,-45.94803337674391,PS+GS,1.898209797731217e-05,1.2716888400987614e-05,5.316104677458946e-06,2.2589221050975527e-07,4.7549573185479725e-06,5.877252036369919e-06,5.316104677458946e-06,6.408923689874858,0.0,3
1.3335214322e-05,0.0,-45.739700043240745,GS,1.9182698457539022e-05,1.8037708921836426e-05,1.8585461282564453e-07,3.8569287665322895e-08,9.00431908220564e-08,2.816660348292327e-07,1.8585461282564453e-07,8.0,0.0,3
1.3335214322e-05,0.0,-45.739700043240745,MB-fixed,1.8958878280924314e-05,1.3344737799014794e-05,4.666196567863304e-06,1.7640360102489274e-07,4.227985730074239e-06,5.104407405652369e-06,4.666196567863304e-06,6.408923689874861,0.0,3
1.3335214322e-05,0.0,-45.739700043240745,MB-global-opt,1.8740705933180852e-05,1.3335097070354962e-05,4.468573566166848e-06,7.129825122452614e-07,2.697426819701851e-06,6.239720312631845e-06,4.468573566166848e-06,4.7380473561634675,0.0,3
1.3335214322e-05,0.0,-45.739700043240745,PS,1.895887828270067e-05,1.3344737799014794e-05,4.666196569550844e-06,1.76403600757992e-07,4.2279857324247975e-06,5.104407406676891e-06,4.666196569550844e-06,6.408923689874858,0.0,3
