SNR_band,SNR_dB,T,epsilon,delta_K,K_MB,K_joint
very low,-46.98970004336019,1e-05,0.0,6.43565519453659e-07,2.4267674582449193e-06,3.0703329776985783e-06
very low,-45.323033376693516,1.4677992676220705e-05,0.0,-6.596031646803094e-08,5.2247564650424265e-06,5.1587961485743955e-06
very low,-43.65636671002686,2.1544346900318823e-05,0.0,1.5527904596653503e-06,6.542981893457403e-06,8.095772353122753e-06
very low,-41.98970004336019,3.1622776601683795e-05,0.0,7.459551720027484e-08,1.216465579929604e-05,1.2239251316496315e-05
very low,-40.323033376693516,4.641588833612782e-05,0.0,9.77474966730911e-07,1.6033834592684334e-05,1.7011309559415245e-05
very low,-38.65636671002686,6.812920690579608e-05,0.0,-1.1609313425253745e-06,2.8253954916997626e-05,2.7093023574472252e-05
very low,-36.98970004336019,0.0001,0.0,6.041206234952417e-06,2.7649310432709123e-05,3.369051666766154e-05
very low,-35.32303337669352,0.0001467799267622069,0.0,5.553405245869081e-06,4.756500753500721e-05,5.311841278087629e-05
low,-33.65636671002686,0.00021544346900318823,0.0,9.0934277113449e-06,7.067204851898266e-05,7.976547623032756e-05
low,-31.989700043360187,0.00031622776601683794,0.0,-1.3100292325892219e-06,0.00011393805241860138,0.00011262802318601216
low,-30.323033376693523,0.00046415888336127773,0.0,9.869779165209752e-07,0.00015141867160523383,0.0001524056495217548
low,-28.65636671002686,0.0006812920690579609,0.0,4.2221805457950175e-06,0.00023345103826404308,0.0002376732188098381
low,-26.989700043360187,0.001,0.0,8.072612439373006e-06,0.0003604246926568688,0.0003684973050962418
low,-25.323033376693523,0.0014677992676220691,0.0,3.532268514228813e-05,0.0005074229213565186,0.0005427456064988068
medium,-23.65636671002686,0.002154434690031882,0.0,3.4658447787568438e-06,0.0007696212091777916,0.0007730870539565484
medium,-21.989700043360187,0.0031622776601683794,0.0,0.00011413618771617738,0.0008446022342167551,0.0009587384219329325
medium,-20.323033376693523,0.004641588833612777,0.0,-5.822105486285429e-05,0.0016470962684408024,0.001588875213577948
medium,-18.65636671002686,0.006812920690579608,0.0,-0.00011064616978607349,0.002487462537705302,0.0023768163679192284
medium,-16.989700043360187,0.01,0.0,0.0005370062865958313,0.0029116218479947457,0.003448628134590577
medium,-15.323033376693523,0.01467799267622069,0.0,0.00010588707744963594,0.005122315288606123,0.005228202366055759
high,-13.656366710026857,0.021544346900318822,0.0,-0.000926163391645158,0.010049044502342215,0.009122881110697057
high,-11.989700043360187,0.03162277660168379,0.0,0.001318955025421592,0.010612672755653028,0.01193162778107462
high,-10.323033376693523,0.046415888336127774,0.0,1.1168390766022607e-07,0.019245966319563032,0.019246078003470692
saturation/highest,-8.656366710026857,0.06812920690579609,0.0,-0.0014394442862184949,0.028666944612010598,0.027227500325792103
saturation/highest,-6.9897000433601875,0.1,0.0,0.0012545136094623474,0.03544205841506116,0.036696572024523505
very low,-46.989700097646995,1e-05,0.0025,-9.285388546942386e-08,3.4363078845226852e-06,3.3434539990532614e-06
very low,-45.323033456375654,1.4677992676220705e-05,0.0025,-6.761887381726922e-07,5.703879354227817e-06,5.027690616055125e-06
very low,-43.65636682698424,2.1544346900318823e-05,0.0025,8.396195520917381e-07,5.673067999604578e-06,6.512687551696316e-06
very low,-41.989700215030155,3.1622776601683795e-05,0.0025,6.716042278013641e-07,9.908331296593074e-06,1.0579935524394438e-05
