ncut,Model,I_AB,chi_BE,raw_K,abs_delta_I_AB_vs_final,abs_delta_chi_BE_vs_final,abs_delta_raw_K_vs_final
100,Uniform fixed QAM,0.12694599000628326,0.10997197398503933,0.010626716520929766,0.0,2.4424906541753444e-15,2.4424906541753444e-15
100,MB fixed QAM,0.11242265146093988,0.089514133251265,0.017287385636627878,0.0,4.440892098500626e-15,4.440892098500626e-15
100,Learned PS fixed QAM,0.10791041525133505,0.09024979910893771,0.012265095379830573,0.0,4.884981308350689e-15,4.884981308350689e-15
100,Learned GS uniform probabilities,0.12694577991080536,0.10994317931660103,0.010655311598664063,0.0,0.0,0.0
100,Learned joint PS+GS,0.10631021887557068,0.09119210316126236,0.009802604770529785,0.0,2.886579864025407e-15,2.886579864025407e-15
150,Uniform fixed QAM,0.12694599000628326,0.10997197398504177,0.010626716520927323,0.0,0.0,0.0
150,MB fixed QAM,0.11242265146093988,0.08951413325126056,0.01728738563663232,0.0,0.0,0.0
150,Learned PS fixed QAM,0.10791041525133505,0.09024979910893283,0.012265095379835458,0.0,0.0,0.0
150,Learned GS uniform probabilities,0.12694577991080536,0.10994317931660103,0.010655311598664063,0.0,0.0,0.0
150,Learned joint PS+GS,0.10631021887557068,0.09119210316126525,0.009802604770526899,0.0,0.0,0.0
