ncut,Model,I_AB,chi_BE,raw_K,abs_delta_I_AB_vs_final,abs_delta_chi_BE_vs_final,abs_delta_raw_K_vs_final
24,Uniform fixed QAM,0.12578323134742364,0.10820612441373689,0.011287945366315562,0.0,2.1094237467877974e-15,2.1094237467877974e-15
24,MB fixed QAM,0.12954252593280646,0.08807211881525145,0.03499328082091467,0.0,7.086793338828556e-07,7.086793338828556e-07
24,Learned PS fixed QAM,0.13001980799366475,0.08880640136567708,0.03471241622830443,0.0,3.867181131989028e-07,3.867181131989028e-07
24,Learned GS uniform probabilities,0.1257831501312956,0.1081777713379487,0.011316221286782106,0.0,3.885780586188048e-15,3.885780586188048e-15
24,Learned joint PS+GS,0.12981563866586976,0.08974662358026098,0.03357823315231529,0.0,2.3603386867243614e-07,2.3603386867243614e-07
32,Uniform fixed QAM,0.12578323134742364,0.108206124413739,0.011287945366313452,0.0,0.0,0.0
32,MB fixed QAM,0.12954252593280646,0.08807141013591757,0.034993989500248554,0.0,0.0,0.0
32,Learned PS fixed QAM,0.13001980799366475,0.08880601464756388,0.034712802946417626,0.0,0.0,0.0
32,Learned GS uniform probabilities,0.1257831501312956,0.10817777133794482,0.011316221286785992,0.0,0.0,0.0
32,Learned joint PS+GS,0.12981563866586976,0.0897463875463923,0.033578469186183964,0.0,0.0,0.0
