stage,epoch,loss_total,loss_skr,mean_i_ab,mean_chi_be,mean_raw_skr,validation_i_ab,validation_chi_be,validation_raw_skr,geometry_weighted_mean_abs,geometry_weighted_mean_energy,geometry_maximum_symbol_energy,geometry_minimum_pairwise_distance,geometry_maximum_pairwise_distance,geometry_probability_entropy,geometry_minimum_probability,geometry_maximum_probability,loss_separation,loss_peak,loss_drift,loss_entropy,weighted_separation,weighted_peak,weighted_drift,weighted_entropy,lambda_separation,lambda_peak,lambda_drift,lambda_entropy,probability_gradient_norm,geometry_gradient_norm,probability_learning_rate,geometry_learning_rate,invalid_update,raw_skr_logit_gradient_norm,raw_skr_probability_parameter_gradient_norm,raw_skr_geometry_gradient_norm,chi_be_logit_gradient_norm,chi_be_geometry_gradient_norm,separation_geometry_gradient_norm,peak_geometry_gradient_norm,drift_geometry_gradient_norm
ps,0,nan,-0.019564632452680506,0.07841711833380716,0.05493162996443629,0.019564632452680506,0.07841711833380716,0.05493162996443629,0.019564632452680506,1.3877787807814457e-17,0.9999999999999976,11.299365973906337,0.31692082395599147,6.722905911555311,6.408923689874863,4.142913770202081e-07,0.030297311449261916,,,,,,,,,,,,,,,,,,,,,,,,,
ps,1,-0.032842630548775224,-0.032842630548775224,0.1322211879882884,0.09276749804009876,0.032842630548775224,0.0788688066261074,0.05534063911463988,0.019584727180162152,1.3877787807814457e-17,0.9999999999999976,11.299365973906337,0.31692082395599147,6.722905911555311,6.408923689874863,4.142913770202081e-07,0.030297311449261916,0.00017119382356170924,2.646981628846937,1.1365073723347483,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19711763335666285,0.0,0.001,0.0,False,0.008903536699516624,0.19711763335666285,0.0,0.00012408029818803575,0.0,0.0,0.0,0.0
ps,2,-0.0116817334692195,-0.0116817334692195,0.047877457454364336,0.03380185111242662,0.0116817334692195,0.07926211969758024,0.05551980311261834,0.019779210600082885,2.3601869201153573e-17,0.9999999999999978,11.52928099391517,0.3172408043689819,6.729693721151531,6.360791429043201,2.798320400155572e-07,0.036454865810409826,0.00016964057650926373,2.68051356846792,1.1418957354584287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10429275720053982,0.0,0.001,0.0,False,0.0026318416654806487,0.10429275720053982,0.0,0.000468807881306487,0.0,0.0,0.0,0.0
ps,3,-0.013617932376390529,-0.013617932376390529,0.07104138591321085,0.05387138424115978,0.013617932376390529,0.07954558125031386,0.05585535788353729,0.019712944304260866,5.0703539868368765e-17,0.9999999999999978,11.831291321342864,0.31780399132620607,6.741640720647398,6.30787958425039,1.7473869139984503e-07,0.04599279029056728,0.00016694562023379368,2.74423447663575,1.1519493663156977,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17291526279913758,0.0,0.001,0.0,False,0.006040109552046412,0.17291526279913758,0.0,0.0007723087528994223,0.0,0.0,0.0,0.0
gs,0,nan,-0.007129013258475888,0.07878777225974698,0.06771937038828374,0.007129013258475888,0.07878777225974698,0.06771937038828374,0.007129013258475888,5.594315114139762e-17,0.9999999999999994,2.6470588235294104,0.1533929977694731,3.253956867279842,8.0,0.00390625,0.00390625,,,,,,,,,,,,,,,,,,,,,,,,,
gs,1,-0.00014136586734965137,-0.00014136586734965137,0.01149599848445737,0.01077983269288485,0.00014136586734965137,0.07878784146088713,0.06770959428375845,0.0071388551040843275,5.594315114139762e-17,0.9999999999999994,2.6470588235294104,0.1533929977694731,3.253956867279842,8.0,0.00390625,0.00390625,0.007222582924303851,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0018788807813709424,0.0,0.0001,False,0.0,0.0,0.0018788807813709424,0.0,0.0018546616933234265,0.00342505399820756,0.0,0.0
gs,2,-0.013511340226426999,-0.013518560511836617,0.08562405011662655,0.0678242870989586,0.013518560511836617,0.0787878611774262,0.06770123815789486,0.007147229960660025,3.5381555418772973e-17,0.9999999999999993,2.64765220834519,0.1531968946110671,3.254321562688721,8.0,0.00390625,0.00390625,0.007220266046865594,0.0,1.9362752048240055e-08,0.0,7.220266046865594e-06,0.0,1.9362752048240056e-11,0.0,0.001,0.001,0.001,0.0,0.0,0.010301686151327056,0.0,0.0001,False,0.0,0.0,0.010299126842237471,0.0,0.010300898208665797,0.0034204924086547336,0.0,3.478840151877888e-05
geometry_warmup,0,nan,-0.019779210600082885,0.07926211969758024,0.05551980311261834,0.019779210600082885,0.07926211969758024,0.05551980311261834,0.019779210600082885,4.2362783007781744e-17,0.9999999999999977,11.920296956596594,0.31779396810138494,6.7414280959402095,6.308754129897428,1.4464224375998593e-07,0.048688991340223135,,,,,,,,,,,,,,,,,,,,,,,,,
geometry_warmup,1,-0.00622652986898564,-0.00622652986898564,0.026819606761407933,0.019252096554351894,0.00622652986898564,0.07926278918687557,0.05551551451920089,0.019784135208330896,3.986384270879508e-17,0.9999999999999979,11.838663013125824,0.31816800879599005,6.749362697288056,6.254428633418483,1.7214511487042082e-07,0.04621455389283763,0.00016521103843221413,2.7870960969267213,1.1586632837992983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004854952368464417,0.0,0.0001,False,0.0,0.0,0.004854952368464417,0.0,0.004178064204523682,0.0006537413258021017,11.675171634541893,1.5965927366953123
geometry_warmup,2,-0.0033210614783825733,-0.004306283177644121,0.02775789650959748,0.022063718506473484,0.004306283177644121,0.07926279808611802,0.05551234514744241,0.01978731303436971,3.1568565517200943e-17,0.9999999999999978,11.875313068789666,0.31773421158819354,6.748379183707392,6.259121066506939,1.5915513683176564e-07,0.04735384771361267,0.0001653377862502263,2.7825528035275147,1.1581686557324258,0.0,4.1334446562556576e-08,0.0006956382008818787,0.00028954216393310646,0.0,0.00025,0.00025,0.00025,0.0,0.0,0.0048007355737616835,0.0,0.0001,False,0.0,0.0,0.0038226829791517783,0.0,0.004537168669661534,0.0006530099124097415,11.653646085156172,1.594470473049698
joint_finetune,0,nan,-0.01978731303436971,0.07926279808611802,0.05551234514744241,0.01978731303436971,0.07926279808611802,0.05551234514744241,0.01978731303436971,5.770724969298158e-17,0.999999999999998,11.916748805790725,0.3169663098283883,6.740441481741925,6.308754129897428,1.4464224375998593e-07,0.048688991340223135,,,,,,,,,,,,,,,,,,,,,,,,,
joint_finetune,1,-0.028832713475878194,-0.028832713475878194,0.1002622542003726,0.06641642801447578,0.028832713475878194,0.07934570335101832,0.056020972640453026,0.01935744554301437,2.711398087429139e-17,0.999999999999998,11.781471742340766,0.3168595173424059,6.7381704880112565,6.325039885565516,1.9144669723678564e-07,0.044605480084831645,0.0001676306308942631,2.726746116860384,1.1496015603791494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12486146682784531,0.007601993888444208,0.001,0.0001,False,0.0057059311453219455,0.12486146682784531,0.007601993888444208,0.0008910063048985503,0.009828298686959527,0.0006550574073912592,11.390468585762452,1.5678169585674735
joint_finetune,2,-0.018291145117642203,-0.020349865722834256,0.08047936498222441,0.05610553101027893,0.020349865722834256,0.08028997639568214,0.056285612174489796,0.019989865401408236,4.9897246078759496e-17,0.999999999999998,11.997430392350045,0.31876213784604823,6.78691321945659,6.258103021829298,1.4966581868381111e-07,0.051391502331841185,0.00015683527696029348,2.934338428903402,1.1829459462037468,0.0,7.841763848014675e-08,0.0014671692144517011,0.0005914729731018734,0.0,0.0005,0.0005,0.0005,0.0,0.1732956035516299,0.01417244607750933,0.001,0.0001,False,0.006232903122874768,0.1658008893924481,0.010953138328109275,0.0009390925845317578,0.011076990976092669,0.0006234346351671334,12.110120506528274,1.6114508776502516
joint_finetune,3,-0.02166117960644801,-0.02534060685015533,0.11987101018588886,0.08853685282643908,0.02534060685015533,0.0802186003954859,0.056467686565426,0.019739983810285595,2.0816681711721685e-17,0.999999999999998,11.510650294206076,0.3142204524394267,6.695848242640656,6.322705093355629,1.6789020747583178e-07,0.04240722142800575,0.000177227989269511,2.5573073488412343,1.1219426668768162,0.0,1.77227989269511e-07,0.0025573073488412345,0.0011219426668768163,0.0,0.001,0.001,0.001,0.0,0.20652715816360712,0.017499049119386646,0.001,0.0001,False,0.008643684385146705,0.2020736982465613,0.012637860261553275,0.0013177978424633453,0.012416719282254464,0.0006790664281205423,10.750020349144625,1.5212979630984174
refinement,0,nan,-0.019989865401408236,0.08028997639568214,0.056285612174489796,0.019989865401408236,0.08028997639568214,0.056285612174489796,0.019989865401408236,2.930897040532993e-17,0.999999999999998,11.831485781408846,0.31421060946400114,6.695638494773531,6.219953809998092,5.106337288754362e-08,0.06517286303853838,,,,,,,,,,,,,,,,,,,,,,,,,
