run,seed_channel,seed_awgn,Model,I_AB,chi_BE,raw_K
0,102026,202026,Uniform fixed QAM,0.06778000935088002,0.056868590181710255,0.007522418701625764
0,102026,202026,MB fixed QAM,0.06594759927036908,0.04599283773383828,0.01665738157301235
0,102026,202026,Learned PS fixed QAM,0.06543755876589064,0.04660586323121724,0.015559817596378863
0,102026,202026,Learned GS uniform probabilities,0.06778001375979947,0.056853039834037,0.007537973237772498
0,102026,202026,Learned joint PS+GS,0.06522208042382727,0.04739783557999866,0.014563140822637242
1,103026,203026,Uniform fixed QAM,0.08299431369385801,0.06972501455807972,0.009119583451085385
1,103026,203026,MB fixed QAM,0.08530390933081722,0.05659611232431572,0.024442601539960633
1,103026,203026,Learned PS fixed QAM,0.08614256369278217,0.05714019322784336,0.024695242280299696
1,103026,203026,Learned GS uniform probabilities,0.08299436578841357,0.06970647145757475,0.00913817604141814
1,103026,203026,Learned joint PS+GS,0.08558562835091044,0.05785295271211616,0.023453394221248754
2,104026,204026,Uniform fixed QAM,0.10643000622969345,0.08892316345944834,0.012185342458760438
2,104026,204026,MB fixed QAM,0.10333808370243958,0.07224448887104701,0.025926690646270588
2,104026,204026,Learned PS fixed QAM,0.1025646064705501,0.07293356936492335,0.02450280678209925
2,104026,204026,Learned GS uniform probabilities,0.10643008352051653,0.08889959241782841,0.012208986926662288
2,104026,204026,Learned joint PS+GS,0.1013798855915864,0.07381885406173766,0.02249203725026941
