ncut,Model,I_AB,chi_BE,raw_K,abs_delta_I_AB_vs_final,abs_delta_chi_BE_vs_final,abs_delta_raw_K_vs_final
20,Uniform fixed QAM,0.12460151818912557,0.10997197399968961,0.008399468279979672,0.0,1.465028098834864e-11,1.465028098834864e-11
20,MB fixed QAM,0.12057931333089034,0.08954376770405537,0.025006579960290445,0.0,2.8913674851693827e-05,2.8913674851693827e-05
20,Learned PS fixed QAM,0.12057931333089034,0.08954376770405537,0.025006579960290445,0.0,2.891367484991747e-05,2.891367484991747e-05
20,Learned GS uniform probabilities,0.12460162630592109,0.10995644855518516,0.008415096435439862,0.0,1.47066803179996e-11,1.47066803179996e-11
20,Learned joint PS+GS,0.12057709894665436,0.0895422002099937,0.025006043789327928,0.0,2.916034871924822e-05,2.916034871924822e-05
24,Uniform fixed QAM,0.12460151818912557,0.10997197398503933,0.008399468294629953,0.0,0.0,0.0
24,MB fixed QAM,0.12057931333089034,0.08951485402920367,0.02503549363514214,0.0,0.0,0.0
24,Learned PS fixed QAM,0.12057931333089034,0.08951485402920545,0.025035493635140363,0.0,0.0,0.0
24,Learned GS uniform probabilities,0.12460162630592109,0.10995644854047848,0.008415096450146542,0.0,0.0,0.0
24,Learned joint PS+GS,0.12057709894665436,0.08951303986127446,0.025035204138047176,0.0,0.0,0.0
