run,seed_channel,seed_awgn,Model,I_AB,chi_BE,raw_K
0,102026,202026,Uniform fixed QAM,0.08492126186930982,0.07121535589426264,0.009459842881581679
0,102026,202026,MB fixed QAM,0.08267131253914384,0.057761556875107756,0.02077619003707889
0,102026,202026,Learned PS fixed QAM,0.08267131253914561,0.05776155687510898,0.020776190037079353
0,102026,202026,Learned GS uniform probabilities,0.08492136150549312,0.07120502770977688,0.009470265720441587
0,102026,202026,Learned joint PS+GS,0.08267129891639113,0.05776038780444259,0.02077734616612898
1,103026,203026,Uniform fixed QAM,0.03055864940898978,0.026374154227631674,0.0026565627109086166
1,103026,203026,MB fixed QAM,0.033424421927181314,0.021186812249953557,0.01056638858086869
1,103026,203026,Learned PS fixed QAM,0.033424421927180425,0.021186812249953557,0.010566388580867846
1,103026,203026,Learned GS uniform probabilities,0.030558656605188084,0.026370123152763547,0.002660600622165131
1,103026,203026,Learned joint PS+GS,0.03342481704855205,0.021186371520586,0.010567204675538443
