parameter_name,parameter_value,parameter_unit,repetition,seed,Delta_K_PS_vs_Uniform,Delta_K_GS_vs_Uniform,Delta_K_PS+GS_vs_PS
link_distance,20.0,km,0,302026,0.014955838884845397,0.0010827466321384743,3.6655478966259036e-05
link_distance,20.0,km,1,303026,0.01499174752758475,0.0011008731487268213,3.725924857346519e-05
link_distance,20.0,km,2,304026,0.013912201600223134,0.001020429983575443,3.442671191889596e-05
link_distance,20.0,km,3,305026,0.015295055540745605,0.0011209852609667774,3.794748951677432e-05
link_distance,20.0,km,4,306026,0.014626411799172971,0.0010554497048337278,3.5735982982763176e-05
link_distance,24.0,km,0,302026,0.007495622973470071,0.0005562387390655229,1.8140767249746198e-05
link_distance,24.0,km,1,303026,0.007343220648954143,0.000545921839221513,1.7745992443245207e-05
link_distance,24.0,km,2,304026,0.007826601151624764,0.0005779410653835972,1.8840517712632315e-05
link_distance,24.0,km,3,305026,0.007830985658188142,0.0005805566909015273,1.8914591245731277e-05
link_distance,24.0,km,4,306026,0.007364748078363799,0.0005471507550304433,1.7763785919160113e-05
link_distance,28.0,km,0,302026,0.0038866400256907774,0.00029175644764868397,9.197246606040994e-06
link_distance,28.0,km,1,303026,0.0038752606796807966,0.000291530183146821,9.16193836649707e-06
link_distance,28.0,km,2,304026,0.0036697827748108703,0.00027477524041285336,8.666327892663597e-06
link_distance,28.0,km,3,305026,0.003903911373217447,0.00029105295893907114,9.167682138913093e-06
link_distance,28.0,km,4,306026,0.004149652292917774,0.00030803355321595404,9.732359096630179e-06
link_distance,32.0,km,0,302026,0.0022917729257507825,0.000171585843053356,5.301414708938287e-06
link_distance,32.0,km,1,303026,0.002142728172886539,0.00016164784446165707,4.9936582332838625e-06
link_distance,32.0,km,2,304026,0.0020198285285519786,0.0001519197344001023,4.672142319616431e-06
link_distance,32.0,km,3,305026,0.0020913338936285612,0.00015726951496153406,4.854546843997051e-06
link_distance,32.0,km,4,306026,0.0021828259268395806,0.0001635525145062016,5.047557258108792e-06
link_distance,36.0,km,0,302026,0.001259742449403137,9.564283320547516e-05,2.9051457183792984e-06
link_distance,36.0,km,1,303026,0.0013016593117953753,9.822514760424866e-05,2.981080812646062e-06
link_distance,36.0,km,2,304026,0.00114367251864906,8.51708354705483e-05,2.590555060328877e-06
link_distance,36.0,km,3,305026,0.0010857018010660992,8.06977437767621e-05,2.4502040690461448e-06
link_distance,36.0,km,4,306026,0.0011844634817119368,8.925227447622826e-05,2.7073832670964585e-06
link_distance,40.0,km,0,302026,0.0007237059174770175,5.432945070745222e-05,1.6425621499618296e-06
link_distance,40.0,km,1,303026,0.0005667436395628126,4.193627802290213e-05,1.2911220420373359e-06
link_distance,40.0,km,2,304026,0.0006867700750230579,5.115149165152555e-05,1.5400709469712412e-06
link_distance,40.0,km,3,305026,0.0005289295072806217,3.966365472394368e-05,1.2030059235721476e-06
link_distance,40.0,km,4,306026,0.0006570030819387892,4.8740281391227753e-05,1.4705609315307684e-06
link_distance,44.0,km,0,302026,0.0003270521143288727,2.348872312441502e-05,7.293050259298472e-07
link_distance,44.0,km,1,303026,0.0003405268377716939,2.450341623718035e-05,7.569991865687478e-07
link_distance,44.0,km,2,304026,0.0002971933842462522,2.1186710719102782e-05,6.591473523900773e-07
link_distance,44.0,km,3,305026,0.00028721140603262766,2.0174655346180325e-05,6.452183392172215e-07
