parameter_name,parameter_value,parameter_unit,scheme,repetition,I_AB,chi_BE,beta_I_AB,K_raw,K_positive,ncut,seed,channel_seed,awgn_seed,fading_samples,awgn_samples,channel_sample_hash,awgn_sample_hash,checkpoint
link_distance,20.0,km,Uniform QAM,0,0.09485074289774519,0.07877476308726444,0.09010820575285791,0.011333442665593472,0.011333526218706657,150,302026,5302026,5302027,256,128,f838eb2493368e28,6535342b8e2ffe75,fixed project PMF
link_distance,20.0,km,Maxwell-Boltzmann QAM,0,0.09500860298871208,0.06396880773571895,0.09025817283927648,0.026289365103557526,0.026289365103557526,150,302026,5302026,5302027,256,128,f838eb2493368e28,6535342b8e2ffe75,fixed project PMF
link_distance,20.0,km,Binomial QAM,0,0.09504651754430454,0.06417147690603034,0.0902941916670893,0.026122714761058978,0.026122714761058978,150,302026,5302026,5302027,256,128,f838eb2493368e28,6535342b8e2ffe75,fixed project PMF
link_distance,20.0,km,GS,0,0.09485090214925543,0.07769211323302982,0.09010835704179265,0.012416243808762831,0.012416272850845131,150,302026,5302026,5302027,256,128,f838eb2493368e28,6535342b8e2ffe75,E:\py learn\adversarial_attack_DRL\2024_dvcvqkd\experiments\joint_seed2026\best_gs.pt
link_distance,20.0,km,PS,0,0.09500860298871344,0.06396880773572572,0.09025817283927777,0.026289365103552054,0.026289365103552054,150,302026,5302026,5302027,256,128,f838eb2493368e28,6535342b8e2ffe75,E:\py learn\adversarial_attack_DRL\2024_dvcvqkd\experiments\joint_seed2026\best_ps.pt
link_distance,20.0,km,PS+GS,0,0.09500861519430778,0.06393216385207409,0.0902581844345924,0.026326020582518313,0.026326020582518313,150,302026,5302026,5302027,256,128,f838eb2493368e28,6535342b8e2ffe75,E:\py learn\adversarial_attack_DRL\2024_dvcvqkd\experiments\joint_seed2026\best_joint.pt
link_distance,20.0,km,Uniform QAM,1,0.09662851491218417,0.08021199612121671,0.09179708916657496,0.011585093045358263,0.01158521646360942,150,303026,5303026,5303027,256,128,ae4a6c54c0d35651,e0ce69e18f5b1a9f,fixed project PMF
link_distance,20.0,km,Maxwell-Boltzmann QAM,1,0.09656014939563307,0.06515517793465128,0.0917321419258514,0.026576963991200117,0.026576963991200117,150,303026,5303026,5303027,256,128,ae4a6c54c0d35651,e0ce69e18f5b1a9f,fixed project PMF
link_distance,20.0,km,Binomial QAM,1,0.09652333795421594,0.06536136656218322,0.09169717105650514,0.026335804494321914,0.026335804494321914,150,303026,5303026,5303027,256,128,ae4a6c54c0d35651,e0ce69e18f5b1a9f,fixed project PMF
link_distance,20.0,km,GS,1,0.09662875666556218,0.07911125478842053,0.09179731883228406,0.012686064043863542,0.012686089612336242,150,303026,5303026,5303027,256,128,ae4a6c54c0d35651,e0ce69e18f5b1a9f,E:\py learn\adversarial_attack_DRL\2024_dvcvqkd\experiments\joint_seed2026\best_gs.pt
