parameter_name,parameter_value,parameter_unit,scheme,mean_I_AB,std_I_AB,mean_chi_BE,std_chi_BE,mean_beta_I_AB,std_beta_I_AB,mean_K_raw,std_K_raw,mean_K_positive,std_K_positive,ci95_low,ci95_high,repetitions,ncut
link_distance,20.0,km,Uniform QAM,0.11283180475439769,0.001025236821591445,0.09420214466511578,0.00013880093630837516,0.1071902145166778,0.0009739749805118688,0.01298806985156202,0.0008351740442035035,0.01298806985156202,0.0008351740442035035,0.00548432877698442,0.020491810926139623,2,24
link_distance,20.0,km,Maxwell-Boltzmann QAM,0.10732548443888623,0.004558414150370126,0.07656911577145964,4.822526776536481e-05,0.10195921021694193,0.00433049344285163,0.02539009444548228,0.00428226817508626,0.02539009444548228,0.00428226817508626,-0.01308455861727682,0.06386474750824138,2,24
link_distance,20.0,km,Binomial QAM,0.1050145650019545,0.007442835237272159,0.07681079498483906,5.042157178764834e-05,0.09976383675185677,0.007070693475408557,0.02295304176701771,0.007020271903620904,0.02295304176701771,0.007020271903620904,-0.0401215987866671,0.08602768232070251,2,24
link_distance,20.0,km,GS,0.11283050869741351,0.0010271327754845638,0.09291364610989489,0.00013505243951983644,0.10718898326254284,0.0009757761367103435,0.014275337152647945,0.0008407236971905021,0.014275337152647945,0.0008407236971905021,0.006721734424254335,0.021828939881041558,2,24
link_distance,20.0,km,PS,0.10732548443888823,0.004558414150369812,0.07656911577146391,4.822526776701341e-05,0.10195921021694382,0.004330493442851315,0.0253900944454799,0.004282268175084307,0.0253900944454799,0.004282268175084307,-0.013084558617261651,0.06386474750822145,2,24
link_distance,20.0,km,PS+GS,0.10732418842406699,0.004556366581315811,0.07652545125362409,4.7820161420706005e-05,0.10195797900286363,0.00432854825225002,0.02543252774923955,0.004280728090829314,0.02543252774923955,0.004280728090829314,-0.013028288205461216,0.06389334370394031,2,24
link_distance,100.0,km,Uniform QAM,8.49074479836176e-07,1.2007726033987603e-06,9.340159317083874e-07,1.3208979319936515e-06,8.066207558443671e-07,1.140733973228822e-06,-1.273951758640202e-07,1.801639587648293e-07,0.0,0.0,0.0,0.0,2,24
link_distance,100.0,km,Maxwell-Boltzmann QAM,7.645903470354654e-07,1.0812939894502218e-06,6.113415250141863e-07,8.645674415318881e-07,7.26360829683692e-07,1.0272292899777106e-06,1.1501930466950574e-07,1.6266184844582243e-07,1.1501930466950574e-07,1.6266184844582243e-07,-1.346439419917273e-06,1.5764780292562845e-06,2,24
link_distance,100.0,km,Binomial QAM,7.493611318132309e-07,1.0597566261106022e-06,6.15006771342852e-07,8.697508825993253e-07,7.118930752225694e-07,1.0067687948050721e-06,9.688630387971742e-08,1.3701791220574662e-07,9.688630387971742e-08,1.3701791220574662e-07,-1.1341707948255723e-06,1.3279434025850072e-06,2,24
link_distance,100.0,km,GS,8.490801335359066e-07,1.2007805989375968e-06,9.081991085846397e-07,1.2843874305946602e-06,8.066261268591112e-07,1.1407415689907168e-06,-1.0157298172552847e-07,1.4364586160394324e-07,0.0,0.0,0.0,0.0,2,24
link_distance,100.0,km,PS,7.645903477015992e-07,1.0812939903922772e-06,6.113415250141863e-07,8.645674415318881e-07,7.263608303165191e-07,1.0272292908726634e-06,1.1501930530233287e-07,1.6266184934077516e-07,1.1501930530233287e-07,1.6266184934077516e-07,-1.346439427325277e-06,1.576478037929943e-06,2,24
link_distance,100.0,km,PS+GS,7.64590377011487e-07,1.081294030586644e-06,6.106860110377532e-07,8.636404047760914e-07,7.263608581609126e-07,1.0272293290573118e-06,1.1567484712315937e-07,1.6358892428122048e-07,1.1567484712315937e-07,1.6358892428122048e-07,-1.3541133233720578e-06,1.5854630176183765e-06,2,24
