parameter_name,parameter_value,parameter_unit,repetition,seed,Delta_K_PS_vs_Uniform,Delta_K_GS_vs_Uniform,Delta_K_PS+GS_vs_PS
link_distance,20.0,km,0,302026,0.0150417961621293,0.0012843226731065818,4.3096684512591854e-05
link_distance,20.0,km,1,303026,0.004029600482908104,0.0012918866592985384,4.1856103667806815e-05
link_distance,24.0,km,0,302026,0.0006731442700546707,8.231232476874073e-05,2.457483316864917e-06
link_distance,24.0,km,1,303026,0.013282447984886491,0.0008100776891833555,2.6529318592795337e-05
link_distance,28.0,km,0,302026,0.0033045260288457456,0.00031467554171913346,9.88462928990224e-06
link_distance,28.0,km,1,303026,0.004515343281446449,0.00044657656055786636,1.398028475327849e-05
link_distance,32.0,km,0,302026,0.00026466715445427885,0.0,5.519751213434827e-07
link_distance,32.0,km,1,303026,0.0029710395551316698,0.00023210574119951824,7.325941401715996e-06
link_distance,36.0,km,0,302026,0.00025200314066038394,1.5261036993519063e-05,4.2667310016239815e-07
link_distance,36.0,km,1,303026,0.0011709508485026952,0.00015465186054672807,5.647780281225166e-06
link_distance,40.0,km,0,302026,0.00014120957251708693,0.0,4.192259606128617e-07
link_distance,40.0,km,1,303026,0.00037568124786260256,2.6070766131547308e-05,7.333956827392809e-07
link_distance,44.0,km,0,302026,0.000908927902091272,3.516289222418303e-05,2.0011314513900934e-06
link_distance,44.0,km,1,303026,4.741486652859441e-05,1.631501185261795e-08,7.83875765320061e-07
link_distance,48.0,km,0,302026,1.8630501577465698e-05,1.1796776890893279e-07,1.86273668467663e-07
link_distance,48.0,km,1,303026,0.00012100713672331679,8.6289662990513e-06,2.4907021092254256e-07
link_distance,52.0,km,0,302026,1.2936353785675255e-05,0.0,7.750988351152072e-08
link_distance,52.0,km,1,303026,0.0001762325395577635,0.0,4.419361030461033e-07
link_distance,56.0,km,0,302026,2.5156681472893182e-05,0.0,6.055334382803966e-08
link_distance,56.0,km,1,303026,9.133721004681567e-05,0.0,2.773234642372991e-07
link_distance,60.0,km,0,302026,0.00011794778268543472,8.070558513639846e-06,4.637878477042564e-07
link_distance,60.0,km,1,303026,1.4322172654512848e-07,0.0,5.050908580273811e-10
link_distance,64.0,km,0,302026,2.6070154035551227e-09,0.0,1.973121666054567e-11
link_distance,64.0,km,1,303026,5.360914227816592e-05,0.0,1.5279559999470665e-07
link_distance,68.0,km,0,302026,1.6552322011431636e-05,0.0,3.751919788186816e-08
link_distance,68.0,km,1,303026,8.949647722467091e-06,4.2529916171041225e-07,1.1160911750351943e-08
link_distance,72.0,km,0,302026,2.7124835710878862e-11,0.0,1.539213201340343e-13
link_distance,72.0,km,1,303026,5.156319815569076e-13,0.0,3.508304757815535e-15
link_distance,76.0,km,0,302026,3.1177051007524883e-08,0.0,2.24477316734797e-09
link_distance,76.0,km,1,303026,3.260625913070747e-06,0.0,1.1431862145805467e-08
link_distance,80.0,km,0,302026,5.965778646133124e-06,0.0,1.3182874725181817e-08
link_distance,80.0,km,1,303026,2.293802190411753e-08,0.0,9.108513943090202e-11
link_distance,84.0,km,0,302026,6.646869326631943e-06,4.101651171817253e-07,1.0761955304693126e-08
link_distance,84.0,km,1,303026,0.0,0.0,0.0
link_distance,88.0,km,0,302026,1.7008832222664686e-07,0.0,1.0144627360376639e-09
link_distance,88.0,km,1,303026,2.0267020917064113e-07,0.0,5.296985738923058e-10
link_distance,92.0,km,0,302026,7.218334507896883e-09,0.0,3.066176201827185e-11
link_distance,92.0,km,1,303026,1.0672320764903986e-07,0.0,1.9890662450449177e-10
link_distance,96.0,km,0,302026,3.977413953748508e-11,0.0,2.772226892489145e-13
link_distance,96.0,km,1,303026,5.829774141430377e-07,0.0,1.4520101343507432e-09
link_distance,100.0,km,0,302026,9.228779962455745e-11,0.0,2.84949841500303e-13
link_distance,100.0,km,1,303026,4.3022577107532084e-07,0.0,1.098581670078147e-09
