parameter_name,parameter_value,parameter_unit,scheme,repetition,I_AB,chi_BE,beta_I_AB,K_raw,K_positive,ncut,seed,channel_seed,awgn_seed,fading_samples,awgn_samples,channel_sample_hash,awgn_sample_hash,checkpoint
link_distance,20.0,km,Uniform QAM,0,0.11316187776521103,0.09410399758181609,0.10750378387695048,0.013399786295134386,0.013399786295134386,24,302026,5302026,5302027,2,2,f8fef8f0ae49d715,a79469a515405ee9,fixed project PMF
link_distance,20.0,km,Maxwell-Boltzmann QAM,0,0.11050168191038345,0.07653501535759988,0.10497659781486426,0.028441582457264393,0.028441582457264393,24,302026,5302026,5302027,2,2,f8fef8f0ae49d715,a79469a515405ee9,fixed project PMF
link_distance,20.0,km,Binomial QAM,0,0.10876175915134878,0.07677514154950449,0.10332367119378133,0.02654852964427684,0.02654852964427684,24,302026,5302026,5302027,2,2,f8fef8f0ae49d715,a79469a515405ee9,fixed project PMF
link_distance,20.0,km,GS,0,0.11316027219193536,0.09281814961409762,0.10750225858233858,0.014684108968240968,0.014684108968240968,24,302026,5302026,5302027,2,2,f8fef8f0ae49d715,a79469a515405ee9,E:\py learn\adversarial_attack_DRL\2024_dvcvqkd\experiments\joint_seed2026\best_gs.pt
link_distance,20.0,km,PS,0,0.11050168191038434,0.07653501535760143,0.10497659781486512,0.028441582457263685,0.028441582457263685,24,302026,5302026,5302027,2,2,f8fef8f0ae49d715,a79469a515405ee9,E:\py learn\adversarial_attack_DRL\2024_dvcvqkd\experiments\joint_seed2026\best_ps.pt
link_distance,20.0,km,PS+GS,0,0.11050138572103219,0.0764916372932043,0.10497631643498057,0.028484679141776277,0.028484679141776277,24,302026,5302026,5302027,2,2,f8fef8f0ae49d715,a79469a515405ee9,E:\py learn\adversarial_attack_DRL\2024_dvcvqkd\experiments\joint_seed2026\best_joint.pt
link_distance,20.0,km,Uniform QAM,1,0.1189243671805591,0.09430029174841237,0.11297814882153114,0.018677857073118767,0.018677857073118767,24,303026,5303026,5303027,2,2,5c6b82d6e83367c6,081db1a56aaf1fd0,fixed project PMF
link_distance,20.0,km,Maxwell-Boltzmann QAM,1,0.10453755130668618,0.07660321618532406,0.09931067374135187,0.022707457556027804,0.022707457556027804,24,303026,5303026,5303027,2,2,5c6b82d6e83367c6,081db1a56aaf1fd0,fixed project PMF
link_distance,20.0,km,Binomial QAM,1,0.10198620412547754,0.07684644842016375,0.09688689391920366,0.020040445499039918,0.020040445499039918,24,303026,5303026,5303027,2,2,5c6b82d6e83367c6,081db1a56aaf1fd0,fixed project PMF
link_distance,20.0,km,GS,1,0.11892514351380656,0.09300914260569892,0.11297888633811623,0.019969743732417305,0.019969743732417305,24,303026,5303026,5303027,2,2,5c6b82d6e83367c6,081db1a56aaf1fd0,E:\py learn\adversarial_attack_DRL\2024_dvcvqkd\experiments\joint_seed2026\best_gs.pt
link_distance,20.0,km,PS,1,0.10453755130668707,0.07660321618532584,0.09931067374135272,0.02270745755602687,0.02270745755602687,24,303026,5303026,5303027,2,2,5c6b82d6e83367c6,081db1a56aaf1fd0,E:\py learn\adversarial_attack_DRL\2024_dvcvqkd\experiments\joint_seed2026\best_ps.pt
link_distance,20.0,km,PS+GS,1,0.10453534618287685,0.07655926521403833,0.09930857887373301,0.022749313659694678,0.022749313659694678,24,303026,5303026,5303027,2,2,5c6b82d6e83367c6,081db1a56aaf1fd0,E:\py learn\adversarial_attack_DRL\2024_dvcvqkd\experiments\joint_seed2026\best_joint.pt
link_distance,24.0,km,Uniform QAM,0,0.005425308302325682,0.004940704150245612,0.005154042887209397,0.0002133387369637859,0.000214245620948161,24,302026,5312026,5312027,2,2,8399a6a2941e00e1,c43edaea2bdc328c,fixed project PMF
link_distance,24.0,km,Maxwell-Boltzmann QAM,0,0.004991029845103245,0.0038540884618450955,0.004741478352848084,0.0008873898910029878,0.0008873898910029878,24,302026,5312026,5312027,2,2,8399a6a2941e00e1,c43edaea2bdc328c,fixed project PMF
link_distance,24.0,km,Binomial QAM,0,0.004920744610912298,0.003867843153528283,0.004674707380366683,0.0008068642268383999,0.0008068642268383999,24,302026,5312026,5312027,2,2,8399a6a2941e00e1,c43edaea2bdc328c,fixed project PMF
link_distance,24.0,km,GS,0,0.005425299205272793,0.004857924823492565,0.005154034245009154,0.00029610942151658793,0.00029655794571690174,24,302026,5312026,5312027,2,2,8399a6a2941e00e1,c43edaea2bdc328c,E:\py learn\adversarial_attack_DRL\2024_dvcvqkd\experiments\joint_seed2026\best_gs.pt
link_distance,24.0,km,PS,0,0.0049910298451041335,0.0038540884618460947,0.004741478352848927,0.0008873898910028317,0.0008873898910028317,24,302026,5312026,5312027,2,2,8399a6a2941e00e1,c43edaea2bdc328c,E:\py learn\adversarial_attack_DRL\2024_dvcvqkd\experiments\joint_seed2026\best_ps.pt
link_distance,24.0,km,PS+GS,0,0.0049910113502735776,0.003851613408440202,0.004741460782759899,0.0008898473743196966,0.0008898473743196966,24,302026,5312026,5312027,2,2,8399a6a2941e00e1,c43edaea2bdc328c,E:\py learn\adversarial_attack_DRL\2024_dvcvqkd\experiments\joint_seed2026\best_joint.pt
link_distance,24.0,km,Uniform QAM,1,0.06643717332730015,0.05748452788669034,0.06311531466093513,0.0056307867742447955,0.0056307867742447955,24,303026,5313026,5313027,2,2,32017b87a132e9ef,a480ab3bb1ecb6de,fixed project PMF
link_distance,24.0,km,Maxwell-Boltzmann QAM,1,0.06887093284582324,0.046514151444400964,0.06542738620353207,0.018913234759131106,0.018913234759131106,24,303026,5313026,5313027,2,2,32017b87a132e9ef,a480ab3bb1ecb6de,fixed project PMF
link_distance,24.0,km,Binomial QAM,1,0.06810691391556256,0.04666173751001457,0.06470156821978443,0.01803983070976986,0.01803983070976986,24,303026,5313026,5313027,2,2,32017b87a132e9ef,a480ab3bb1ecb6de,fixed project PMF
link_distance,24.0,km,GS,1,0.0664373582458948,0.05667462587017191,0.06311549033360006,0.006440864463428151,0.006440864463428151,24,303026,5313026,5313027,2,2,32017b87a132e9ef,a480ab3bb1ecb6de,E:\py learn\adversarial_attack_DRL\2024_dvcvqkd\experiments\joint_seed2026\best_gs.pt
link_distance,24.0,km,PS,1,0.06887093284582413,0.04651415144440163,0.06542738620353292,0.018913234759131287,0.018913234759131287,24,303026,5313026,5313027,2,2,32017b87a132e9ef,a480ab3bb1ecb6de,E:\py learn\adversarial_attack_DRL\2024_dvcvqkd\experiments\joint_seed2026\best_ps.pt
link_distance,24.0,km,PS+GS,1,0.06887081608207479,0.04648751120024697,0.06542727527797104,0.018939764077724082,0.018939764077724082,24,303026,5313026,5313027,2,2,32017b87a132e9ef,a480ab3bb1ecb6de,E:\py learn\adversarial_attack_DRL\2024_dvcvqkd\experiments\joint_seed2026\best_joint.pt
link_distance,28.0,km,Uniform QAM,0,0.02495100030814479,0.020293634323157672,0.023703450292737547,0.003409815969579875,0.003409815969579875,24,302026,5322026,5322027,2,2,f3f58e8550d0f5c9,a588a835438c47cc,fixed project PMF
link_distance,28.0,km,Maxwell-Boltzmann QAM,0,0.024032277672004998,0.016116321789980237,0.022830663788404745,0.00671434199842451,0.00671434199842451,24,302026,5322026,5322027,2,2,f3f58e8550d0f5c9,a588a835438c47cc,fixed project PMF
link_distance,28.0,km,Binomial QAM,0,0.023825084216352987,0.016170407396284836,0.022633830005535337,0.006463422609250501,0.006463422609250501,24,302026,5322026,5322027,2,2,f3f58e8550d0f5c9,a588a835438c47cc,fixed project PMF
link_distance,28.0,km,GS,0,0.024951015148161115,0.01997897287945405,0.023703464390753055,0.0037244915112990083,0.0037244915112990083,24,302026,5322026,5322027,2,2,f3f58e8550d0f5c9,a588a835438c47cc,E:\py learn\adversarial_attack_DRL\2024_dvcvqkd\experiments\joint_seed2026\best_gs.pt
link_distance,28.0,km,PS,0,0.02403227767200722,0.016116321789981236,0.022830663788406855,0.00671434199842562,0.00671434199842562,24,302026,5322026,5322027,2,2,f3f58e8550d0f5c9,a588a835438c47cc,E:\py learn\adversarial_attack_DRL\2024_dvcvqkd\experiments\joint_seed2026\best_ps.pt
link_distance,28.0,km,PS+GS,0,0.02403242585698173,0.01610657793641712,0.022830804564132643,0.006724226627715523,0.006724226627715523,24,302026,5322026,5322027,2,2,f3f58e8550d0f5c9,a588a835438c47cc,E:\py learn\adversarial_attack_DRL\2024_dvcvqkd\experiments\joint_seed2026\best_joint.pt
link_distance,28.0,km,Uniform QAM,1,0.03488353713836645,0.02985817753989306,0.03313936028144813,0.003281182741555066,0.003281182741555066,24,303026,5323026,5323027,2,2,cafe508efe70beb1,6dccdf307b6d3ef0,fixed project PMF
link_distance,28.0,km,Maxwell-Boltzmann QAM,1,0.033354106469497324,0.02388987512302132,0.03168640114602246,0.007796526023001137,0.007796526023001137,24,303026,5323026,5323027,2,2,cafe508efe70beb1,6dccdf307b6d3ef0,fixed project PMF
link_distance,28.0,km,Binomial QAM,1,0.03275233627510188,0.02396805870226104,0.031114719461346786,0.007146660759085743,0.007146660759085743,24,303026,5323026,5323027,2,2,cafe508efe70beb1,6dccdf307b6d3ef0,fixed project PMF
link_distance,28.0,km,GS,1,0.034883218726059706,0.02941129848764379,0.03313905778975672,0.0037277593021129325,0.0037277593021129325,24,303026,5323026,5323027,2,2,cafe508efe70beb1,6dccdf307b6d3ef0,E:\py learn\adversarial_attack_DRL\2024_dvcvqkd\experiments\joint_seed2026\best_gs.pt
link_distance,28.0,km,PS,1,0.03335410646949866,0.02388987512302221,0.031686401146023724,0.007796526023001515,0.007796526023001515,24,303026,5323026,5323027,2,2,cafe508efe70beb1,6dccdf307b6d3ef0,E:\py learn\adversarial_attack_DRL\2024_dvcvqkd\experiments\joint_seed2026\best_ps.pt
link_distance,28.0,km,PS+GS,1,0.03335398704007275,0.02387578138031432,0.031686287688069116,0.007810506307754794,0.007810506307754794,24,303026,5323026,5323027,2,2,cafe508efe70beb1,6dccdf307b6d3ef0,E:\py learn\adversarial_attack_DRL\2024_dvcvqkd\experiments\joint_seed2026\best_joint.pt
link_distance,32.0,km,Uniform QAM,0,0.0010246259063175778,0.0010099916194472591,0.0009733946110016988,-3.659700844556031e-05,0.0,24,302026,5332026,5332027,2,2,d376c35a9967c521,169ea5418730aca3,fixed project PMF
link_distance,32.0,km,Maxwell-Boltzmann QAM,0,0.0010758319186185972,0.0007573731682346541,0.0010220403226876673,0.00026466715445301316,0.00026466715445301316,24,302026,5332026,5332027,2,2,d376c35a9967c521,169ea5418730aca3,fixed project PMF
link_distance,32.0,km,Binomial QAM,0,0.0010787043785955852,0.0007604580139620731,0.001024769159665806,0.0002643111457037328,0.0002643111457037328,24,302026,5332026,5332027,2,2,d376c35a9967c521,169ea5418730aca3,fixed project PMF
link_distance,32.0,km,GS,0,0.0010246268294897831,0.0009904141049634774,0.0009733954880152939,-1.7018616948183495e-05,0.0,24,302026,5332026,5332027,2,2,d376c35a9967c521,169ea5418730aca3,E:\py learn\adversarial_attack_DRL\2024_dvcvqkd\experiments\joint_seed2026\best_gs.pt
link_distance,32.0,km,PS,0,0.0010758319186199294,0.0007573731682346541,0.001022040322688933,0.00026466715445427885,0.00026466715445427885,24,302026,5332026,5332027,2,2,d376c35a9967c521,169ea5418730aca3,E:\py learn\adversarial_attack_DRL\2024_dvcvqkd\experiments\joint_seed2026\best_ps.pt
link_distance,32.0,km,PS+GS,0,0.0010758297732147426,0.0007568191549783831,0.0010220382845540054,0.00026521912957562234,0.00026521912957562234,24,302026,5332026,5332027,2,2,d376c35a9967c521,169ea5418730aca3,E:\py learn\adversarial_attack_DRL\2024_dvcvqkd\experiments\joint_seed2026\best_joint.pt
link_distance,32.0,km,Uniform QAM,1,0.018719928070711767,0.015491632822737245,0.017783931667176178,0.0022922988444389336,0.0022927888511964367,24,303026,5333026,5333027,2,2,d2372fb8bcdd1f91,611fe0cee1e9f015,fixed project PMF
link_distance,32.0,km,Maxwell-Boltzmann QAM,1,0.01858516686855971,0.01239208011880566,0.017655908525131724,0.005263828406326065,0.005263828406326065,24,303026,5333026,5333027,2,2,d2372fb8bcdd1f91,611fe0cee1e9f015,fixed project PMF
link_distance,32.0,km,Binomial QAM,1,0.01891164745558127,0.012432644166824325,0.01796606508280221,0.005533420915977883,0.005533420915977883,24,303026,5333026,5333027,2,2,d2372fb8bcdd1f91,611fe0cee1e9f015,fixed project PMF
link_distance,32.0,km,GS,1,0.01872016355670736,0.015259434941946814,0.017784155378871992,0.002524720436925177,0.002524894592395955,24,303026,5333026,5333027,2,2,d2372fb8bcdd1f91,611fe0cee1e9f015,E:\py learn\adversarial_attack_DRL\2024_dvcvqkd\experiments\joint_seed2026\best_gs.pt
link_distance,32.0,km,PS,1,0.018585166868561043,0.012392080118804882,0.01765590852513299,0.0052638284063281065,0.0052638284063281065,24,303026,5333026,5333027,2,2,d2372fb8bcdd1f91,611fe0cee1e9f015,E:\py learn\adversarial_attack_DRL\2024_dvcvqkd\experiments\joint_seed2026\best_ps.pt
link_distance,32.0,km,PS+GS,1,0.01858518164337175,0.01238476821347334,0.017655922561203165,0.0052711543477298225,0.0052711543477298225,24,303026,5333026,5333027,2,2,d2372fb8bcdd1f91,611fe0cee1e9f015,E:\py learn\adversarial_attack_DRL\2024_dvcvqkd\experiments\joint_seed2026\best_joint.pt
link_distance,36.0,km,Uniform QAM,0,0.000897331528147749,0.0007806800983044537,0.0008524649517403615,7.178485343590775e-05,7.186941486287952e-05,24,302026,5342026,5342027,2,2,4529b7544969721f,9729f2cf706d0ee2,fixed project PMF
link_distance,36.0,km,Maxwell-Boltzmann QAM,0,0.0009550054237115191,0.0005833825970035234,0.0009072551525259431,0.00032387255552241974,0.00032387255552241974,24,302026,5342026,5342027,2,2,4529b7544969721f,9729f2cf706d0ee2,fixed project PMF
link_distance,36.0,km,Binomial QAM,0,0.0009583074203187714,0.0005857854554252029,0.0009103920493028328,0.00032460659387762987,0.00032460659387762987,24,302026,5342026,5342027,2,2,4529b7544969721f,9729f2cf706d0ee2,fixed project PMF
link_distance,36.0,km,GS,0,0.0008973287815248199,0.000765370898183737,0.0008524623424485788,8.709144426484175e-05,8.713045185639859e-05,24,302026,5342026,5342027,2,2,4529b7544969721f,9729f2cf706d0ee2,E:\py learn\adversarial_attack_DRL\2024_dvcvqkd\experiments\joint_seed2026\best_gs.pt
link_distance,36.0,km,PS,0,0.0009550054237124073,0.0005833825970035234,0.0009072551525267868,0.00032387255552326346,0.00032387255552326346,24,302026,5342026,5342027,2,2,4529b7544969721f,9729f2cf706d0ee2,E:\py learn\adversarial_attack_DRL\2024_dvcvqkd\experiments\joint_seed2026\best_ps.pt
link_distance,36.0,km,PS+GS,0,0.0009550003744362989,0.0005829511270910581,0.000907250355714484,0.00032429922862342586,0.00032429922862342586,24,302026,5342026,5342027,2,2,4529b7544969721f,9729f2cf706d0ee2,E:\py learn\adversarial_attack_DRL\2024_dvcvqkd\experiments\joint_seed2026\best_joint.pt
link_distance,36.0,km,Uniform QAM,1,0.012561949247711368,0.011387836825392461,0.011933851785325798,0.0005460149599333373,0.0005778622276623614,24,303026,5343026,5343027,2,2,f088d286fa7353a9,112ee7bc0a18587c,fixed project PMF
link_distance,36.0,km,Maxwell-Boltzmann QAM,1,0.011241760606309104,0.008930859499828858,0.010679672575993648,0.0017488130761647894,0.0017488130761647894,24,303026,5343026,5343027,2,2,f088d286fa7353a9,112ee7bc0a18587c,fixed project PMF
link_distance,36.0,km,Binomial QAM,1,0.01087473150609819,0.008962154566787284,0.010330994930793279,0.001368840364005996,0.001368840364005996,24,303026,5343026,5343027,2,2,f088d286fa7353a9,112ee7bc0a18587c,fixed project PMF
link_distance,36.0,km,GS,1,0.012561841169926424,0.011201235023221012,0.011933749111430102,0.0007325140882090894,0.0007325140882090894,24,303026,5343026,5343027,2,2,f088d286fa7353a9,112ee7bc0a18587c,E:\py learn\adversarial_attack_DRL\2024_dvcvqkd\experiments\joint_seed2026\best_gs.pt
link_distance,36.0,km,PS,1,0.011241760606310436,0.008930859499829857,0.010679672575994914,0.0017488130761650566,0.0017488130761650566,24,303026,5343026,5343027,2,2,f088d286fa7353a9,112ee7bc0a18587c,E:\py learn\adversarial_attack_DRL\2024_dvcvqkd\experiments\joint_seed2026\best_ps.pt
link_distance,36.0,km,PS+GS,1,0.011241775987562264,0.008925226331737868,0.010679687188184149,0.0017544608564462817,0.0017544608564462817,24,303026,5343026,5343027,2,2,f088d286fa7353a9,112ee7bc0a18587c,E:\py learn\adversarial_attack_DRL\2024_dvcvqkd\experiments\joint_seed2026\best_joint.pt
link_distance,40.0,km,Uniform QAM,0,0.0007568885650250934,0.0007710248337295944,0.0007190441367738386,-5.1980696955755736e-05,0.0,24,302026,5352026,5352027,2,2,cbf67de2576a93bf,b6a1d623ef478e19,fixed project PMF
link_distance,40.0,km,Maxwell-Boltzmann QAM,0,0.0007519337592745146,0.0005731274987941237,0.0007143370713107888,0.00014120957251666504,0.00014120957251666504,24,302026,5352026,5352027,2,2,cbf67de2576a93bf,b6a1d623ef478e19,fixed project PMF
link_distance,40.0,km,Binomial QAM,0,0.0007548187700212594,0.000575528314704421,0.0007170778315201964,0.00014154951681577546,0.00014154951681577546,24,302026,5352026,5352027,2,2,cbf67de2576a93bf,b6a1d623ef478e19,fixed project PMF
link_distance,40.0,km,GS,0,0.0007568814358314135,0.0007556415566755126,0.0007190373640398429,-3.66041926356697e-05,0.0,24,302026,5352026,5352027,2,2,cbf67de2576a93bf,b6a1d623ef478e19,E:\py learn\adversarial_attack_DRL\2024_dvcvqkd\experiments\joint_seed2026\best_gs.pt
