ncut,scheme,I_AB,chi_BE,beta_I_AB,K_raw,K_positive,abs_delta_K_raw_vs_full
120,Uniform QAM,0.10982354511915127,0.09028543067542771,0.10433236786319369,0.014046937187765987,0.014046937187765987,2.0261570199409107e-15
120,Maxwell-Boltzmann QAM,0.1074931288812424,0.07338862994997913,0.10211847243718028,0.028729842487201146,0.028729842487201146,3.247402347028583e-15
120,Binomial QAM,0.10725527641192556,0.07362045737353073,0.10189251259132928,0.028272055217798544,0.028272055217798544,7.854827899222983e-15
120,GS,0.109822274286423,0.08905148891304837,0.10433116057210184,0.015279671659053471,0.015279671659053471,1.0269562977782698e-15
120,PS,0.10749312888124274,0.07338862994997913,0.1021184724371806,0.028729842487201465,0.028729842487201465,2.886579864025407e-15
120,PS+GS,0.10749315039631524,0.0733467093181181,0.10211849287649948,0.028771783558381375,0.028771783558381375,4.6074255521944e-15
150,Uniform QAM,0.10982354511915127,0.09028543067542974,0.10433236786319369,0.014046937187763961,0.014046937187763961,0.0
150,Maxwell-Boltzmann QAM,0.1074931288812424,0.07338862994997589,0.10211847243718028,0.028729842487204393,0.028729842487204393,0.0
150,Binomial QAM,0.10725527641192556,0.07362045737353859,0.10189251259132928,0.02827205521779069,0.02827205521779069,0.0
150,GS,0.109822274286423,0.08905148891304734,0.10433116057210184,0.015279671659054498,0.015279671659054498,0.0
150,PS,0.10749312888124274,0.07338862994998202,0.1021184724371806,0.02872984248719858,0.02872984248719858,0.0
150,PS+GS,0.10749315039631524,0.0733467093181227,0.10211849287649948,0.028771783558376767,0.028771783558376767,0.0
