parameter_name,parameter_value,parameter_unit,repetition,seed,Delta_K_PS_vs_Uniform,Delta_K_GS_vs_Uniform,Delta_K_PS+GS_vs_PS
aperture_radius,0.1,m,0,302026,0.004893163332331628,0.00036637195402031185,1.1731402636290696e-05
aperture_radius,0.1,m,1,303026,0.005215162444140758,0.0003877066449912278,1.2415980119636488e-05
aperture_radius,0.1,m,2,304026,0.00480247546755187,0.0003585866060059825,1.1519757173104363e-05
aperture_radius,0.1,m,3,305026,0.005499097374500273,0.00040652525396669146,1.3084927697793597e-05
aperture_radius,0.1,m,4,306026,0.004753846649923234,0.00035523569455526765,1.1343117849086856e-05
aperture_radius,0.11,m,0,302026,0.006291672113725976,0.0004672199753753218,1.5106152470091214e-05
aperture_radius,0.11,m,1,303026,0.006046034320271682,0.00045051523260326246,1.4591678216144266e-05
aperture_radius,0.11,m,2,304026,0.005907116548385996,0.00044387392620854563,1.4369676881051396e-05
aperture_radius,0.11,m,3,305026,0.00634311296878066,0.00047204226120700285,1.5318952597461258e-05
aperture_radius,0.11,m,4,306026,0.006130210529453227,0.0004586448037306695,1.4794940228286119e-05
aperture_radius,0.12,m,0,302026,0.006423382922535855,0.00047826995162861784,1.553869936006362e-05
aperture_radius,0.12,m,1,303026,0.007039244823555837,0.0005227513489288894,1.7042551590556315e-05
aperture_radius,0.12,m,2,304026,0.006899918679493064,0.0005112926571325931,1.6663060055748663e-05
aperture_radius,0.12,m,3,305026,0.007264800832954621,0.0005380424853471998,1.7548790971138456e-05
aperture_radius,0.12,m,4,306026,0.007514897671182909,0.0005582647335742848,1.818846037894388e-05
aperture_radius,0.13,m,0,302026,0.008232275443834619,0.000604876950733438,1.989385010043969e-05
aperture_radius,0.13,m,1,303026,0.008130007358450438,0.0006053123546425091,1.984647442411329e-05
aperture_radius,0.13,m,2,304026,0.007881265955814034,0.0005900279956118836,1.9328755246759977e-05
aperture_radius,0.13,m,3,305026,0.00842964584231741,0.0006230493133098126,2.048633636114218e-05
aperture_radius,0.13,m,4,306026,0.008181437484756651,0.0006076462716349809,1.9893376898743112e-05
aperture_radius,0.14,m,0,302026,0.008691474820254926,0.0006461043121629246,2.1264289105277917e-05
aperture_radius,0.14,m,1,303026,0.008880133196832944,0.0006585017469937253,2.167188631027432e-05
aperture_radius,0.14,m,2,304026,0.008964204030733185,0.0006619239096838855,2.1789646271272098e-05
aperture_radius,0.14,m,3,305026,0.008802609477152671,0.0006509105421521723,2.1395544983279433e-05
aperture_radius,0.14,m,4,306026,0.009454663903837483,0.0006880024180809649,2.2678941282444284e-05
aperture_radius,0.15,m,0,302026,0.01014250322980845,0.0007398575500308065,2.4482438519785737e-05
aperture_radius,0.15,m,1,303026,0.009791636804531573,0.0007264685863109894,2.4067590275914097e-05
aperture_radius,0.15,m,2,304026,0.009552050317918849,0.0007054372126151006,2.333317359121123e-05
aperture_radius,0.15,m,3,305026,0.010236384026126267,0.0007522641970619456,2.500716018067825e-05
aperture_radius,0.15,m,4,306026,0.010395185104913078,0.0007662487067625848,2.5450870178852364e-05
aperture_radius,0.16,m,0,302026,0.009882443261779408,0.0007282388207788719,2.4188593577757767e-05
aperture_radius,0.16,m,1,303026,0.01071079691041367,0.0007956300047997954,2.6470681179197042e-05
aperture_radius,0.16,m,2,304026,0.010106897117270926,0.0007489824814835453,2.488821021414886e-05
aperture_radius,0.16,m,3,305026,0.010495153111459973,0.0007736847927091962,2.5694497938075905e-05
aperture_radius,0.16,m,4,306026,0.011117528319433606,0.0008153600185821924,2.7264004825118537e-05
aperture_radius,0.16999999999999998,m,0,302026,0.012194803034417709,0.0008961586274630895,2.9975931795434008e-05
aperture_radius,0.16999999999999998,m,1,303026,0.012088392463097796,0.0008839653801211399,2.9631917366393368e-05
aperture_radius,0.16999999999999998,m,2,304026,0.011772702675939207,0.0008656521157190608,2.9066706931400038e-05
aperture_radius,0.16999999999999998,m,3,305026,0.011539856206103627,0.0008533889898608912,2.8482599469525915e-05
aperture_radius,0.16999999999999998,m,4,306026,0.012081509030026848,0.0008804320503795222,2.9412052240697373e-05
aperture_radius,0.18,m,0,302026,0.012697678886579782,0.00092333726780967,3.0969711681358425e-05
