parameter_name,parameter_value,parameter_unit,scheme,repetition,I_AB,chi_BE,beta_I_AB,K_raw,K_positive,ncut,seed,channel_seed,awgn_seed,fading_samples,awgn_samples,channel_sample_hash,awgn_sample_hash,checkpoint
beam_waist,0.03,m,Uniform QAM,0,0.05951936052232054,0.05057310800874288,0.05654339249620451,0.0059702844874616285,0.005970373890250879,150,302026,2302026,2302027,256,128,b64495be95b7fae7,d55e9d66d0cf031d,fixed project PMF
beam_waist,0.03,m,Maxwell-Boltzmann QAM,0,0.05951674156794057,0.04086661671088618,0.056540904489543534,0.015674287778657356,0.015674287778657356,150,302026,2302026,2302027,256,128,b64495be95b7fae7,d55e9d66d0cf031d,fixed project PMF
beam_waist,0.03,m,Binomial QAM,0,0.059515302578171905,0.04099652401013994,0.05653953744926331,0.015543013439123378,0.015543013439123378,150,302026,2302026,2302027,256,128,b64495be95b7fae7,d55e9d66d0cf031d,fixed project PMF
beam_waist,0.03,m,GS,0,0.05951939305243877,0.04985452939450753,0.056543423399816835,0.006688894005309291,0.006688894005309291,150,302026,2302026,2302027,256,128,b64495be95b7fae7,d55e9d66d0cf031d,E:\py learn\adversarial_attack_DRL\2024_dvcvqkd\experiments\joint_seed2026\best_gs.pt
beam_waist,0.03,m,PS,0,0.05951674156794144,0.0408666167108894,0.05654090448954436,0.01567428777865497,0.01567428777865497,150,302026,2302026,2302027,256,128,b64495be95b7fae7,d55e9d66d0cf031d,E:\py learn\adversarial_attack_DRL\2024_dvcvqkd\experiments\joint_seed2026\best_ps.pt
beam_waist,0.03,m,PS+GS,0,0.059516740390845826,0.040843154644585294,0.05654090337130354,0.015697748726718242,0.015697748726718242,150,302026,2302026,2302027,256,128,b64495be95b7fae7,d55e9d66d0cf031d,E:\py learn\adversarial_attack_DRL\2024_dvcvqkd\experiments\joint_seed2026\best_joint.pt
beam_waist,0.03,m,Uniform QAM,1,0.05630288433359836,0.04790651743185654,0.05348774011691844,0.005581222685061897,0.005581222685061897,150,303026,2303026,2303027,256,128,bb5e0d2af12a848c,cee51ebbc2fcd519,fixed project PMF
beam_waist,0.03,m,Maxwell-Boltzmann QAM,1,0.056303506779299455,0.03867292332797423,0.05348833144033449,0.014815408112360252,0.014815408112360252,150,303026,2303026,2303027,256,128,bb5e0d2af12a848c,cee51ebbc2fcd519,fixed project PMF
beam_waist,0.03,m,Binomial QAM,1,0.05630747186335061,0.03879618606839404,0.053492098270183086,0.01469591220178905,0.01469591220178905,150,303026,2303026,2303027,256,128,bb5e0d2af12a848c,cee51ebbc2fcd519,fixed project PMF
beam_waist,0.03,m,GS,1,0.05630291080739287,0.04722201074196999,0.053487765267023216,0.006265754525053234,0.006265754525053234,150,303026,2303026,2303027,256,128,bb5e0d2af12a848c,cee51ebbc2fcd519,E:\py learn\adversarial_attack_DRL\2024_dvcvqkd\experiments\joint_seed2026\best_gs.pt
beam_waist,0.03,m,PS,1,0.05630350677930028,0.03867292332797727,0.05348833144033526,0.014815408112357993,0.014815408112357993,150,303026,2303026,2303027,256,128,bb5e0d2af12a848c,cee51ebbc2fcd519,E:\py learn\adversarial_attack_DRL\2024_dvcvqkd\experiments\joint_seed2026\best_ps.pt
beam_waist,0.03,m,PS+GS,1,0.05630349322671515,0.03865066415579565,0.053488318565379396,0.01483765440958374,0.01483765440958374,150,303026,2303026,2303027,256,128,bb5e0d2af12a848c,cee51ebbc2fcd519,E:\py learn\adversarial_attack_DRL\2024_dvcvqkd\experiments\joint_seed2026\best_joint.pt
beam_waist,0.03,m,Uniform QAM,2,0.06055082856318915,0.05148722190692392,0.05752328713502968,0.0060360652281057645,0.0060360652281057645,150,304026,2304026,2304027,256,128,f18ca49ba3393564,d9bfe7a279e3c681,fixed project PMF
beam_waist,0.03,m,Maxwell-Boltzmann QAM,2,0.06048978135089922,0.04160110909790439,0.057465292283354265,0.015864183185449864,0.015864183185449864,150,304026,2304026,2304027,256,128,f18ca49ba3393564,d9bfe7a279e3c681,fixed project PMF
beam_waist,0.03,m,Binomial QAM,2,0.0604748709982022,0.041733351609853406,0.05745112744829209,0.01571777583843869,0.01571777583843869,150,304026,2304026,2304027,256,128,f18ca49ba3393564,d9bfe7a279e3c681,fixed project PMF
beam_waist,0.03,m,GS,2,0.060550877532287904,0.05075514082119141,0.057523333655673504,0.0067681928344820955,0.0067681928344820955,150,304026,2304026,2304027,256,128,f18ca49ba3393564,d9bfe7a279e3c681,E:\py learn\adversarial_attack_DRL\2024_dvcvqkd\experiments\joint_seed2026\best_gs.pt
beam_waist,0.03,m,PS,2,0.060489781350900086,0.04160110909790785,0.05746529228335509,0.01586418318544722,0.01586418318544722,150,304026,2304026,2304027,256,128,f18ca49ba3393564,d9bfe7a279e3c681,E:\py learn\adversarial_attack_DRL\2024_dvcvqkd\experiments\joint_seed2026\best_ps.pt
beam_waist,0.03,m,PS+GS,2,0.06048978907441859,0.04157722589565408,0.057465299620697664,0.015888073725043587,0.015888073725043587,150,304026,2304026,2304027,256,128,f18ca49ba3393564,d9bfe7a279e3c681,E:\py learn\adversarial_attack_DRL\2024_dvcvqkd\experiments\joint_seed2026\best_joint.pt
beam_waist,0.03,m,Uniform QAM,3,0.05750679262188668,0.048923482985543776,0.05463145299079235,0.005707970005248569,0.005707970005248569,150,305026,2305026,2305027,256,128,688d65c815d79796,201f2b01be348cb5,fixed project PMF
beam_waist,0.03,m,Maxwell-Boltzmann QAM,3,0.05753413815066291,0.03950676296446169,0.05465743124312977,0.015150668278668079,0.015150668278668079,150,305026,2305026,2305027,256,128,688d65c815d79796,201f2b01be348cb5,fixed project PMF
beam_waist,0.03,m,Binomial QAM,3,0.05753593967570494,0.03963257711384117,0.05465914269191968,0.015026565578078513,0.015026565578078513,150,305026,2305026,2305027,256,128,688d65c815d79796,201f2b01be348cb5,fixed project PMF
