parameter_name,parameter_value,parameter_unit,scheme,repetition,I_AB,chi_BE,beta_I_AB,K_raw,K_positive,ncut,seed,channel_seed,awgn_seed,fading_samples,awgn_samples,channel_sample_hash,awgn_sample_hash,checkpoint
visibility,5.0,km,Uniform QAM,0,0.002897006273644323,0.0026758735255619833,0.002752155959962107,7.628243440012346e-05,7.774853306297821e-05,150,302026,1302026,1302027,256,128,8fd4f436edd3eeef,fc54a7b058e1943a,fixed project PMF
visibility,5.0,km,Maxwell-Boltzmann QAM,0,0.002898861790051152,0.002034857838282741,0.002753918700548594,0.0007190608622658532,0.0007190608622658532,150,302026,1302026,1302027,256,128,8fd4f436edd3eeef,fc54a7b058e1943a,fixed project PMF
visibility,5.0,km,Binomial QAM,0,0.0028987020016874865,0.0020427752591532684,0.0027537669016031124,0.0007109916424498437,0.0007109916424498437,150,302026,1302026,1302027,256,128,8fd4f436edd3eeef,fc54a7b058e1943a,fixed project PMF
visibility,5.0,km,GS,0,0.002897006334112162,0.002626462149929603,0.002752156017406554,0.00012569386747695089,0.00012595364880068876,150,302026,1302026,1302027,256,128,8fd4f436edd3eeef,fc54a7b058e1943a,E:\py learn\adversarial_attack_DRL\2024_dvcvqkd\experiments\joint_seed2026\best_gs.pt
visibility,5.0,km,PS,0,0.0028988617900519154,0.002034857838282938,0.0027539187005493192,0.0007190608622663813,0.0007190608622663813,150,302026,1302026,1302027,256,128,8fd4f436edd3eeef,fc54a7b058e1943a,E:\py learn\adversarial_attack_DRL\2024_dvcvqkd\experiments\joint_seed2026\best_ps.pt
visibility,5.0,km,PS+GS,0,0.002898861854022137,0.0020334338928809604,0.00275391876132103,0.0007204848684400696,0.0007204848684400696,150,302026,1302026,1302027,256,128,8fd4f436edd3eeef,fc54a7b058e1943a,E:\py learn\adversarial_attack_DRL\2024_dvcvqkd\experiments\joint_seed2026\best_joint.pt
visibility,5.0,km,Uniform QAM,1,0.0031038917866698587,0.0028608888642878685,0.0029486971973363657,8.780833304849716e-05,8.910904365140433e-05,150,303026,1303026,1303027,256,128,e96081a8bb5efc1e,4b26850e70899696,fixed project PMF
visibility,5.0,km,Maxwell-Boltzmann QAM,1,0.0031070195593180423,0.0021790305167762505,0.00295166858135214,0.0007726380645758896,0.0007726380645758896,150,303026,1303026,1303027,256,128,e96081a8bb5efc1e,4b26850e70899696,fixed project PMF
visibility,5.0,km,Binomial QAM,1,0.0031071427052725593,0.0021874639931909077,0.0029517855700089313,0.0007643215768180236,0.0007643215768180236,150,303026,1303026,1303027,256,128,e96081a8bb5efc1e,4b26850e70899696,fixed project PMF
visibility,5.0,km,GS,1,0.0031038919538221924,0.0028083633811703214,0.0029486973561310826,0.00014033397496076127,0.0001406144735203152,150,303026,1303026,1303027,256,128,e96081a8bb5efc1e,4b26850e70899696,E:\py learn\adversarial_attack_DRL\2024_dvcvqkd\experiments\joint_seed2026\best_gs.pt
visibility,5.0,km,PS,1,0.0031070195593188056,0.002179030516776482,0.0029516685813528658,0.0007726380645763833,0.0007726380645763833,150,303026,1303026,1303027,256,128,e96081a8bb5efc1e,4b26850e70899696,E:\py learn\adversarial_attack_DRL\2024_dvcvqkd\experiments\joint_seed2026\best_ps.pt
visibility,5.0,km,PS+GS,1,0.0031070199450188227,0.002177513644937213,0.0029516689477678817,0.0007741553028306686,0.0007741553028306686,150,303026,1303026,1303027,256,128,e96081a8bb5efc1e,4b26850e70899696,E:\py learn\adversarial_attack_DRL\2024_dvcvqkd\experiments\joint_seed2026\best_joint.pt
visibility,5.0,km,Uniform QAM,2,0.0030171920125518954,0.0027858332136342923,0.0028663324119243003,8.049919829000828e-05,8.166989836341914e-05,150,304026,1304026,1304027,256,128,db87b04d79ad76af,23d1cf8776484f45,fixed project PMF
visibility,5.0,km,Maxwell-Boltzmann QAM,2,0.0030141843971563213,0.0021197033643386527,0.0028634751772985056,0.0007437718129598524,0.0007437718129598524,150,304026,1304026,1304027,256,128,db87b04d79ad76af,23d1cf8776484f45,fixed project PMF
