parameter_name,parameter_value,parameter_unit,repetition,seed,Delta_K_PS_vs_Uniform,Delta_K_GS_vs_Uniform,Delta_K_PS+GS_vs_PS
aperture_radius,0.1,m,0,302026,0.007533154520329276,0.00038067988481254016,1.2546140124206073e-05
aperture_radius,0.1,m,1,303026,0.000546815366498632,6.346313781435686e-05,1.8448542645768066e-06
aperture_radius,0.3,m,0,302026,0.00763209448921762,0.0010370938345412653,3.735072588466337e-05
aperture_radius,0.3,m,1,303026,0.011872122053499953,0.0018388096037508794,6.221147545754091e-05
beam_waist,0.03,m,0,302026,0.014058043236561886,0.0006785678912066169,2.283234747512547e-05
beam_waist,0.03,m,1,303026,0.00805704963138074,0.0006824985633931482,2.1147551945332327e-05
beam_waist,0.12,m,0,302026,0.002179928355505536,0.0007783382957147443,2.5604539720180258e-05
beam_waist,0.12,m,1,303026,0.01579378708713131,0.0011508678278511417,3.837826236707462e-05
excess_noise,0.0,SNU,0,302026,-0.006908030695523024,0.0016071742049813403,1.1670364237138797e-05
excess_noise,0.0,SNU,1,303026,0.015795086123455412,0.0014566588140054251,1.538637956993022e-05
excess_noise,0.01,SNU,0,302026,0.024501339293973884,0.0014565244321897985,9.02336798840539e-05
excess_noise,0.01,SNU,1,303026,0.01181131134787181,0.0004934885045428036,3.240349927029207e-05
turbulence_strength,1e-16,m^(-2/3),0,302026,0.010870590373965955,0.0015096665330617681,5.1085139048001604e-05
turbulence_strength,1e-16,m^(-2/3),1,303026,0.023433916870328607,0.0016360771443347522,6.26152371863975e-05
turbulence_strength,1e-14,m^(-2/3),0,302026,0.00013874748841229405,8.83436660061845e-06,3.956256012128002e-07
turbulence_strength,1e-14,m^(-2/3),1,303026,0.0001396076509570188,1.3649149228700487e-05,3.8568356393038454e-07
visibility,5.0,km,0,302026,0.0009711585708716442,5.8354597543330616e-05,1.6614457699626328e-06
visibility,5.0,km,1,303026,0.0007529019494683323,5.952281970398351e-05,1.6962678476505587e-06
visibility,40.0,km,0,302026,0.03617905881780528,0.006454914493565056,0.0002883074630611049
visibility,40.0,km,1,303026,0.05582444633192751,0.002828780603296027,0.0001144655597315608
