parameter_name,parameter_value,parameter_unit,scheme,repetition,I_AB,chi_BE,beta_I_AB,K_raw,K_positive,ncut,seed,channel_seed,awgn_seed,fading_samples,awgn_samples,channel_sample_hash,awgn_sample_hash,checkpoint
aperture_radius,0.1,m,Uniform QAM,0,0.03038115650593598,0.026664614417002075,0.02886209868063918,0.0021974842636371048,0.0021974842636371048,24,302026,302026,302027,2,2,e31c1dc0ba66fa5d,ab4ba968764fd0aa,fixed project PMF
aperture_radius,0.1,m,Maxwell-Boltzmann QAM,0,0.03290761845755563,0.021531598750711756,0.03126223753467785,0.009730638783966095,0.009730638783966095,24,302026,302026,302027,2,2,e31c1dc0ba66fa5d,ab4ba968764fd0aa,fixed project PMF
aperture_radius,0.1,m,Binomial QAM,0,0.034141187964342734,0.021600055538511187,0.0324341285661256,0.01083407302761441,0.01083407302761441,24,302026,302026,302027,2,2,e31c1dc0ba66fa5d,ab4ba968764fd0aa,fixed project PMF
aperture_radius,0.1,m,GS,0,0.030381099809996037,0.02628388067104659,0.028862044819496235,0.002578164148449645,0.002578164148449645,24,302026,302026,302027,2,2,e31c1dc0ba66fa5d,ab4ba968764fd0aa,E:\py learn\adversarial_attack_DRL\2024_dvcvqkd\experiments\joint_seed2026\best_gs.pt
aperture_radius,0.1,m,PS,0,0.03290761845755652,0.02153159875071231,0.03126223753467869,0.009730638783966381,0.009730638783966381,24,302026,302026,302027,2,2,e31c1dc0ba66fa5d,ab4ba968764fd0aa,E:\py learn\adversarial_attack_DRL\2024_dvcvqkd\experiments\joint_seed2026\best_ps.pt
aperture_radius,0.1,m,PS+GS,0,0.032907823291826954,0.02151924720314502,0.031262432127235604,0.009743184924090587,0.009743184924090587,24,302026,302026,302027,2,2,e31c1dc0ba66fa5d,ab4ba968764fd0aa,E:\py learn\adversarial_attack_DRL\2024_dvcvqkd\experiments\joint_seed2026\best_joint.pt
aperture_radius,0.1,m,Uniform QAM,1,0.003925603961257629,0.003463161527170633,0.003729323763194747,0.0002661622360241142,0.0002661622360241142,24,303026,303026,303027,2,2,953d9e2f77993a2e,80353d317e3c35d3,fixed project PMF
aperture_radius,0.1,m,Maxwell-Boltzmann QAM,1,0.0036341034310627407,0.0026394206569868572,0.0034523982595096037,0.0008129776025227462,0.0008129776025227462,24,303026,303026,303027,2,2,953d9e2f77993a2e,80353d317e3c35d3,fixed project PMF
aperture_radius,0.1,m,Binomial QAM,1,0.0035599626793350048,0.002649614367244979,0.0033819645453682544,0.0007323501781232753,0.0007323501781232753,24,303026,303026,303027,2,2,953d9e2f77993a2e,80353d317e3c35d3,fixed project PMF
aperture_radius,0.1,m,GS,1,0.0039256263611417985,0.0033997196692462373,0.0037293450430847083,0.0003296253738384711,0.0003296253738384711,24,303026,303026,303027,2,2,953d9e2f77993a2e,80353d317e3c35d3,E:\py learn\adversarial_attack_DRL\2024_dvcvqkd\experiments\joint_seed2026\best_gs.pt
aperture_radius,0.1,m,PS,1,0.0036341034310627407,0.0026394206569868572,0.0034523982595096037,0.0008129776025227462,0.0008129776025227462,24,303026,303026,303027,2,2,953d9e2f77993a2e,80353d317e3c35d3,E:\py learn\adversarial_attack_DRL\2024_dvcvqkd\experiments\joint_seed2026\best_ps.pt
aperture_radius,0.1,m,PS+GS,1,0.0036341169142017904,0.002637588611704378,0.003452411068491701,0.000814822456787323,0.000814822456787323,24,303026,303026,303027,2,2,953d9e2f77993a2e,80353d317e3c35d3,E:\py learn\adversarial_attack_DRL\2024_dvcvqkd\experiments\joint_seed2026\best_joint.pt
aperture_radius,0.3,m,Uniform QAM,0,0.09018146153299078,0.0755386137298465,0.08567238845634124,0.010133774726494744,0.010133774726494744,24,302026,312026,312027,2,2,5f3505680a0d5eb6,fd8f8d182980becf,fixed project PMF
aperture_radius,0.3,m,Maxwell-Boltzmann QAM,0,0.08324626929921042,0.06131808661853788,0.07908395583424989,0.017765869215712007,0.017765869215712007,24,302026,312026,312027,2,2,5f3505680a0d5eb6,fd8f8d182980becf,fixed project PMF
aperture_radius,0.3,m,Binomial QAM,0,0.08145101922043363,0.06151518295545533,0.07737846825941194,0.01586328530395661,0.01586328530395661,24,302026,312026,312027,2,2,5f3505680a0d5eb6,fd8f8d182980becf,fixed project PMF
aperture_radius,0.3,m,GS,0,0.0901862234832902,0.07450604374808967,0.08567691230912568,0.01117086856103601,0.01117086856103601,24,302026,312026,312027,2,2,5f3505680a0d5eb6,fd8f8d182980becf,E:\py learn\adversarial_attack_DRL\2024_dvcvqkd\experiments\joint_seed2026\best_gs.pt
aperture_radius,0.3,m,PS,0,0.0832462692992122,0.061318086618539214,0.07908395583425158,0.017765869215712365,0.017765869215712365,24,302026,312026,312027,2,2,5f3505680a0d5eb6,fd8f8d182980becf,E:\py learn\adversarial_attack_DRL\2024_dvcvqkd\experiments\joint_seed2026\best_ps.pt
aperture_radius,0.3,m,PS+GS,0,0.08324808192677047,0.06128245788883491,0.07908567783043194,0.017803219941597028,0.017803219941597028,24,302026,312026,312027,2,2,5f3505680a0d5eb6,fd8f8d182980becf,E:\py learn\adversarial_attack_DRL\2024_dvcvqkd\experiments\joint_seed2026\best_joint.pt
aperture_radius,0.3,m,Uniform QAM,1,0.18114284674894465,0.13760204338287185,0.1720857044114974,0.03448366102862556,0.03448366102862556,24,303026,313026,313027,2,2,6979dcaf389eaf3d,f427096e4cfeb209,fixed project PMF
aperture_radius,0.3,m,Maxwell-Boltzmann QAM,1,0.16668824920258984,0.11199805366033377,0.15835383674246034,0.04635578308212657,0.04635578308212657,24,303026,313026,313027,2,2,6979dcaf389eaf3d,f427096e4cfeb209,fixed project PMF
aperture_radius,0.3,m,Binomial QAM,1,0.16514776345445759,0.11235469717823454,0.1568903752817347,0.04453567810350015,0.04453567810350015,24,303026,313026,313027,2,2,6979dcaf389eaf3d,f427096e4cfeb209,fixed project PMF
