parameter_name,parameter_value,parameter_unit,scheme,repetition,I_AB,chi_BE,beta_I_AB,K_raw,K_positive,ncut,seed,channel_seed,awgn_seed,fading_samples,awgn_samples,channel_sample_hash,awgn_sample_hash,checkpoint
beam_waist,0.03,m,Uniform QAM,0,0.05752339691812436,0.04794306409580196,0.054647227072218134,0.0067041629764161784,0.0067041629764161784,24,302026,2302026,2302027,2,2,e1fd00490bca083e,7c7928190adcb81c,fixed project PMF
beam_waist,0.03,m,Maxwell-Boltzmann QAM,0,0.06261974777257384,0.038726554170965266,0.05948876038394515,0.020762206212979882,0.020762206212979882,24,302026,2302026,2302027,2,2,e1fd00490bca083e,7c7928190adcb81c,fixed project PMF
beam_waist,0.03,m,Binomial QAM,0,0.06321246889401255,0.038850026951927075,0.06005184544931192,0.021201818497384846,0.021201818497384846,24,302026,2302026,2302027,2,2,e1fd00490bca083e,7c7928190adcb81c,fixed project PMF
beam_waist,0.03,m,GS,0,0.05751982706498815,0.04726110484411594,0.05464383571173874,0.007382730867622795,0.007382730867622795,24,302026,2302026,2302027,2,2,e1fd00490bca083e,7c7928190adcb81c,E:\py learn\adversarial_attack_DRL\2024_dvcvqkd\experiments\joint_seed2026\best_gs.pt
beam_waist,0.03,m,PS,0,0.06261974777257473,0.03872655417096793,0.059488760383945995,0.020762206212978064,0.020762206212978064,24,302026,2302026,2302027,2,2,e1fd00490bca083e,7c7928190adcb81c,E:\py learn\adversarial_attack_DRL\2024_dvcvqkd\experiments\joint_seed2026\best_ps.pt
beam_waist,0.03,m,PS+GS,0,0.06262032603908052,0.0387042711766733,0.05948930973712649,0.02078503856045319,0.02078503856045319,24,302026,2302026,2302027,2,2,e1fd00490bca083e,7c7928190adcb81c,E:\py learn\adversarial_attack_DRL\2024_dvcvqkd\experiments\joint_seed2026\best_joint.pt
beam_waist,0.03,m,Uniform QAM,1,0.05989776276379244,0.04753751387980665,0.05690287462560282,0.009365360745796171,0.009365360745796171,24,303026,2303026,2303027,2,2,f994fa2720034f77,6dc1d7c65314e00b,fixed project PMF
beam_waist,0.03,m,Maxwell-Boltzmann QAM,1,0.05869033674713542,0.03833340953260289,0.055755819909778646,0.017422410377175755,0.017422410377175755,24,303026,2303026,2303027,2,2,f994fa2720034f77,6dc1d7c65314e00b,fixed project PMF
beam_waist,0.03,m,Binomial QAM,1,0.058426448302991485,0.038455757404739055,0.05550512588784191,0.01704936848310285,0.01704936848310285,24,303026,2303026,2303027,2,2,f994fa2720034f77,6dc1d7c65314e00b,fixed project PMF
beam_waist,0.03,m,GS,1,0.05989628975131689,0.04685361595456172,0.05690147526375104,0.01004785930918932,0.01004785930918932,24,303026,2303026,2303027,2,2,f994fa2720034f77,6dc1d7c65314e00b,E:\py learn\adversarial_attack_DRL\2024_dvcvqkd\experiments\joint_seed2026\best_gs.pt
