parameter_name,parameter_value,parameter_unit,scheme,repetition,I_AB,chi_BE,beta_I_AB,K_raw,K_positive,ncut,seed,channel_seed,awgn_seed,fading_samples,awgn_samples,channel_sample_hash,awgn_sample_hash,checkpoint
excess_noise,0.0,SNU,Uniform QAM,0,0.16438030486104616,0.12460184200778135,0.15616128961799386,0.031559447610212496,0.031559447610212496,24,302026,4302026,4302027,2,2,2cef2934e5ce32a7,208890fcc54ad335,fixed project PMF
excess_noise,0.0,SNU,Maxwell-Boltzmann QAM,0,0.13607740793629075,0.10462212062478204,0.1292735375394762,0.024651416914694163,0.024651416914694163,24,302026,4302026,4302027,2,2,2cef2934e5ce32a7,208890fcc54ad335,fixed project PMF
excess_noise,0.0,SNU,Binomial QAM,0,0.12748766022485247,0.10476475717819089,0.12111327721360984,0.01634852003541895,0.019769914134339747,24,302026,4302026,4302027,2,2,2cef2934e5ce32a7,208890fcc54ad335,fixed project PMF
excess_noise,0.0,SNU,GS,0,0.16437276625846842,0.12298750613035114,0.15615412794554498,0.033166621815193836,0.033166621815193836,24,302026,4302026,4302027,2,2,2cef2934e5ce32a7,208890fcc54ad335,E:\py learn\adversarial_attack_DRL\2024_dvcvqkd\experiments\joint_seed2026\best_gs.pt
excess_noise,0.0,SNU,PS,0,0.1360774079362912,0.10462212062478715,0.12927353753947662,0.024651416914689472,0.024651416914689472,24,302026,4302026,4302027,2,2,2cef2934e5ce32a7,208890fcc54ad335,E:\py learn\adversarial_attack_DRL\2024_dvcvqkd\experiments\joint_seed2026\best_ps.pt
excess_noise,0.0,SNU,PS+GS,0,0.13607295954507537,0.10460622428889499,0.1292693115678216,0.02466308727892661,0.02466308727892661,24,302026,4302026,4302027,2,2,2cef2934e5ce32a7,208890fcc54ad335,E:\py learn\adversarial_attack_DRL\2024_dvcvqkd\experiments\joint_seed2026\best_joint.pt
excess_noise,0.0,SNU,Uniform QAM,1,0.14131328725336934,0.11192710867644118,0.13424762289070086,0.022320514214259686,0.022320514214259686,24,303026,4303026,4303027,2,2,0653719e2aa9fc95,b9432286f8e7532b,fixed project PMF
excess_noise,0.0,SNU,Maxwell-Boltzmann QAM,1,0.13904548013321882,0.09397760578884029,0.13209320612655787,0.03811560033771758,0.03811560033771758,24,303026,4303026,4303027,2,2,0653719e2aa9fc95,b9432286f8e7532b,fixed project PMF
excess_noise,0.0,SNU,Binomial QAM,1,0.1390969175989092,0.09410488141357698,0.13214207171896372,0.03803719030538674,0.03803719030538674,24,303026,4303026,4303027,2,2,0653719e2aa9fc95,b9432286f8e7532b,fixed project PMF
excess_noise,0.0,SNU,GS,1,0.141315772790926,0.11047281112311458,0.13424998415137968,0.02377717302826511,0.02377717302826511,24,303026,4303026,4303027,2,2,0653719e2aa9fc95,b9432286f8e7532b,E:\py learn\adversarial_attack_DRL\2024_dvcvqkd\experiments\joint_seed2026\best_gs.pt
excess_noise,0.0,SNU,PS,1,0.1390454801332197,0.09397760578884362,0.13209320612655873,0.0381156003377151,0.0381156003377151,24,303026,4303026,4303027,2,2,0653719e2aa9fc95,b9432286f8e7532b,E:\py learn\adversarial_attack_DRL\2024_dvcvqkd\experiments\joint_seed2026\best_ps.pt
