parameter_name,parameter_value,parameter_unit,scheme,repetition,I_AB,chi_BE,beta_I_AB,K_raw,K_positive,ncut,seed,channel_seed,awgn_seed,fading_samples,awgn_samples,channel_sample_hash,awgn_sample_hash,checkpoint
turbulence_strength,1e-16,m^(-2/3),Uniform QAM,0,0.13947451744262684,0.11078732767908384,0.1325007915704955,0.02171346389141167,0.02171346389141167,24,302026,3302026,3302027,2,2,681ae06b6c519a4d,be854dff38004652,fixed project PMF
turbulence_strength,1e-16,m^(-2/3),Maxwell-Boltzmann QAM,0,0.12917071747962394,0.09012812734026276,0.12271218160564273,0.03258405426537997,0.03258405426537997,24,302026,3302026,3302027,2,2,681ae06b6c519a4d,be854dff38004652,fixed project PMF
turbulence_strength,1e-16,m^(-2/3),Binomial QAM,0,0.12432865308123509,0.09041316357293305,0.11811222042717334,0.027699056854240282,0.027699056854240282,24,302026,3302026,3302027,2,2,681ae06b6c519a4d,be854dff38004652,fixed project PMF
turbulence_strength,1e-16,m^(-2/3),GS,0,0.13948046327240116,0.10928330968430766,0.1325064401087811,0.023223130424473437,0.023223130424473437,24,302026,3302026,3302027,2,2,681ae06b6c519a4d,be854dff38004652,E:\py learn\adversarial_attack_DRL\2024_dvcvqkd\experiments\joint_seed2026\best_gs.pt
turbulence_strength,1e-16,m^(-2/3),PS,0,0.1291707174796244,0.09012812734026554,0.12271218160564316,0.032584054265377624,0.032584054265377624,24,302026,3302026,3302027,2,2,681ae06b6c519a4d,be854dff38004652,E:\py learn\adversarial_attack_DRL\2024_dvcvqkd\experiments\joint_seed2026\best_ps.pt
turbulence_strength,1e-16,m^(-2/3),PS+GS,0,0.12917026568378676,0.09007661299517178,0.1227117523995974,0.032635139404425625,0.032635139404425625,24,302026,3302026,3302027,2,2,681ae06b6c519a4d,be854dff38004652,E:\py learn\adversarial_attack_DRL\2024_dvcvqkd\experiments\joint_seed2026\best_joint.pt
turbulence_strength,1e-16,m^(-2/3),Uniform QAM,1,0.13939065678036933,0.12032481876323542,0.13242112394135086,0.012096305178115434,0.012096305178115434,24,303026,3303026,3303027,2,2,e336b3b4ba1401d7,ac67f5b08e788386,fixed project PMF
turbulence_strength,1e-16,m^(-2/3),Maxwell-Boltzmann QAM,1,0.1404887305460094,0.09793407197026283,0.13346429401870893,0.03553022204844611,0.03553022204844611,24,303026,3303026,3303027,2,2,e336b3b4ba1401d7,ac67f5b08e788386,fixed project PMF
turbulence_strength,1e-16,m^(-2/3),Binomial QAM,1,0.13982165143245195,0.0982439567272162,0.13283056886082933,0.03458661213361315,0.03458661213361315,24,303026,3303026,3303027,2,2,e336b3b4ba1401d7,ac67f5b08e788386,fixed project PMF
turbulence_strength,1e-16,m^(-2/3),GS,1,0.13939998175223556,0.11869760034217358,0.13242998266462377,0.013732382322450186,0.013732382322450186,24,303026,3303026,3303027,2,2,e336b3b4ba1401d7,ac67f5b08e788386,E:\py learn\adversarial_attack_DRL\2024_dvcvqkd\experiments\joint_seed2026\best_gs.pt
turbulence_strength,1e-16,m^(-2/3),PS,1,0.14048873054601074,0.09793407197026616,0.13346429401871018,0.03553022204844404,0.03553022204844404,24,303026,3303026,3303027,2,2,e336b3b4ba1401d7,ac67f5b08e788386,E:\py learn\adversarial_attack_DRL\2024_dvcvqkd\experiments\joint_seed2026\best_ps.pt
turbulence_strength,1e-16,m^(-2/3),PS+GS,1,0.14049567970764176,0.09787805843662922,0.13347089572225967,0.03559283728563044,0.03559283728563044,24,303026,3303026,3303027,2,2,e336b3b4ba1401d7,ac67f5b08e788386,E:\py learn\adversarial_attack_DRL\2024_dvcvqkd\experiments\joint_seed2026\best_joint.pt
turbulence_strength,1e-14,m^(-2/3),Uniform QAM,0,0.0007519250878504913,0.000719682163155988,0.0007143288334579667,-5.353329698021356e-06,0.0,24,302026,3312026,3312027,2,2,5e1c082c2215ce1e,b343419e7bb58ee2,fixed project PMF
turbulence_strength,1e-14,m^(-2/3),Maxwell-Boltzmann QAM,0,0.0007112565590308151,0.0005369462426669802,0.0006756937310792743,0.00013874748841229405,0.00013874748841229405,24,302026,3312026,3312027,2,2,5e1c082c2215ce1e,b343419e7bb58ee2,fixed project PMF
turbulence_strength,1e-14,m^(-2/3),Binomial QAM,0,0.0007049478778862195,0.000539169104824988,0.0006697004839919085,0.00013053137916692044,0.00013053137916692044,24,302026,3312026,3312027,2,2,5e1c082c2215ce1e,b343419e7bb58ee2,fixed project PMF
