parameter_name,parameter_value,parameter_unit,scheme,repetition,I_AB,chi_BE,beta_I_AB,K_raw,K_positive,ncut,seed,channel_seed,awgn_seed,fading_samples,awgn_samples,channel_sample_hash,awgn_sample_hash,checkpoint
visibility,5.0,km,Uniform QAM,0,0.0035635934853308626,0.003173374108117022,0.0033854138110643193,0.0002120397029472974,0.0002120397029472974,24,302026,1302026,1302027,2,2,88b22b611f82e50b,43ec66ac455ce3f3,fixed project PMF
visibility,5.0,km,Maxwell-Boltzmann QAM,0,0.003788529698599774,0.0024159049398521093,0.003599103213669785,0.0011831982738176759,0.0011831982738176759,24,302026,1302026,1302027,2,2,88b22b611f82e50b,43ec66ac455ce3f3,fixed project PMF
visibility,5.0,km,Binomial QAM,0,0.0037991437591058386,0.002425269817476372,0.0036091865711505465,0.0011839167536741746,0.0011839167536741746,24,302026,1302026,1302027,2,2,88b22b611f82e50b,43ec66ac455ce3f3,fixed project PMF
visibility,5.0,km,GS,0,0.003563584076952342,0.0031150105726140964,0.0033854048731047246,0.000270394300490628,0.000270394300490628,24,302026,1302026,1302027,2,2,88b22b611f82e50b,43ec66ac455ce3f3,E:\py learn\adversarial_attack_DRL\2024_dvcvqkd\experiments\joint_seed2026\best_gs.pt
visibility,5.0,km,PS,0,0.0037885296986011063,0.0024159049398521093,0.0035991032136710507,0.0011831982738189416,0.0011831982738189416,24,302026,1302026,1302027,2,2,88b22b611f82e50b,43ec66ac455ce3f3,E:\py learn\adversarial_attack_DRL\2024_dvcvqkd\experiments\joint_seed2026\best_ps.pt
visibility,5.0,km,PS+GS,0,0.0037885070106629115,0.0024142219405408616,0.0035990816601297656,0.0011848597195889042,0.0011848597195889042,24,302026,1302026,1302027,2,2,88b22b611f82e50b,43ec66ac455ce3f3,E:\py learn\adversarial_attack_DRL\2024_dvcvqkd\experiments\joint_seed2026\best_joint.pt
visibility,5.0,km,Uniform QAM,1,0.0034565118623679503,0.0032311147310177812,0.0032836862692495524,5.257153823177117e-05,5.257153823177117e-05,24,303026,1303026,1303027,2,2,b4523bee146a738b,89d9726877d005f1,fixed project PMF
visibility,5.0,km,Maxwell-Boltzmann QAM,1,0.003435908360544193,0.0024586394548177237,0.0032641129425169833,0.0008054734876992598,0.0008054734876992598,24,303026,1303026,1303027,2,2,b4523bee146a738b,89d9726877d005f1,fixed project PMF
visibility,5.0,km,Binomial QAM,1,0.0034711897489696497,0.002468185522151334,0.003297630261521167,0.0008294447393698331,0.0008294447393698331,24,303026,1303026,1303027,2,2,b4523bee146a738b,89d9726877d005f1,fixed project PMF
visibility,5.0,km,GS,1,0.0034565016038698992,0.0031715821657406496,0.0032836765236764045,0.00011209435793575469,0.00011209435793575469,24,303026,1303026,1303027,2,2,b4523bee146a738b,89d9726877d005f1,E:\py learn\adversarial_attack_DRL\2024_dvcvqkd\experiments\joint_seed2026\best_gs.pt
visibility,5.0,km,PS,1,0.0034359083605450813,0.0024586394548177237,0.0032641129425178272,0.0008054734877001035,0.0008054734877001035,24,303026,1303026,1303027,2,2,b4523bee146a738b,89d9726877d005f1,E:\py learn\adversarial_attack_DRL\2024_dvcvqkd\experiments\joint_seed2026\best_ps.pt
visibility,5.0,km,PS+GS,1,0.0034358880960501104,0.0024569239356998507,0.0032640936912476048,0.0008071697555477541,0.0008071697555477541,24,303026,1303026,1303027,2,2,b4523bee146a738b,89d9726877d005f1,E:\py learn\adversarial_attack_DRL\2024_dvcvqkd\experiments\joint_seed2026\best_joint.pt
visibility,40.0,km,Uniform QAM,0,0.5476837265254266,0.3822623735422864,0.5202995401991553,0.13803716665686883,0.13803716665686883,24,302026,1312026,1312027,2,2,b1d0864259a3b748,5a80d93f6e185c12,fixed project PMF
visibility,40.0,km,Maxwell-Boltzmann QAM,0,0.4885165219956389,0.2898744704211753,0.46409069589585694,0.17421622547468163,0.17421622547468163,24,302026,1312026,1312027,2,2,b1d0864259a3b748,5a80d93f6e185c12,fixed project PMF
visibility,40.0,km,Binomial QAM,0,0.47430027731302005,0.29126285983690325,0.45058526344736904,0.15932240361046576,0.15932240361046576,24,302026,1312026,1312027,2,2,b1d0864259a3b748,5a80d93f6e185c12,fixed project PMF
visibility,40.0,km,GS,0,0.547767407191543,0.37588695568153196,0.5203790368319658,0.14449208115043388,0.14449208115043388,24,302026,1312026,1312027,2,2,b1d0864259a3b748,5a80d93f6e185c12,E:\py learn\adversarial_attack_DRL\2024_dvcvqkd\experiments\joint_seed2026\best_gs.pt
visibility,40.0,km,PS,0,0.4885165219956402,0.2898744704211841,0.46409069589585816,0.1742162254746741,0.1742162254746741,24,302026,1312026,1312027,2,2,b1d0864259a3b748,5a80d93f6e185c12,E:\py learn\adversarial_attack_DRL\2024_dvcvqkd\experiments\joint_seed2026\best_ps.pt
visibility,40.0,km,PS+GS,0,0.4885548690049766,0.2896225926169925,0.46412712555472774,0.1745045329377352,0.1745045329377352,24,302026,1312026,1312027,2,2,b1d0864259a3b748,5a80d93f6e185c12,E:\py learn\adversarial_attack_DRL\2024_dvcvqkd\experiments\joint_seed2026\best_joint.pt
visibility,40.0,km,Uniform QAM,1,0.2766417959513019,0.20107995839169646,0.2628097061537368,0.06172974776204032,0.06203923943552425,24,303026,1313026,1313027,2,2,0bfb625ee394341b,778bcfc0a726d450,fixed project PMF
visibility,40.0,km,Maxwell-Boltzmann QAM,1,0.2891136947766566,0.15679432427036877,0.27465801003782375,0.11786368576745501,0.11786368576745501,24,303026,1313026,1313027,2,2,0bfb625ee394341b,778bcfc0a726d450,fixed project PMF
visibility,40.0,km,Binomial QAM,1,0.2925178629357861,0.15744559812481795,0.2778919697889967,0.12044637166417879,0.12044637166417879,24,303026,1313026,1313027,2,2,0bfb625ee394341b,778bcfc0a726d450,fixed project PMF
visibility,40.0,km,GS,1,0.276681182009924,0.1979791028706075,0.2628471229094278,0.06486802003882028,0.06486802003882028,24,303026,1313026,1313027,2,2,0bfb625ee394341b,778bcfc0a726d450,E:\py learn\adversarial_attack_DRL\2024_dvcvqkd\experiments\joint_seed2026\best_gs.pt
visibility,40.0,km,PS,1,0.28911369477665705,0.15679432427037243,0.2746580100378242,0.11786368576745176,0.11786368576745176,24,303026,1313026,1313027,2,2,0bfb625ee394341b,778bcfc0a726d450,E:\py learn\adversarial_attack_DRL\2024_dvcvqkd\experiments\joint_seed2026\best_ps.pt
