run_id,timestamp,distance_km,T_eff,eta_atm,eta_geo,chi_line,chi_hom,chi_tot,X_tot,epsilon_bg,epsilon_RIN_s,epsilon_mod,epsilon_ch,epsilon_det,eta_det,V_ele
20260501_224536,2026-05-01 22:45:36,19.0000000000,0.0000007992,0.1447386037,0.0310421114,1251269.5596024676,1.0260000000,2535073.1529337992,2535073.1529337992,0.0002000000,0.0001000000,0.0005000000,0.0008000000,0.0130000000,0.5000000000,0.1000000000
20260501_224536,2026-05-01 22:45:36,5.0000000000,0.0000170534,0.6013137742,0.3631131728,58638.4045914396,1.0260000000,118802.4328814566,118802.4328814566,0.0002000000,0.0001000000,0.0005000000,0.0008000000,0.0130000000,0.5000000000,0.1000000000
20260501_224536,2026-05-01 22:45:36,5.0000000000,0.0000000000,0.6013137742,0.3631131728,999999999999998.8750000000,1.0260000000,2025999999999999.0000000000,2025999999999999.0000000000,0.0002000000,0.0001000000,0.0005000000,0.0008000000,0.0130000000,0.5000000000,0.1000000000
20260501_224536,2026-05-01 22:45:36,5.0000000000,0.0000090913,0.6013137742,0.3631131728,109994.6588601453,1.0260000000,222850.2040298543,222850.2040298543,0.0002000000,0.0001000000,0.0005000000,0.0008000000,0.0130000000,0.5000000000,0.1000000000
20260501_224536,2026-05-01 22:45:36,5.0000000000,0.0000000000,0.6013137742,0.3631131728,999999999999998.8750000000,1.0260000000,2025999999999999.0000000000,2025999999999999.0000000000,0.0002000000,0.0001000000,0.0005000000,0.0008000000,0.0130000000,0.5000000000,0.1000000000
20260501_224536,2026-05-01 22:45:36,7.8947368421,0.0000088053,0.4479322644,0.1664356119,113567.5619116618,1.0260000000,230088.9056122268,230088.9056122268,0.0002000000,0.0001000000,0.0005000000,0.0008000000,0.0130000000,0.5000000000,0.1000000000
20260501_224536,2026-05-01 22:45:36,7.8947368421,0.0000000000,0.4479322644,0.1664356119,999999999999998.8750000000,1.0260000000,2025999999999999.0000000000,2025999999999999.0000000000,0.0002000000,0.0001000000,0.0005000000,0.0008000000,0.0130000000,0.5000000000,0.1000000000
20260501_224536,2026-05-01 22:45:36,7.8947368421,0.0000077053,0.4479322644,0.1664356119,129780.3720947838,1.0260000000,262936.0590432320,262936.0590432320,0.0002000000,0.0001000000,0.0005000000,0.0008000000,0.0130000000,0.5000000000,0.1000000000
20260501_224536,2026-05-01 22:45:36,7.8947368421,0.0000000000,0.4479322644,0.1664356119,999999999999998.8750000000,1.0260000000,2025999999999999.0000000000,2025999999999999.0000000000,0.0002000000,0.0001000000,0.0005000000,0.0008000000,0.0130000000,0.5000000000,0.1000000000
20260501_224536,2026-05-01 22:45:36,10.7894736842,0.0000030978,0.3336749001,0.0930307072,322808.4563900332,1.0260000000,654010.9578254074,654010.9578254074,0.0002000000,0.0001000000,0.0005000000,0.0008000000,0.0130000000,0.5000000000,0.1000000000
20260501_224537,2026-05-01 22:45:37,10.7894736842,0.0000000000,0.3336749001,0.0930307072,999999999999998.8750000000,1.0260000000,2025999999999999.0000000000,2025999999999999.0000000000,0.0002000000,0.0001000000,0.0005000000,0.0008000000,0.0130000000,0.5000000000,0.1000000000
20260501_224537,2026-05-01 22:45:37,10.7894736842,0.0000012995,0.3336749001,0.0930307072,769506.3108459166,1.0260000000,1559020.8109530271,1559020.8109530271,0.0002000000,0.0001000000,0.0005000000,0.0008000000,0.0130000000,0.5000000000,0.1000000000
20260501_224537,2026-05-01 22:45:37,10.7894736842,0.0000000000,0.3336749001,0.0930307072,999999999999998.8750000000,1.0260000000,2025999999999999.0000000000,2025999999999999.0000000000,0.0002000000,0.0001000000,0.0005000000,0.0008000000,0.0130000000,0.5000000000,0.1000000000
20260501_224537,2026-05-01 22:45:37,13.6842105263,0.0000023707,0.2485619987,0.0589446735,421818.7827287758,1.0260000000,854605.8789876997,854605.8789876997,0.0002000000,0.0001000000,0.0005000000,0.0008000000,0.0130000000,0.5000000000,0.1000000000
20260501_224537,2026-05-01 22:45:37,13.6842105263,0.0000000000,0.2485619987,0.0589446735,999999999999998.8750000000,1.0260000000,2025999999999999.0000000000,2025999999999999.0000000000,0.0002000000,0.0001000000,0.0005000000,0.0008000000,0.0130000000,0.5000000000,0.1000000000
20260501_224537,2026-05-01 22:45:37,13.6842105263,0.0000034735,0.2485619987,0.0589446735,287895.7762045875,1.0260000000,583277.8677696944,583277.8677696944,0.0002000000,0.0001000000,0.0005000000,0.0008000000,0.0130000000,0.5000000000,0.1000000000
