run_id,timestamp,distance_km,V_A,beta,I_AB,chi_BE,Delta,epsilon_total,n_block,N_block,SKR,SKR_clipped
20260501_224536,2026-05-01 22:45:36,19.0000000000,2.6000000000,0.9500000000,0.0000003723,0.0000005538,0.0203407541,0.0000000300,80000000,100000000,-0.0000002001,0.0000000000
20260501_224536,2026-05-01 22:45:36,5.0000000000,2.6000000000,0.9500000000,0.0000079443,0.0000118017,0.0181933236,0.0000000300,100000000,100000000,-0.0000042546,0.0000000000
20260501_224536,2026-05-01 22:45:36,5.0000000000,2.6000000000,0.9500000000,0.0000000000,0.0000000000,0.0181933236,0.0000000300,100000000,100000000,0.0000000000,0.0000000000
20260501_224536,2026-05-01 22:45:36,5.0000000000,2.6000000000,0.9500000000,0.0000042351,0.0000062932,0.0181933236,0.0000000300,100000000,100000000,-0.0000022698,0.0000000000
20260501_224536,2026-05-01 22:45:36,5.0000000000,2.6000000000,0.9500000000,0.0000000000,0.0000000000,0.0181933236,0.0000000300,100000000,100000000,0.0000000000,0.0000000000
20260501_224536,2026-05-01 22:45:36,7.8947368421,2.6000000000,0.9500000000,0.0000041019,0.0000060953,0.0181933236,0.0000000300,100000000,100000000,-0.0000021985,0.0000000000
20260501_224536,2026-05-01 22:45:36,7.8947368421,2.6000000000,0.9500000000,0.0000000000,0.0000000000,0.0181933236,0.0000000300,100000000,100000000,0.0000000000,0.0000000000
20260501_224536,2026-05-01 22:45:36,7.8947368421,2.6000000000,0.9500000000,0.0000035895,0.0000053342,0.0181933236,0.0000000300,100000000,100000000,-0.0000019242,0.0000000000
20260501_224536,2026-05-01 22:45:36,7.8947368421,2.6000000000,0.9500000000,0.0000000000,0.0000000000,0.0181933236,0.0000000300,100000000,100000000,0.0000000000,0.0000000000
20260501_224536,2026-05-01 22:45:36,10.7894736842,2.6000000000,0.9500000000,0.0000014431,0.0000021453,0.0181933236,0.0000000300,100000000,100000000,-0.0000007744,0.0000000000
20260501_224537,2026-05-01 22:45:37,10.7894736842,2.6000000000,0.9500000000,0.0000000000,0.0000000000,0.0181933236,0.0000000300,100000000,100000000,0.0000000000,0.0000000000
20260501_224537,2026-05-01 22:45:37,10.7894736842,2.6000000000,0.9500000000,0.0000006054,0.0000009003,0.0181933236,0.0000000300,100000000,100000000,-0.0000003252,0.0000000000
20260501_224537,2026-05-01 22:45:37,10.7894736842,2.6000000000,0.9500000000,0.0000000000,0.0000000000,0.0181933236,0.0000000300,100000000,100000000,0.0000000000,0.0000000000
20260501_224537,2026-05-01 22:45:37,13.6842105263,2.6000000000,0.9500000000,0.0000011044,0.0000016420,0.0181933236,0.0000000300,100000000,100000000,-0.0000005928,0.0000000000
20260501_224537,2026-05-01 22:45:37,13.6842105263,2.6000000000,0.9500000000,0.0000000000,0.0000000000,0.0181933236,0.0000000300,100000000,100000000,0.0000000000,0.0000000000
20260501_224537,2026-05-01 22:45:37,13.6842105263,2.6000000000,0.9500000000,0.0000016181,0.0000024054,0.0181933236,0.0000000300,100000000,100000000,-0.0000008682,0.0000000000
