test_case,mode,distribution,alpha0,ncut,nu_tilde,VA,TrC,w,term_signal,term_noise,Z_raw,Zmax,Z_raw/Zmax,status,chi_BE,I_AB,SKR_raw,SKR
Baseline (T=0.5),fixed,Binomial,2.8284271247461903,45,,1.9999999934896104,2.449414721888183,8.486109086731915e-05,3.463995519570591,0.0009212007971518433,3.4630743187734394,2.452549689034064,1.4120302370458273,clipped,0.0,0.4744455515824135,0.4507232740032928,0.4507232740032928
Baseline (T=0.5),fixed,Uniform,1.1881770515720091,150,,1.9999999999999998,2.4315340814046555,0.029743947883528115,3.4387084752948693,0.017246433800507315,3.421462041494362,2.4525496936861444,1.3950632887490886,clipped,0.0,0.4744455528985697,0.4507232752536412,0.4507232752536412
Baseline (T=0.5),fixed,MB (fixed ν),2.8284271247461903,150,0.1,2.6550162256253156,3.1151139191044,5.3037823195646036e-05,4.405436352734648,0.0007282707133727543,4.4047080820212745,2.9198210559438307,1.508554119456973,clipped,0.39209020531106054,0.601136089635271,0.17898907984244683,0.17898907984244683
Baseline (T=0.5),matched,Binomial,2.8284271247461903,45,,1.9999999934896104,2.449414721888183,8.486109086731915e-05,3.463995519570591,0.0009212007971518433,3.4630743187734394,2.452549689034064,1.4120302370458273,clipped,0.0,0.4744455515824135,0.4507232740032928,0.4507232740032928
Baseline (T=0.5),matched,Uniform,1.1881770515720091,150,,1.9999999999999998,2.4315340814046555,0.029743947883528115,3.4387084752948693,0.017246433800507315,3.421462041494362,2.4525496936861444,1.3950632887490886,clipped,0.0,0.4744455528985697,0.4507232752536412,0.4507232752536412
Baseline (T=0.5),matched,MB (matched VA),2.8284271247461903,150,0.13158793969849247,2.025273937822669,2.4752767807798772,5.194973253861437e-06,3.500569994006117,0.00022792483967004206,3.500342069166447,2.470608131216885,1.4167937136361533,clipped,0.022184887404982624,0.47954596745864303,0.4333837816807282,0.4333837816807282
Near-ideal (T=0.95),fixed,Binomial,2.8284271247461903,45,,1.9999999934896104,2.449414721888183,8.486109086731915e-05,4.7747883118783125,0.0,4.7747883118783125,2.9495762344047423,1.6188048493826839,clipped,0.0,0.9428221504466606,0.8956810429243276,0.8956810429243276
Near-ideal (T=0.95),fixed,Uniform,1.1881770515720091,150,,1.9999999999999998,2.4315340814046555,0.029743947883528115,4.739932526769031,0.0,4.739932526769031,2.949576240750525,1.606987628013625,clipped,0.0,0.942822152699856,0.8956810450648632,0.8956810450648632
Near-ideal (T=0.95),fixed,MB (fixed ν),2.8284271247461903,150,0.1,2.6550162256253156,3.1151139191044,5.3037823195646036e-05,6.072474946032491,0.0,6.072474946032491,3.58802692860385,1.6924273610163159,clipped,0.0,1.1533777501263223,1.095708862620006,1.095708862620006
Near-ideal (T=0.95),matched,Binomial,2.8284271247461903,45,,1.9999999934896104,2.449414721888183,8.486109086731915e-05,4.7747883118783125,0.0,4.7747883118783125,2.9495762344047423,1.6188048493826839,clipped,0.0,0.9428221504466606,0.8956810429243276,0.8956810429243276
Near-ideal (T=0.95),matched,Uniform,1.1881770515720091,150,,1.9999999999999998,2.4315340814046555,0.029743947883528115,4.739932526769031,0.0,4.739932526769031,2.949576240750525,1.606987628013625,clipped,0.0,0.942822152699856,0.8956810450648632,0.8956810450648632
Near-ideal (T=0.95),matched,MB (matched VA),2.8284271247461903,150,0.13158793969849247,2.025273937822669,2.4752767807798772,5.194973253861437e-06,4.825202745748449,0.0,4.825202745748449,2.974211151854683,1.6223470693193753,clipped,0.0,0.9515428564920977,0.9039657136674928,0.9039657136674928
Conservative (T=0.3),fixed,Binomial,2.8284271247461903,45,,1.9999999934896104,2.449414721888183,8.486109086731915e-05,2.6831993917268013,0.0007135590691764172,2.682485832657625,2.1929432240038715,1.2232354231952924,clipped,0.3788894419095459,0.23533835953214535,-0.1553180003540078,0.0
Conservative (T=0.3),fixed,Uniform,1.1881770515720091,150,,1.9999999999999998,2.4315340814046555,0.029743947883528115,2.6636121314558654,0.013359030178166703,2.650253101277699,2.1929432277193133,1.208537032686429,clipped,0.378889444695792,0.23533836023899832,-0.1553180024687436,0.0
Conservative (T=0.3),fixed,MB (fixed ν),2.8284271247461903,150,0.1,2.6550162256253156,3.1151139191044,5.3037823195646036e-05,3.4124363253836063,0.0005641160688846544,3.411872209314722,2.564609032482319,1.330367383917511,clipped,0.606959006522463,0.30475820152820604,-0.3174387150706673,0.0
Conservative (T=0.3),matched,Binomial,2.8284271247461903,45,,1.9999999934896104,2.449414721888183,8.486109086731915e-05,2.6831993917268013,0.0007135590691764172,2.682485832657625,2.1929432240038715,1.2232354231952924,clipped,0.3788894419095459,0.23533835953214535,-0.1553180003540078,0.0
Conservative (T=0.3),matched,Uniform,1.1881770515720091,150,,1.9999999999999998,2.4315340814046555,0.029743947883528115,2.6636121314558654,0.013359030178166703,2.650253101277699,2.1929432277193133,1.208537032686429,clipped,0.378889444695792,0.23533836023899832,-0.1553180024687436,0.0
Conservative (T=0.3),matched,MB (matched VA),2.8284271247461903,150,0.13158793969849247,2.025273937822669,2.4752767807798772,5.194973253861437e-06,2.7115298578038174,0.0001765498216458137,2.7113533079821717,2.2073632002799313,1.2283222387862252,clipped,0.3895947677987654,0.23807982330062816,-0.16341893566316865,0.0
