distribution,mode,ncut,T,eps,eta,v_el,nu_tilde,VA,TrC,w,term_signal,term_noise,signal_to_zmax,noise_fraction,z_star_raw,z_star_max,z_star_used,rho,margin,z_star_clipped,chi_be,i_ab,skr_raw,skr,status
binomial,fixed-parameter,45,0.05,0.0,0.6,0.0,,1.9999999934896104,2.449414721888183,8.486109086731915e-05,1.0954115646461438,0.0,0.6030042210314094,0.0,1.0954115646461438,1.8165902102185878,1.0954115646461438,0.6030042210314094,0.721178645572444,False,0.1517332458984446,0.03934866734946872,-0.11435201191644934,0.0,physical
uniform,fixed-parameter,150,0.05,0.0,0.6,0.0,,1.9999999999999998,2.4315340814046555,0.029743947883528115,1.0874150991256635,0.0,0.5986023108943225,0.0,1.0874150991256635,1.8165902124584952,1.0874150991256635,0.5986023108943225,0.7291751133328317,False,0.1493328880695477,0.03934866747582556,-0.11195165396751341,0.0,physical
mb,fixed-parameter,150,0.05,0.0,0.6,0.0,0.1,2.6550162256253156,3.1151139191044,5.3037823195646036e-05,1.393121296154644,0.0,0.6846633576996835,0.0,1.393121296154644,2.034753693895963,1.393121296154644,0.6846633576996835,0.6416323977413192,False,0.23399650411255735,0.052005834250916455,-0.18459096157418672,0.0,physical
mb,matched-VA,150,0.05,0.0,0.6,0.0,0.13330420948965938,1.9993252943730797,2.448798770902518,4.56395538162666e-06,1.0951361029911928,0.0,0.6029296319386173,0.0,1.0951361029911928,1.81635807062587,1.0951361029911928,0.6029296319386173,0.7212219676346772,False,0.15166420694413074,0.03933557242363241,-0.11429541314167996,0.0,physical
binomial,fixed-parameter,45,0.05,0.0,0.6,0.005,,1.9999999934896104,2.449414721888183,8.486109086731915e-05,1.0954115646461438,0.0,0.6030042210314094,0.0,1.0954115646461438,1.8165902102185878,1.0954115646461438,0.6030042210314094,0.721178645572444,False,0.1517332458984446,0.039259430321153074,-0.1144367870933492,0.0,physical
uniform,fixed-parameter,150,0.05,0.0,0.6,0.005,,1.9999999999999998,2.4315340814046555,0.029743947883528115,1.0874150991256635,0.0,0.5986023108943225,0.0,1.0874150991256635,1.8165902124584952,1.0874150991256635,0.5986023108943225,0.7291751133328317,False,0.1493328880695477,0.039259430447227184,-0.11203642914468187,0.0,physical
mb,fixed-parameter,150,0.05,0.0,0.6,0.005,0.1,2.6550162256253156,3.1151139191044,5.3037823195646036e-05,1.393121296154644,0.0,0.6846633576996835,0.0,1.393121296154644,2.034753693895963,1.393121296154644,0.6846633576996835,0.6416323977413192,False,0.23399650411255735,0.0518884049863252,-0.1847025193755484,0.0,physical
mb,matched-VA,150,0.05,0.0,0.6,0.005,0.13330420948965938,1.9993252943730797,2.448798770902518,4.56395538162666e-06,1.0951361029911928,0.0,0.6029296319386173,0.0,1.0951361029911928,1.81635807062587,1.0951361029911928,0.6029296319386173,0.7212219676346772,False,0.15166420694413074,0.03924636469058566,-0.11438016048807437,0.0,physical
binomial,fixed-parameter,45,0.05,0.0,0.6,0.01,,1.9999999934896104,2.449414721888183,8.486109086731915e-05,1.0954115646461438,0.0,0.6030042210314094,0.0,1.0954115646461438,1.8165902102185878,1.0954115646461438,0.6030042210314094,0.721178645572444,False,0.1517332458984446,0.03917059715488527,-0.1145211786013036,0.0,physical
uniform,fixed-parameter,150,0.05,0.0,0.6,0.01,,1.9999999999999998,2.4315340814046555,0.029743947883528115,1.0874150991256635,0.0,0.5986023108943225,0.0,1.0874150991256635,1.8165902124584952,1.0874150991256635,0.5986023108943225,0.7291751133328317,False,0.1493328880695477,0.03917059728067783,-0.11212082065290377,0.0,physical
mb,fixed-parameter,150,0.05,0.0,0.6,0.01,0.1,2.6550162256253156,3.1151139191044,5.3037823195646036e-05,1.393121296154644,0.0,0.6846633576996835,0.0,1.393121296154644,2.034753693895963,1.393121296154644,0.6846633576996835,0.6416323977413192,False,0.23399650411255735,0.05177150489473732,-0.1848135744625569,0.0,physical
mb,matched-VA,150,0.05,0.0,0.6,0.01,0.13330420948965938,1.9993252943730797,2.448798770902518,4.56395538162666e-06,1.0951361029911928,0.0,0.6029296319386173,0.0,1.0951361029911928,1.81635807062587,1.0951361029911928,0.6029296319386173,0.7212219676346772,False,0.15166420694413074,0.03915756068880328,-0.11446452428976764,0.0,physical
binomial,fixed-parameter,45,0.05,0.0,0.95,0.0,,1.9999999934896104,2.449414721888183,8.486109086731915e-05,1.0954115646461438,0.0,0.6030042210314094,0.0,1.0954115646461438,1.8165902102185878,1.0954115646461438,0.6030042210314094,0.721178645572444,False,0.1517332458984446,0.04726492653971737,-0.10683156568571311,0.0,physical
uniform,fixed-parameter,150,0.05,0.0,0.95,0.0,,1.9999999999999998,2.4315340814046555,0.029743947883528115,1.0874150991256635,0.0,0.5986023108943225,0.0,1.0874150991256635,1.8165902124584952,1.0874150991256635,0.5986023108943225,0.7291751133328317,False,0.1493328880695477,0.047264926691081066,-0.1044312077130207,0.0,physical
mb,fixed-parameter,150,0.05,0.0,0.95,0.0,0.1,2.6550162256253156,3.1151139191044,5.3037823195646036e-05,1.393121296154644,0.0,0.6846633576996835,0.0,1.393121296154644,2.034753693895963,1.393121296154644,0.6846633576996835,0.6416323977413192,False,0.23399650411255735,0.06241393642341383,-0.1747032645103142,0.0,physical
mb,matched-VA,150,0.05,0.0,0.95,0.0,0.13330420948965938,1.9993252943730797,2.448798770902518,4.56395538162666e-06,1.0951361029911928,0.0,0.6029296319386173,0.0,1.0951361029911928,1.81635807062587,1.0951361029911928,0.6029296319386173,0.7212219676346772,False,0.15166420694413074,0.04724924001141551,-0.10677742893328601,0.0,physical
binomial,fixed-parameter,45,0.05,0.0,0.95,0.005,,1.9999999934896104,2.449414721888183,8.486109086731915e-05,1.0954115646461438,0.0,0.6030042210314094,0.0,1.0954115646461438,1.8165902102185878,1.0954115646461438,0.6030042210314094,0.721178645572444,False,0.1517332458984446,0.04718356103157186,-0.10690886291845134,0.0,physical
uniform,fixed-parameter,150,0.05,0.0,0.95,0.005,,1.9999999999999998,2.4315340814046555,0.029743947883528115,1.0874150991256635,0.0,0.5986023108943225,0.0,1.0874150991256635,1.8165902124584952,1.0874150991256635,0.5986023108943225,0.7291751133328317,False,0.1493328880695477,0.04718356118267902,-0.10450850494600264,0.0,physical
