distribution,mode,ncut,T,eps,eta,v_el,nu_tilde,va,tr_c,w,z_star_raw,z_star_max,z_star_used,z_star_clipped,chi_be,i_ab,skr_raw,skr,status
binomial,fixed,45,0.05,0.0,0.6,0.0,,1.9999999934896104,2.449414721888183,8.486109086731915e-05,1.0954115646461438,1.8165902102185878,1.0954115646461438,False,0.1517332458984446,0.03934866734946872,-0.11435201191644934,0.0,physical
uniform,fixed,150,0.05,0.0,0.6,0.0,,1.9999999999999998,2.4315340814046555,0.029743947883528115,1.0874150991256635,1.8165902124584952,1.0874150991256635,False,0.1493328880695477,0.03934866747582556,-0.11195165396751341,0.0,physical
mb,fixed,150,0.05,0.0,0.6,0.0,0.1,2.6550162256253156,3.1151139191044,5.3037823195646036e-05,1.393121296154644,2.034753693895963,1.393121296154644,False,0.23399650411255735,0.052005834250916455,-0.18459096157418672,0.0,physical
mb,tuned_va,150,0.05,0.0,0.6,0.0,0.13122448979591836,2.030854304763907,2.4809695228750623,5.339213276387021e-06,1.1095233006507716,1.8271878612668724,1.1095233006507716,False,0.15536217182334466,0.03994737756622902,-0.1174121631354271,0.0,physical
binomial,fixed,45,0.05,0.0,0.6,0.001,,1.9999999934896104,2.449414721888183,8.486109086731915e-05,1.0954115646461438,1.8165902102185878,1.0954115646461438,False,0.1517332458984446,0.039330787502696314,-0.11436899777088311,0.0,physical
uniform,fixed,150,0.05,0.0,0.6,0.001,,1.9999999999999998,2.4315340814046555,0.029743947883528115,1.0874150991256635,1.8165902124584952,1.0874150991256635,False,0.1493328880695477,0.03933078762899611,-0.11196863982200139,0.0,physical
mb,fixed,150,0.05,0.0,0.6,0.001,0.1,2.6550162256253156,3.1151139191044,5.3037823195646036e-05,1.393121296154644,2.034753693895963,1.393121296154644,False,0.23399650411255735,0.05198230589174749,-0.18461331351539723,0.0,physical
mb,tuned_va,150,0.05,0.0,0.6,0.001,0.13122448979591836,2.030854304763907,2.4809695228750623,5.339213276387021e-06,1.1095233006507716,1.8271878612668724,1.1095233006507716,False,0.15536217182334466,0.0399292294155306,-0.1174294038785906,0.0,physical
binomial,fixed,45,0.05,0.0,0.6,0.002,,1.9999999934896104,2.449414721888183,8.486109086731915e-05,1.0954115646461438,1.8165902102185878,1.0954115646461438,False,0.1517332458984446,0.03931292389858271,-0.11438596819479105,0.0,physical
uniform,fixed,150,0.05,0.0,0.6,0.002,,1.9999999999999998,2.4315340814046555,0.029743947883528115,1.0874150991256635,1.8165902124584952,1.0874150991256635,False,0.1493328880695477,0.039312924024826085,-0.11198561024596292,0.0,physical
