mode,distribution,T,eps,eta,v_el,nu_tilde,va,z_star_raw,z_star,z_star_max,z_star_clipped,chi_be,i_ab,skr_raw,skr,status
fixed,binomial,0.05,0.0,0.6,0.0,,1.9996783754650813,1.09522446360879,1.09522446360879,1.816479555212078,False,0.15168350700102562,0.039342425227501865,-0.11430820303489886,0.0,physical
fixed,uniform,0.05,0.0,0.6,0.0,,1.9999999999999998,1.0874150991256635,1.0874150991256635,1.8165902124584952,False,0.1493328880695477,0.03934866747582556,-0.11195165396751341,0.0,physical
fixed,mb,0.05,0.0,0.6,0.0,0.1,2.6550162256253156,1.393121296154644,1.393121296154644,2.034753693895963,False,0.23399650411255735,0.052005834250916455,-0.18459096157418672,0.0,physical
fixed_va,mb,0.05,0.0,0.6,0.0,0.13897435897435897,1.918072890931891,1.0580235739656298,1.0580235739656298,1.7882747876724305,False,0.14226431917557036,0.03775771208838876,-0.10639449269160103,0.0,physical
fixed,binomial,0.05,0.0,0.6,0.002,,1.9996783754650813,1.09522446360879,1.09522446360879,1.816479555212078,False,0.15168350700102562,0.039306687369926915,-0.11434215399959505,0.0,physical
fixed,uniform,0.05,0.0,0.6,0.002,,1.9999999999999998,1.0874150991256635,1.0874150991256635,1.8165902124584952,False,0.1493328880695477,0.039312924024826085,-0.11198561024596292,0.0,physical
fixed,mb,0.05,0.0,0.6,0.002,0.1,2.6550162256253156,1.393121296154644,1.393121296154644,2.034753693895963,False,0.23399650411255735,0.051958798814543045,-0.18463564523874146,0.0,physical
fixed_va,mb,0.05,0.0,0.6,0.002,0.13897435897435897,1.918072890931891,1.0580235739656298,1.0580235739656298,1.7882747876724305,False,0.14226431917557036,0.03772339501028266,-0.10642709391580184,0.0,physical
fixed,binomial,0.05,0.0,0.6,0.005,,1.9996783754650813,1.09522446360879,1.09522446360879,1.816479555212078,False,0.15168350700102562,0.03925320216369511,-0.11439296494551526,0.0,physical
fixed,uniform,0.05,0.0,0.6,0.005,,1.9999999999999998,1.0874150991256635,1.0874150991256635,1.8165902124584952,False,0.1493328880695477,0.039259430447227184,-0.11203642914468187,0.0,physical
fixed,mb,0.05,0.0,0.6,0.005,0.1,2.6550162256253156,1.393121296154644,1.393121296154644,2.034753693895963,False,0.23399650411255735,0.0518884049863252,-0.1847025193755484,0.0,physical
fixed_va,mb,0.05,0.0,0.6,0.005,0.13897435897435897,1.918072890931891,1.0580235739656298,1.0580235739656298,1.7882747876724305,False,0.14226431917557036,0.0376720362029028,-0.10647588478281271,0.0,physical
fixed,binomial,0.05,0.0,0.6,0.01,,1.9996783754650813,1.09522446360879,1.09522446360879,1.816479555212078,False,0.15168350700102562,0.039164382899594216,-0.11447734324641112,0.0,physical
fixed,uniform,0.05,0.0,0.6,0.01,,1.9999999999999998,1.0874150991256635,1.0874150991256635,1.8165902124584952,False,0.1493328880695477,0.03917059728067783,-0.11212082065290377,0.0,physical
fixed,mb,0.05,0.0,0.6,0.01,0.1,2.6550162256253156,1.393121296154644,1.393121296154644,2.034753693895963,False,0.23399650411255735,0.05177150489473732,-0.1848135744625569,0.0,physical
fixed_va,mb,0.05,0.0,0.6,0.01,0.13897435897435897,1.918072890931891,1.0580235739656298,1.0580235739656298,1.7882747876724305,False,0.14226431917557036,0.03758674827277403,-0.10655690831643504,0.0,physical
fixed,binomial,0.05,0.0,0.6,0.02,,1.9996783754650813,1.09522446360879,1.09522446360879,1.816479555212078,False,0.15168350700102562,0.03898794485431095,-0.11464495938943021,0.0,physical
fixed,uniform,0.05,0.0,0.6,0.02,,1.9999999999999998,1.0874150991256635,1.0874150991256635,1.8165902124584952,False,0.1493328880695477,0.038994131615863487,-0.11228846303447738,0.0,physical
fixed,mb,0.05,0.0,0.6,0.02,0.1,2.6550162256253156,1.393121296154644,1.393121296154644,2.034753693895963,False,0.23399650411255735,0.05153927798552902,-0.18503419002630478,0.0,physical
