sweep,distribution,T,eps,eta,v_el,nu_tilde,term_signal,term_noise,signal_to_zmax,noise_fraction,z_star_raw,z_star_used,z_star_max,rho,margin,status,chi_be,i_ab,skr_raw,skr
T,binomial,0.05,0.001,0.6,0.001,,0.6324259886286028,0.00010645722354318014,0.3481311368207702,0.0001683315130265749,0.6323195314050596,0.6323195314050596,1.8166314981305374,0.34807253537977745,1.1843119667254778,physical,0.04848021766894672,0.03933025148465102,-0.01111647875852826,0.0
T,binomial,0.08103448275862069,0.001,0.6,0.001,,0.805118189254067,0.00013552676296235336,0.43118924286828525,0.0001683315130265749,0.8049826624911046,0.8049826624911046,1.867203791769929,0.43111666013063243,1.0622211292788242,physical,0.07633582473921185,0.06374801518602646,-0.015775210312486715,0.0
T,binomial,0.11206896551724138,0.001,0.6,0.001,,0.9468199228167044,0.00015937963017144066,0.4940509104897764,0.00016833151302657483,0.9466605431865329,0.9466605431865329,1.9164420158199411,0.4939677461525015,0.9697814726334082,physical,0.10256396977357585,0.08817449824311109,-0.01879819644262032,0.0
T,binomial,0.14310344827586208,0.001,0.6,0.001,,1.0699161807438526,0.00018010060951622703,0.5446400234691595,0.00016833151302657483,1.0697360801343365,1.0697360801343365,1.9644464869270428,0.5445483433899542,0.8947104067927063,physical,0.1272114386311829,0.11261320879942087,-0.02022889027173308,0.0
T,binomial,0.17413793103448275,0.001,0.6,0.001,,1.1802428993187777,0.0001986720729812013,0.5868043776710831,0.00016833151302657486,1.1800442272457965,1.1800442272457965,2.0113055461565255,0.5867056000023391,0.831261318910729,physical,0.15031578432440607,0.1370676655309879,-0.02010150206996758,0.0
T,binomial,0.20517241379310341,0.001,0.6,0.001,,1.2811034185292287,0.00021565007678454247,0.6227723466563647,0.0001683315130265749,1.2808877684524442,1.2808877684524442,2.0570974697373967,0.6226675144449809,0.7762097012849525,physical,0.17190676300799224,0.1615414007005759,-0.018442432342445136,0.0
T,binomial,0.2362068965517241,0.001,0.6,0.001,,1.3745830773518777,0.00023138564919136697,0.6539741690763595,0.00016833151302657486,1.3743516917026863,1.3743516917026863,2.1018920048375462,0.6538640846149986,0.7275403131348599,physical,0.19200696012831564,0.18603796324126534,-0.01527089504911358,0.0
T,binomial,0.2672413793103448,0.001,0.6,0.001,,1.4620982539203857,0.00024611721127593177,0.6813921250864944,0.00016833151302657486,1.4618521367091097,1.4618521367091097,2.1457516165670247,0.6812774253191142,0.683899479857915,physical,0.21063208736868333,0.21056092187619654,-0.01059921158629662,0.0
T,binomial,0.2982758620689655,0.001,0.6,0.001,,1.544663060894486,0.0002600154701566292,0.7057340510503195,0.00016833151302657486,1.5444030454243294,1.5444030454243294,2.188732509924408,0.7056152537697118,0.6443294645000786,physical,0.22779108380699742,0.23511386828139091,-0.004432908939676072,0.0
T,binomial,0.32931034482758614,0.001,0.6,0.001,,1.6230331602486758,0.00027320762755696297,0.727528678121444,0.0001683315130265749,1.622759952621119,1.622759952621119,2.2308854744248974,0.7274062121182855,0.6081255218037784,physical,0.24348606497582637,0.25970042029875334,0.003229334307989301,0.003229334307989301
T,binomial,0.36034482758620684,0.001,0.6,0.001,,1.6977895354965782,0.0002857914813108247,0.747182138119354,0.00016833151302657486,1.6975037440152674,1.6975037440152674,2.2722565876238536,0.7470563638195379,0.5747528436085863,physical,0.2577121311752373,0.2843242252065623,0.012395882770996902,0.012395882770996902
T,binomial,0.39137931034482754,0.001,0.6,0.001,,1.769390283237864,0.0002978441435119495,0.7650134516545317,0.00016833151302657486,1.769092439094352,1.769092439094352,2.3128878053204396,0.764884675782729,0.5437953662260875,physical,0.27045703029548185,0.3089889630549921,0.023082484606760656,0.023082484606760656
T,binomial,0.42241379310344823,0.001,0.6,0.001,,1.8382041894173375,0.00030942769245640903,0.7812778597072981,0.00016833151302657486,1.837894761724881,1.837894761724881,2.352817459982818,0.7811463460230794,0.5149226982579369,physical,0.28170065900368413,0.3336983500744846,0.03531277356707624,0.03531277356707624
T,binomial,0.45344827586206893,0.001,0.6,0.001,,1.9045333574307206,0.0003205929816658957,0.7961827416459095,0.00016833151302657486,1.9042127644490547,1.9042127644490547,2.3920806842579534,0.7960487190003627,0.48786791980889865,physical,0.2914143751187219,0.358456142165088,0.04911895993811166,0.04911895993811166
T,binomial,0.48448275862068957,0.001,0.6,0.001,,1.9686289587276764,0.00033138229121056035,0.809898812555846,0.00016833151302657486,1.9682975764364659,1.9682975764364659,2.430709772885278,0.8097624810633299,0.46241219644881193,physical,0.29956008096035736,0.38326613847522867,0.06454275059110987,0.06454275059110987
T,binomial,0.5155172413793103,0.001,0.6,0.001,,2.030702500297889,0.0003418312243819923,0.8225682046992395,0.00016833151302657486,2.030360669073507,2.030360669073507,2.4687344936221876,0.822429740548775,0.43837382454868035,physical,0.30608902029306684,0.40813218507875887,0.08163655553175408,0.08163655553175408
T,binomial,0.546551724137931,0.001,0.6,0.001,,2.090934076505278,0.0003519700967369575,0.8343104290688867,0.00016833151302657486,2.090582106408541,2.090582106408541,2.50618235569561,0.8341699883320277,0.4156002492870692,physical,0.3109402075064105,0.43305817875955066,0.10046506231516261,0.10046506231516261
T,binomial,0.5775862068965517,0.001,0.6,0.001,,2.1494785367306792,0.0003618249743060234,0.8452268567811569,0.00016833151302657486,2.149116711756373,2.149116711756373,2.543078842662964,0.8450845784655042,0.3939621309065906,physical,0.3140383728511038,0.4580480709133728,0.12110729451660035,0.12110729451660035
T,binomial,0.6086206896551724,0.001,0.6,0.001,,2.2064701782350795,0.00037141846355032723,0.8554041435693983,0.00016833151302657486,2.206098759771529,2.206098759771529,2.579447615285102,0.8552601520956621,0.3733488555135729,physical,0.31529125534862734,0.4831058715773058,0.14365932264981313,0.14365932264981313
T,binomial,0.6396551724137931,0.001,0.6,0.001,,2.262026373633965,0.0003807703219798217,0.8649168846927683,0.00016833151302657486,2.2616456033119854,2.2616456033119854,2.6153106890004483,0.8647712919249257,0.3536650856884629,physical,0.31458599431088385,0.5082356535975195,0.1682378766067597,0.1682378766067597
T,binomial,0.6706896551724137,0.001,0.6,0.001,,2.3162504144825333,0.000389897936818276,0.8738296997283671,0.00016833151302657486,2.315860516545715,2.315860516545715,2.650688589781908,0.8736826066528842,0.334828073236193,physical,0.311784241599355,0.5334415569468608,0.19498523750016272,0.19498523750016272
T,binomial,0.7017241379310345,0.001,0.6,0.001,,2.3692337685769616,0.0003988167049782138,0.8821988885043123,0.00016833151302657483,2.368834951871983,2.368834951871983,2.685600491510232,0.88205038663062,0.31676553963824894,physical,0.30671540354637417,0.558727793204389,0.22407599999779537,0.22407599999779537
T,binomial,0.7327586206896551,0.001,0.6,0.001,,2.421057892273597,0.00040754033813134494,0.8900737599911239,0.0001683315130265749,2.420650351935466,2.420650351935466,2.7200643374743914,0.8899239325283995,0.2994139855389255,physical,0.2991670535742613,0.5840986502097487,0.2557266641249999,0.2557266641249999
