distribution,T,I_legacy,I_discrete,absolute_difference,relative_difference,H_X,chi_BE,K_legacy,K_discrete
uniform,0.0001,9.448881381942977e-05,9.336583918884145e-05,1.1229746305883192e-06,0.011884736247555703,8.0,0.00014378438799300675,-5.402001486454848e-05,-5.508684076360737e-05
uniform,0.001,0.0009448878931508518,0.000933660946187409,1.1226946963442805e-05,0.011881776711102824,8.0,0.0013614375868524764,-0.0004637940883591672,-0.0004744596879744378
uniform,0.01,0.009448884521633848,0.009336895619389551,0.000111988902244297,0.011852076505738956,8.0,0.012787252517787007,-0.0038108122222348505,-0.003917201679366933
uniform,0.05,0.047247857386610366,0.04669413126180455,0.0005537261248058159,0.011719602865266375,8.0,0.05972352695400329,-0.014838062436723448,-0.015364102255288968
uniform,0.1,0.0945195173622641,0.09342684755399056,0.0010926698082735498,0.011560255900225178,8.0,0.11333985117781742,-0.023546309683666528,-0.024584346001526397
uniform,0.2,0.18923611149218802,0.1870978785856714,0.0021382329065166295,0.011299285795168642,8.0,0.2074950228429071,-0.027720716925328487,-0.02975203818651928
uniform,0.5,0.47665587951626615,0.4712211675103557,0.005434712005910447,0.011401751744730099,8.0,0.4023944377316211,0.05042864780883172,0.0452656714032168
uniform,1.0,0.980672878339897,0.9652659572715763,0.015406921068320756,0.015710560991960852,8.0,0.3650982556224862,0.5665409788004159,0.5519044037855112
binomial,0.0001,9.448881381942977e-05,9.39559705761539e-05,5.328432432758656e-07,0.005639220366276805,5.999822333738283,0.00010225446284417572,-1.249008971571745e-05,-1.2996290796829524e-05
binomial,0.001,0.0009448878931508518,0.0009395608424931368,5.327050657715068e-06,0.0056377594594331434,5.999822333738283,0.0010186370313673976,-0.0001209935328740884,-0.0001260542309989177
binomial,0.01,0.009448884521633848,0.009395752415738201,5.313210589564729e-05,0.0056231088203054875,5.999822333738283,0.010073860615257724,-0.0010974203197055676,-0.0011478958203064334
binomial,0.05,0.047247857386610366,0.046985291676458374,0.0002625657101519921,0.005557198245065838,5.999822333738283,0.04848021766894672,-0.0035947531516668796,-0.003844190576311274
binomial,0.1,0.0945195173622641,0.09400216803025163,0.0005173493320124734,0.005473465655031153,5.999822333738283,0.09255430812066878,-0.002760766626517891,-0.0032522484919297323
binomial,0.2,0.18923611149218833,0.1882324023868689,0.0010037091053194391,0.005304004068805188,5.999822333738283,0.16841231690497538,0.011361989012603518,0.010408465362550051
binomial,0.5,0.47665587951626615,0.47436421504478155,0.0022916644714846,0.004807796504703339,5.999822333738283,0.3030301500422732,0.14979293549817962,0.14761585425026924
binomial,1.0,0.9806728783398972,0.9766630364049345,0.004009841934962788,0.004088867983940505,5.999822333738283,0.02628968369198159,0.9053495507309207,0.9015402008927061
mb,0.0001,9.439664556929771e-05,9.382278074809847e-05,5.738648211992415e-07,0.006079292518694009,6.408923689874861,0.0001016351154463635,-1.1958302155530681e-05,-1.2503473735669967e-05
mb,0.001,0.0009439664822095667,0.0009382294862909646,5.736995918602145e-06,0.00607754197497925,6.408923689874861,0.0010131719090074043,-0.00011640375090831595,-0.00012185389703098801
mb,0.01,0.009439697480615811,0.009382492451539548,5.7205029076263375e-05,0.006060048978659804,6.408923689874861,0.010026478193091659,-0.001058765586506638,-0.0011131103641290885
mb,0.05,0.04720251420455099,0.04692012096814757,0.0002823932364034165,0.005982588876085541,6.408923689874861,0.04826869517996024,-0.0034263066856368082,-0.0036945802602200498
mb,0.1,0.09443026881674835,0.09387440576723627,0.0005558630495120787,0.00588649229190259,6.408923689874861,0.0921529346956782,-0.002444179319767273,-0.0029722492168037518
mb,0.2,0.18906310052652892,0.18798597224368851,0.0010771282828404005,0.005697189350225748,6.408923689874861,0.16764951180241572,0.011960433697786738,0.010937161829088354
mb,0.5,0.4762598665879915,0.4738025460661186,0.002457320521872919,0.005159621236778968,6.408923689874861,0.30116567005769945,0.15128120320089244,0.1489467487051132
mb,1.0,0.9799785463805512,0.9756836796056216,0.004294866774929518,0.0043826130590227325,6.408923689874861,0.02030769286668571,0.9106719261948379,0.9065918027586548
